repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,IssueCommentEvent,WatchEvent,ForkEvent,total
hyperledger/fabric-x-orderer,2025-07,16,13,8,3,0,0,0,0,40
hyperledger/fabric-x-orderer,2025-08,41,39,14,7,2,1,0,0,104
hyperledger/fabric-x-orderer,2025-09,58,48,22,8,2,1,0,0,139
hyperledger/fabric-x-orderer,2025-10,33,16,4,8,3,0,0,0,64
hyperledger/fabric-x-orderer,2025-11,36,25,2,4,7,1,0,0,75
hyperledger/fabric-x-orderer,2025-12,21,17,6,6,4,0,0,0,54
hyperledger/fabric-x-orderer,2026-01,13,11,16,4,5,0,0,0,49
hyperledger/fabric-x-orderer,2026-02,21,26,7,9,0,0,0,0,63
hyperledger/fabric-x-orderer,2026-03,12,15,2,13,0,0,0,0,42
hyperledger/fabric-x-orderer,2026-04,14,9,1,6,1,4,0,0,35
hyperledger/fabric-x-orderer,2026-05,4,1,2,4,0,0,0,0,11
hyperledger-labs/SmartBFT,2024-03,1,0,2,0,0,2,2,1,8
hyperledger-labs/SmartBFT,2025-04,1,0,1,1,1,0,0,0,4
hyperledger-labs/SmartBFT,2025-05,0,0,0,0,0,4,1,0,5
hyperledger-labs/SmartBFT,2025-06,2,0,2,0,0,0,0,0,4
hyperledger-labs/SmartBFT,2025-11,3,0,0,1,0,0,0,0,4
hyperledger-labs/SmartBFT,2025-12,0,0,1,0,0,0,0,0,1
hyperledger-labs/SmartBFT,2026-02,1,1,0,0,0,1,0,0,3
hyperledger-labs/SmartBFT,2026-04,0,0,0,1,0,0,0,0,1
hyperledger-labs/SmartBFT,2026-05,1,0,1,2,0,1,0,0,5
hyperledger/fabric,2024-02,1,0,0,0,0,1,0,0,2
hyperledger/fabric,2024-03,0,0,2,0,0,1,0,0,3
hyperledger/fabric,2025-01,0,0,2,0,0,0,0,0,2
hyperledger/fabric,2025-05,0,0,1,0,0,0,0,0,1
hyperledger/fabric,2025-08,0,0,1,0,0,0,0,0,1
hyperledger/fabric-x-common,2026-04,1,0,0,0,0,0,0,0,1
