repo,month,PullRequestEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,ForkEvent,PushEvent,WatchEvent,total
hyperledger/aries-framework-javascript,2021-06,1,0,0,0,0,0,0,1
hyperledger/aries-framework-javascript,2021-07,0,2,0,1,0,0,0,3
hyperledger/aries-framework-javascript,2021-12,2,0,0,0,0,0,0,2
hyperledger/aries-framework-javascript,2022-01,0,1,1,1,0,0,0,3
hyperledger/aries-framework-javascript,2022-03,0,4,0,4,0,0,0,8
hyperledger/aries-framework-javascript,2022-04,0,4,0,4,0,0,0,8
hyperledger/aries-framework-javascript,2022-05,1,1,0,0,0,0,0,2
hyperledger/aries-framework-javascript,2022-06,0,0,2,0,0,0,0,2
hyperledger/aries-framework-javascript,2022-07,0,0,1,0,0,0,0,1
hyperledger/aries-framework-javascript,2023-03,1,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/aries-uniffi-wrappers,2025-04,2,0,0,0,0,0,0,2
LF-Decentralized-Trust-labs/aries-uniffi-wrappers,2025-05,2,0,1,0,0,1,0,4
LF-Decentralized-Trust-labs/aries-uniffi-wrappers,2025-10,1,0,0,0,0,1,0,2
LF-Decentralized-Trust-labs/aries-uniffi-wrappers,2026-03,0,0,0,0,1,0,0,1
hyperledger/aries-uniffi-wrappers,2023-12,3,0,3,0,0,0,0,6
hyperledger/aries-uniffi-wrappers,2025-03,1,0,0,0,0,0,0,1
hyperledger/indy-sdk-react-native,2021-08,1,0,0,0,1,0,0,2
hyperledger/indy-sdk-react-native,2021-12,2,0,1,0,0,0,0,3
hyperledger/anoncreds-rs,2023-05,0,0,0,0,1,0,0,1
hyperledger/anoncreds-rs,2023-06,1,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2023-12,1,0,1,0,0,0,0,2
hyperledger/aries-framework-javascript-ext,2022-05,1,0,1,0,1,0,0,3
hyperledger/aries-mobile-agent-react-native,2021-05,1,0,0,0,0,0,0,1
hyperledger/indy-sdk,2021-05,0,0,0,0,1,0,0,1
openwallet-foundation/credo-ts,2024-08,0,0,0,0,0,0,1,1
