repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,GollumEvent,CreateEvent,WatchEvent,ForkEvent,DeleteEvent,ReleaseEvent,total
hyperledger-labs/fabric-private-chaincode,2019-05,13,0,7,6,2,8,0,1,0,0,0,0,37
hyperledger-labs/fabric-private-chaincode,2019-06,14,0,2,16,0,7,0,0,0,0,0,0,39
hyperledger-labs/fabric-private-chaincode,2019-07,19,0,2,5,0,5,0,0,0,0,0,0,31
hyperledger-labs/fabric-private-chaincode,2019-08,17,0,5,2,6,1,4,0,0,0,0,0,35
hyperledger-labs/fabric-private-chaincode,2019-09,43,0,4,5,2,3,0,0,0,0,0,0,57
hyperledger-labs/fabric-private-chaincode,2019-10,0,0,2,1,1,2,0,0,0,0,0,0,6
hyperledger-labs/fabric-private-chaincode,2019-12,4,0,0,1,0,1,0,0,0,0,0,0,6
hyperledger-labs/fabric-private-chaincode,2020-01,14,0,2,1,1,0,0,0,0,0,0,0,18
hyperledger-labs/fabric-private-chaincode,2020-02,17,0,5,2,2,1,0,0,0,0,0,0,27
hyperledger-labs/fabric-private-chaincode,2020-03,2,0,2,11,2,3,0,0,0,0,0,0,20
hyperledger-labs/fabric-private-chaincode,2020-04,36,0,6,11,3,2,0,0,0,0,0,0,58
hyperledger-labs/fabric-private-chaincode,2020-05,14,0,6,1,3,3,0,0,0,0,0,0,27
hyperledger-labs/fabric-private-chaincode,2020-06,55,0,11,14,6,2,0,0,0,0,0,0,88
hyperledger-labs/fabric-private-chaincode,2020-07,17,0,6,8,2,4,0,0,0,0,0,0,37
hyperledger-labs/fabric-private-chaincode,2020-08,32,0,7,8,5,2,0,0,0,0,0,0,54
hyperledger-labs/fabric-private-chaincode,2020-09,29,31,2,0,1,1,0,0,0,0,0,0,64
hyperledger-labs/fabric-private-chaincode,2020-10,13,18,3,4,1,0,0,0,0,0,0,0,39
hyperledger-labs/fabric-private-chaincode,2020-11,47,50,8,3,6,0,0,0,0,0,0,0,114
hyperledger-labs/fabric-private-chaincode,2020-12,43,62,23,18,14,6,0,0,0,0,0,0,166
hyperledger-labs/fabric-private-chaincode,2021-01,8,8,1,2,0,1,0,0,0,0,0,0,20
hyperledger-labs/fabric-private-chaincode,2021-02,2,7,7,2,5,5,0,1,0,0,0,1,30
hyperledger-labs/fabric-private-chaincode,2021-03,6,10,4,4,4,3,0,0,0,0,0,0,31
hyperledger-labs/fabric-private-chaincode,2021-04,16,22,13,6,7,4,0,1,0,0,1,0,70
hyperledger-labs/private-data-objects,2018-05,2,0,3,3,0,0,0,0,0,1,0,0,9
hyperledger-labs/private-data-objects,2018-06,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/private-data-objects,2018-07,1,0,5,1,0,0,0,0,0,0,0,0,7
hyperledger-labs/private-data-objects,2018-08,1,0,2,2,0,0,0,0,0,0,0,0,5
hyperledger-labs/private-data-objects,2018-09,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/private-data-objects,2018-10,12,0,5,2,3,4,0,0,0,0,0,0,26
hyperledger-labs/private-data-objects,2018-11,4,0,2,0,1,0,0,0,0,0,0,0,7
hyperledger-labs/private-data-objects,2018-12,2,0,11,3,9,2,0,0,0,0,0,0,27
hyperledger-labs/private-data-objects,2019-01,15,0,12,7,6,2,0,0,0,0,0,0,42
hyperledger-labs/private-data-objects,2019-02,9,0,6,3,3,0,9,0,0,0,0,0,30
hyperledger-labs/private-data-objects,2019-03,7,0,2,0,2,1,0,0,1,0,0,0,13
hyperledger-labs/private-data-objects,2019-04,2,0,0,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/private-data-objects,2019-05,23,0,5,6,2,5,0,0,0,0,0,0,41
hyperledger-labs/private-data-objects,2019-06,3,0,2,0,1,0,0,0,0,0,0,0,6
hyperledger-labs/private-data-objects,2020-01,3,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/private-data-objects,2020-02,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/private-data-objects,2020-03,3,0,1,0,0,0,0,0,0,0,0,0,4
hyperledger-labs/private-data-objects,2020-04,22,0,2,2,0,0,0,0,0,0,0,0,26
hyperledger-labs/private-data-objects,2020-05,5,0,0,1,0,1,0,0,0,0,0,0,7
hyperledger-labs/private-data-objects,2020-06,4,0,1,0,0,0,0,0,0,0,0,0,5
hyperledger-labs/private-data-objects,2020-07,4,0,0,0,0,1,0,0,0,0,0,0,5
hyperledger-labs/private-data-objects,2020-08,1,0,1,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/private-data-objects,2020-09,2,7,0,0,0,0,0,0,0,0,0,0,9
