repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,CreateEvent,ForkEvent,WatchEvent,DeleteEvent,CommitCommentEvent,total
hyperledger/fabric,2016-07,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric,2016-11,0,0,0,0,0,0,0,2,0,0,0,2
hyperledger/fabric,2017-05,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric,2019-11,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric,2019-12,0,0,2,0,0,0,0,1,0,0,0,3
hyperledger/fabric,2020-01,0,0,0,3,0,0,0,0,0,0,0,3
hyperledger/fabric,2020-02,23,0,4,6,0,0,0,0,0,0,0,33
hyperledger/fabric,2020-03,21,0,6,14,0,0,0,0,0,0,0,41
hyperledger/fabric,2020-04,85,0,25,32,0,0,0,0,0,0,0,142
hyperledger/fabric,2020-05,71,0,12,16,0,0,0,0,1,0,0,100
hyperledger/fabric,2020-06,99,0,34,12,6,0,1,0,0,1,0,153
hyperledger/fabric,2020-07,45,0,21,3,12,0,0,0,0,0,0,81
hyperledger/fabric,2020-08,51,21,15,2,9,0,0,0,0,0,0,98
hyperledger/fabric,2020-09,37,30,21,14,3,0,1,0,0,1,0,107
hyperledger/fabric,2020-10,4,5,2,0,2,0,0,0,0,0,0,13
hyperledger/fabric,2020-11,3,11,3,0,3,0,0,0,0,0,0,20
hyperledger/fabric,2021-01,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2021-02,0,1,0,0,4,0,0,0,0,0,0,5
hyperledger/fabric,2021-03,2,3,1,0,0,0,0,0,0,0,0,6
hyperledger/fabric,2021-06,2,6,1,0,1,0,0,0,0,0,0,10
hyperledger/fabric,2021-07,4,4,0,0,0,0,0,0,0,0,0,8
hyperledger/fabric,2022-03,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2023-01,0,2,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric,2023-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2023-05,0,1,1,0,1,0,1,0,0,1,0,5
hyperledger/fabric,2023-06,2,2,2,0,0,0,0,0,0,0,0,6
hyperledger/fabric,2023-07,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2023-10,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2024-03,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-05,19,21,1,3,0,0,0,0,0,0,0,44
hyperledger/fabric,2025-06,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-07,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-08,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-10,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2026-03,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-x-committer,2025-07,18,22,9,2,6,32,1,1,2,0,0,93
hyperledger/fabric-x-committer,2025-08,4,7,4,0,4,1,0,0,1,0,0,21
hyperledger/fabric-x-committer,2025-09,1,4,4,0,2,2,0,0,0,0,0,13
hyperledger/fabric-x-committer,2025-10,5,7,0,0,3,2,0,0,0,0,0,17
hyperledger/fabric-x-committer,2025-11,5,7,0,1,3,0,0,0,0,0,0,16
hyperledger/fabric-x-committer,2025-12,7,10,0,0,3,0,0,0,0,0,0,20
hyperledger/fabric-x-committer,2026-01,25,13,9,5,13,25,1,0,1,0,0,92
hyperledger/fabric-x-committer,2026-02,13,11,13,10,11,40,1,0,0,0,0,99
hyperledger/fabric-x-committer,2026-03,27,23,4,8,21,11,0,0,0,1,0,95
hyperledger/fabric-x-committer,2026-04,2,5,3,2,3,7,1,0,0,3,0,26
hyperledger/fabric-x-committer,2026-05,1,2,2,1,5,2,1,0,0,0,0,14
hyperledger-labs/orion-server,2021-10,10,9,2,0,0,1,0,0,0,0,0,22
hyperledger-labs/orion-server,2021-11,42,48,16,2,9,11,0,0,0,0,0,128
hyperledger-labs/orion-server,2021-12,1,2,1,1,1,1,0,0,0,0,0,7
hyperledger-labs/orion-server,2022-01,0,0,1,0,0,1,0,0,2,0,0,4
hyperledger-labs/orion-server,2022-02,3,9,4,1,3,2,0,0,1,0,0,23
hyperledger-labs/orion-server,2022-03,17,25,6,0,2,1,0,0,1,0,0,52
hyperledger-labs/orion-server,2022-04,9,9,2,0,1,0,0,0,1,0,0,22
hyperledger-labs/orion-server,2022-05,12,21,10,4,5,5,0,0,1,0,0,58
hyperledger-labs/orion-server,2022-06,16,18,4,0,1,2,0,0,0,0,0,41
hyperledger-labs/orion-server,2022-07,15,16,2,0,1,1,0,0,0,1,0,36
hyperledger-labs/orion-server,2022-08,2,4,2,0,1,0,0,0,1,0,0,10
hyperledger-labs/orion-server,2022-10,0,0,0,1,0,1,0,0,0,0,0,2
hyperledger-labs/orion-server,2022-11,0,3,4,1,10,0,2,0,0,0,0,20
hyperledger-labs/orion-server,2022-12,2,4,2,0,1,0,0,0,0,0,0,9
hyperledger-labs/orion-server,2023-01,4,3,0,0,0,0,0,0,0,0,0,7
hyperledger-labs/orion-server,2023-02,9,11,5,7,1,0,0,0,0,0,0,33
hyperledger-labs/orion-server,2023-03,0,2,2,0,2,0,0,0,0,0,0,6
hyperledger/fabric-rfcs,2020-02,16,0,0,0,0,0,0,0,0,0,0,16
hyperledger/fabric-rfcs,2020-04,11,0,0,0,0,0,0,0,0,0,0,11
hyperledger/fabric-rfcs,2020-06,5,0,0,0,0,0,0,0,0,0,0,5
hyperledger/fabric-rfcs,2020-09,5,4,0,0,0,0,0,0,0,0,0,9
hyperledger/fabric-rfcs,2020-11,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2021-11,10,3,0,0,0,0,0,0,0,0,0,13
hyperledger/fabric-rfcs,2025-05,13,5,2,37,0,0,0,1,0,0,0,58
hyperledger/fabric-rfcs,2025-06,0,0,0,11,0,0,0,0,0,0,0,11
hyperledger/fabric-rfcs,2025-07,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger-labs/orion-sdk-go,2021-10,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/orion-sdk-go,2021-11,16,19,5,1,1,3,0,0,0,0,0,45
hyperledger-labs/orion-sdk-go,2021-12,0,4,0,1,0,0,0,0,0,0,0,5
hyperledger-labs/orion-sdk-go,2022-01,0,2,2,0,2,0,0,0,0,0,0,6
hyperledger-labs/orion-sdk-go,2022-02,4,4,1,0,0,0,0,0,0,0,0,9
hyperledger-labs/orion-sdk-go,2022-03,0,1,1,0,1,0,0,0,0,0,0,3
