repo,month,PushEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,PullRequestReviewEvent,ReleaseEvent,IssuesEvent,PullRequestReviewCommentEvent,WatchEvent,total
hyperledger/aries-framework-swift,2024-02,2,4,3,2,0,0,1,0,0,0,12
hyperledger/aries-framework-swift,2024-03,10,12,5,3,4,2,1,1,1,0,39
hyperledger/aries-framework-swift,2024-04,23,10,4,4,1,0,1,0,0,1,44
hyperledger/aries-framework-swift,2024-05,1,2,1,1,1,2,0,0,1,0,9
hyperledger/aries-framework-swift,2024-06,4,8,5,2,6,4,1,0,5,0,35
hyperledger/aries-framework-swift,2024-07,4,2,1,1,0,0,1,0,0,0,9
hyperledger/aries-framework-swift,2024-11,1,1,0,0,2,1,0,0,1,0,6
hyperledger/aries-framework-kotlin,2024-02,19,13,10,9,2,0,1,2,0,0,56
hyperledger/aries-framework-kotlin,2024-03,4,3,3,2,0,0,0,0,0,0,12
hyperledger/aries-framework-kotlin,2024-05,5,2,2,1,0,0,0,0,0,0,10
hyperledger/aries-framework-kotlin,2024-06,5,4,5,3,0,0,0,0,0,0,17
hyperledger/aries-framework-kotlin,2024-08,0,0,0,0,5,0,0,0,0,0,5
hyperledger/aries-framework-kotlin,2024-09,0,0,0,0,4,0,0,2,0,0,6
hyperledger/aries-uniffi-wrappers,2024-01,1,1,0,1,0,0,0,0,0,0,3
hyperledger/aries-uniffi-wrappers,2024-02,3,4,4,2,0,0,2,1,0,0,16
hyperledger/aries-uniffi-wrappers,2024-03,2,3,4,2,0,0,2,1,0,0,14
hyperledger/aries-uniffi-wrappers,2024-07,2,7,4,1,0,0,2,0,0,0,16
hyperledger/aries-uniffi-wrappers,2024-10,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-uniffi-wrappers,2025-03,1,6,0,0,0,0,0,0,0,0,7
LF-Decentralized-Trust-labs/aries-uniffi-wrappers,2025-04,0,0,0,0,0,2,0,0,1,0,3
LF-Decentralized-Trust-labs/aries-uniffi-wrappers,2025-05,0,0,0,0,0,2,0,0,1,0,3
openwallet-foundation/credo-ts,2024-03,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/credo-ts,2024-04,0,0,0,0,2,0,0,1,0,0,3
openwallet-foundation/credo-ts,2024-06,0,0,0,0,0,0,0,1,0,0,1
LF-Decentralized-Trust-labs/aries-framework-kotlin,2025-04,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/aries-framework-kotlin,2025-06,1,0,0,0,1,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2024-04,0,0,0,0,1,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2024-06,0,0,0,0,0,0,0,1,0,0,1
hyperledger/indy-besu,2024-02,0,0,0,0,0,0,0,0,0,1,1
