repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,IssueCommentEvent,DeleteEvent,ForkEvent,CreateEvent,total
hyperledger/fabric-x-committer,2025-07,26,25,14,24,4,4,1,0,1,99
hyperledger/fabric-x-committer,2025-08,16,18,4,4,1,4,0,0,1,48
hyperledger/fabric-x-committer,2025-09,3,2,4,4,2,3,0,0,0,18
hyperledger/fabric-x-committer,2025-10,9,14,4,18,2,3,0,0,0,50
hyperledger/fabric-x-committer,2025-11,4,24,0,3,5,0,0,0,0,36
hyperledger/fabric-x-committer,2025-12,5,7,9,3,1,0,0,0,0,25
hyperledger/fabric-x-committer,2026-01,18,14,9,8,8,3,0,0,0,60
hyperledger/fabric-x-committer,2026-02,14,17,13,14,7,6,0,0,0,71
hyperledger/fabric-x-committer,2026-03,15,20,13,12,10,2,0,0,0,72
hyperledger/fabric-x-committer,2026-04,10,11,2,2,6,1,0,0,0,32
hyperledger/fabric-x-committer,2026-05,4,3,0,1,4,3,0,0,0,15
hyperledger-labs/orion-server,2022-06,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/orion-server,2022-08,1,1,1,0,0,1,0,0,0,4
hyperledger-labs/orion-server,2022-09,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/orion-server,2022-11,1,1,2,1,0,0,0,0,0,5
hyperledger-labs/orion-server,2022-12,5,4,0,0,0,0,0,0,0,9
hyperledger-labs/orion-server,2023-01,15,4,8,0,4,0,0,0,0,31
hyperledger-labs/orion-server,2023-02,21,15,9,0,12,14,4,0,0,75
hyperledger-labs/orion-server,2023-03,6,5,3,0,0,1,0,0,0,15
hyperledger-labs/orion-server,2023-04,1,1,0,0,0,0,0,0,0,2
hyperledger-labs/orion-server,2023-06,4,2,1,0,1,0,0,0,0,8
hyperledger-labs/orion-server,2023-07,1,0,1,0,1,0,1,0,0,4
hyperledger/fabric-x-common,2025-07,1,0,4,0,1,1,1,1,0,9
hyperledger/fabric-x-common,2025-09,0,0,1,0,1,0,0,0,0,2
hyperledger/fabric-x-common,2025-10,3,1,2,1,1,0,0,0,0,8
hyperledger/fabric-x-common,2025-11,4,3,1,4,2,0,0,0,0,14
hyperledger/fabric-x-common,2025-12,0,2,5,0,0,0,0,0,0,7
hyperledger/fabric-x-common,2026-01,2,3,2,5,2,0,0,0,0,14
hyperledger/fabric-x-common,2026-02,3,0,1,6,3,2,0,0,0,15
hyperledger/fabric-x-common,2026-03,1,1,0,0,3,0,0,0,0,5
hyperledger/fabric-x-common,2026-04,1,3,0,0,0,0,0,0,0,4
hyperledger/fabric-x-common,2026-05,0,0,0,0,1,0,0,0,0,1
hyperledger-labs/orion-sdk-go,2022-11,3,1,2,0,1,0,0,1,0,8
hyperledger-labs/orion-sdk-go,2022-12,1,0,1,0,1,0,0,0,0,3
hyperledger-labs/orion-sdk-go,2023-01,4,0,1,0,1,1,0,0,0,7
hyperledger-labs/orion-sdk-go,2023-02,3,0,5,0,4,0,0,0,0,12
hyperledger-labs/orion-sdk-go,2023-04,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/orion-sdk-go,2023-06,4,2,1,0,1,0,0,0,0,8
hyperledger-labs/orion-sdk-go,2023-07,1,0,1,0,1,0,0,0,0,3
hyperledger/fabric-x,2025-07,1,0,1,0,0,0,0,0,0,2
hyperledger/fabric-lib-go,2026-03,0,0,0,0,0,0,0,1,0,1
hyperledger/governance,2025-08,0,0,1,0,0,0,0,0,0,1
