repo,month,PushEvent,CreateEvent,DeleteEvent,PullRequestEvent,IssuesEvent,ReleaseEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,WatchEvent,ForkEvent,total
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2025-07,6,6,3,0,1,4,0,0,0,0,0,20
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2025-08,14,9,8,11,3,5,0,1,0,0,0,51
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2025-09,45,18,16,22,4,8,1,3,0,0,0,117
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2025-10,42,20,9,13,2,5,0,1,0,0,0,92
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2025-11,50,7,6,2,3,3,0,0,0,0,0,71
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2025-12,29,6,4,8,1,2,0,1,0,0,0,51
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2026-01,10,2,1,2,0,0,0,1,1,0,0,17
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2026-02,7,2,2,2,0,1,0,1,2,0,0,17
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2026-03,43,10,11,4,2,0,0,0,1,0,0,71
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2026-04,124,29,22,10,11,2,11,1,9,0,0,219
LF-Decentralized-Trust-labs/fabric-x-ansible-collection,2026-05,35,4,7,1,1,0,0,1,0,0,0,49
hyperledger/fabric-x,2025-08,8,13,8,6,1,4,2,2,2,0,0,46
hyperledger/fabric-x,2025-09,1,1,1,1,0,0,0,1,0,0,0,5
hyperledger/fabric-x,2025-10,0,0,0,0,2,0,0,1,0,0,0,3
hyperledger/fabric-x,2025-12,4,1,1,1,1,0,1,2,0,0,0,11
hyperledger/fabric-x,2026-01,4,0,0,0,0,1,5,0,7,0,0,17
hyperledger/fabric-x,2026-02,6,0,1,0,0,0,5,3,2,0,0,17
hyperledger/fabric-x,2026-03,2,1,1,1,0,0,0,0,0,0,0,5
hyperledger/fabric-x,2026-04,1,1,1,0,2,0,0,0,0,0,0,5
hyperledger/fabric-x-orderer,2025-08,0,1,0,1,0,0,0,1,0,0,0,3
hyperledger/fabric-x-orderer,2025-09,0,0,0,0,0,0,2,0,2,0,0,4
hyperledger/fabric-x-orderer,2025-12,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-x-orderer,2026-01,2,0,1,1,0,0,0,0,1,0,0,5
hyperledger-labs/jsonld-vc-bbs-go,2024-09,2,1,0,0,1,0,0,0,0,0,0,4
hyperledger-labs/jsonld-vc-bbs-go,2024-11,3,2,0,1,0,2,0,0,0,1,0,9
hyperledger/fabric-x-committer,2025-07,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric-x-committer,2025-08,0,1,0,1,1,0,0,1,0,0,0,4
hyperledger/fabric-x-committer,2025-09,0,0,0,0,1,0,0,1,0,0,0,2
hyperledger/fabric-x-committer,2025-10,0,0,0,0,0,0,0,2,0,0,0,2
hyperledger/fabric-x-committer,2025-12,0,0,0,0,0,0,3,0,0,0,0,3
hyperledger/fabric-x-committer,2026-01,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-cloudagent-python,2022-09,0,0,0,1,0,0,0,2,0,0,1,4
hyperledger/aries-cloudagent-python,2022-10,0,0,0,1,0,0,0,1,0,0,0,2
hyperledger/fabric-x-common,2025-07,0,0,0,1,0,0,0,2,0,0,0,3
hyperledger/fabric-x-common,2026-04,0,0,0,0,3,0,0,0,0,0,0,3
hyperledger/fabric-ca,2026-04,0,0,0,1,0,0,0,0,0,0,1,2
hyperledger/fabric-ca,2026-05,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-x-samples,2026-04,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-token-sdk,2025-04,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2024-04,0,0,0,0,0,0,0,0,0,1,0,1
