repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,PullRequestEvent,IssueCommentEvent,CreateEvent,IssuesEvent,ReleaseEvent,DeleteEvent,ForkEvent,WatchEvent,total
hyperledger/firefly,2023-04,0,0,0,1,1,0,0,0,0,0,0,2
hyperledger/firefly,2023-05,3,3,0,6,2,0,1,0,0,0,0,15
hyperledger/firefly,2023-06,11,12,2,4,5,0,1,0,0,0,0,35
hyperledger/firefly,2023-07,1,1,1,1,1,0,0,0,0,0,0,5
hyperledger/firefly,2024-01,2,2,0,0,2,0,0,0,0,0,0,6
hyperledger/firefly,2024-02,1,1,0,1,0,0,2,0,0,0,0,5
hyperledger/firefly,2024-03,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/firefly,2024-04,9,5,3,6,7,1,1,0,0,0,0,32
hyperledger/firefly,2024-05,7,4,6,6,2,2,2,0,1,0,0,30
hyperledger/firefly,2024-06,20,17,9,8,31,4,8,0,1,0,0,98
hyperledger/firefly,2024-07,20,16,14,13,28,8,8,2,3,0,0,112
hyperledger/firefly,2024-08,22,26,9,10,13,3,4,0,0,0,0,87
hyperledger/firefly,2024-09,28,8,24,16,9,4,7,2,1,0,0,99
hyperledger/firefly,2024-10,2,0,3,3,7,5,7,1,0,0,0,28
hyperledger/firefly,2024-11,11,5,8,5,3,2,1,0,1,0,0,36
hyperledger/firefly,2024-12,8,4,2,3,1,1,2,0,0,0,1,22
hyperledger/firefly,2025-01,12,4,11,11,16,4,4,0,2,0,0,64
hyperledger/firefly,2025-02,27,24,49,19,4,7,3,0,5,0,0,138
hyperledger/firefly,2025-03,30,20,20,15,22,8,6,2,3,0,0,126
hyperledger/firefly,2025-04,9,13,2,1,6,1,0,0,0,0,0,32
hyperledger/firefly,2025-05,7,5,5,6,2,0,0,0,1,0,0,26
hyperledger/firefly,2025-06,3,2,0,1,1,0,0,0,0,0,0,7
hyperledger/firefly,2025-07,5,2,13,10,6,5,2,2,2,0,0,47
hyperledger/firefly,2025-08,1,0,0,0,1,0,1,0,0,0,0,3
hyperledger/firefly,2025-11,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/firefly,2025-12,7,2,4,1,3,1,3,0,0,0,0,21
hyperledger/firefly,2026-01,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/firefly,2026-03,0,0,4,0,0,1,1,0,0,0,0,6
hyperledger/firefly,2026-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/firefly-common,2023-04,6,6,0,2,2,0,0,0,0,0,0,16
hyperledger/firefly-common,2023-05,3,2,0,1,0,0,0,0,0,0,0,6
hyperledger/firefly-common,2023-06,1,1,1,2,2,0,0,0,0,0,0,7
hyperledger/firefly-common,2024-01,10,7,0,1,0,0,0,0,0,0,0,18
hyperledger/firefly-common,2024-02,3,3,0,4,2,0,0,0,0,0,0,12
hyperledger/firefly-common,2024-03,0,0,0,0,8,0,0,0,0,0,0,8
hyperledger/firefly-common,2024-05,5,6,0,0,1,0,0,0,0,0,0,12
hyperledger/firefly-common,2024-06,6,4,0,1,0,2,0,0,0,0,0,13
hyperledger/firefly-common,2024-07,0,0,1,0,1,0,1,0,0,0,0,3
hyperledger/firefly-common,2024-08,2,1,0,0,1,0,0,0,0,0,0,4
hyperledger/firefly-common,2024-09,6,3,3,2,0,3,0,3,0,0,0,20
hyperledger/firefly-common,2024-10,1,0,0,1,1,2,0,1,0,0,0,6
hyperledger/firefly-common,2024-12,7,6,3,4,1,1,0,1,0,0,0,23
hyperledger/firefly-common,2025-01,8,4,2,3,0,1,0,0,1,0,0,19
hyperledger/firefly-common,2025-02,4,1,2,2,0,1,0,1,1,0,0,12
hyperledger/firefly-common,2025-03,2,1,1,1,0,0,0,0,0,0,0,5
hyperledger/firefly-common,2025-04,14,8,3,3,1,0,0,0,0,0,0,29
hyperledger/firefly-common,2025-05,8,5,6,6,1,1,0,1,2,0,0,30
hyperledger/firefly-common,2025-06,2,1,1,0,0,0,0,0,1,0,0,5
hyperledger/firefly-common,2025-07,3,1,1,3,0,1,0,1,1,0,0,11
hyperledger/firefly-common,2025-09,1,0,1,1,1,0,0,0,0,0,0,4
hyperledger/firefly-common,2025-10,2,0,4,1,0,0,0,0,1,0,0,8
hyperledger/firefly-common,2025-12,2,1,4,0,0,0,0,0,1,0,0,8
hyperledger/firefly-common,2026-01,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger/firefly-common,2026-02,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-common,2026-04,3,0,1,0,1,1,0,0,0,0,0,6
hyperledger/firefly-cli,2024-02,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/firefly-cli,2024-03,0,0,0,1,0,0,0,0,0,1,0,2
hyperledger/firefly-cli,2024-06,5,18,4,4,7,2,1,0,1,0,0,42
hyperledger/firefly-cli,2024-07,5,1,4,7,4,5,1,2,1,0,0,30
hyperledger/firefly-cli,2024-08,7,2,3,3,6,0,1,0,0,0,0,22
hyperledger/firefly-cli,2024-09,4,3,1,1,2,2,2,3,0,0,0,18
hyperledger/firefly-cli,2024-10,2,1,8,2,2,3,0,2,1,0,0,21
hyperledger/firefly-cli,2024-11,5,16,0,0,0,0,0,0,0,0,0,21
hyperledger/firefly-cli,2025-01,1,0,1,1,2,0,0,0,0,0,0,5
hyperledger/firefly-cli,2025-03,4,6,1,3,4,3,0,1,2,0,0,24
hyperledger/firefly-cli,2025-04,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/firefly-cli,2025-05,4,3,1,1,3,0,0,0,0,0,0,12
hyperledger/firefly-cli,2025-07,0,0,0,3,0,0,1,0,0,0,0,4
hyperledger/firefly-cli,2025-10,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/firefly-cli,2025-11,3,2,0,0,0,0,0,0,0,0,0,5
hyperledger/firefly-cli,2025-12,0,0,1,0,1,0,0,0,0,0,0,2
hyperledger/firefly-cli,2026-03,0,0,0,0,0,2,0,0,0,0,0,2
hyperledger-labs/zeto,2024-07,6,16,0,0,0,0,0,0,0,0,0,22
hyperledger-labs/zeto,2024-08,13,14,1,1,4,1,0,0,0,0,0,34
hyperledger-labs/zeto,2024-09,15,13,1,1,0,0,0,0,0,0,0,30
hyperledger-labs/zeto,2024-10,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/zeto,2024-11,5,8,0,0,0,0,0,0,0,0,0,13
hyperledger-labs/zeto,2024-12,3,3,0,0,1,0,0,0,0,0,0,7
hyperledger-labs/zeto,2025-05,3,1,0,0,0,0,0,0,0,0,0,4
hyperledger-labs/zeto,2025-06,2,0,0,2,0,2,0,0,0,0,0,6
hyperledger-labs/zeto,2025-07,11,10,1,2,1,0,0,0,0,0,0,25
