repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,ForkEvent,CommitCommentEvent,CreateEvent,DeleteEvent,total
hyperledger-labs/weaver-dlt-interoperability,2021-03,0,0,0,2,5,0,3,0,0,0,10
hyperledger-labs/weaver-dlt-interoperability,2021-04,10,3,2,26,13,12,0,0,0,0,66
hyperledger-labs/weaver-dlt-interoperability,2021-05,90,80,1,2,13,11,1,0,0,0,198
hyperledger-labs/weaver-dlt-interoperability,2021-06,2,0,6,18,2,2,0,0,0,0,30
hyperledger-labs/weaver-dlt-interoperability,2021-07,34,27,4,0,5,4,0,0,0,0,74
hyperledger-labs/weaver-dlt-interoperability,2021-08,79,74,5,12,8,7,3,0,0,0,188
hyperledger-labs/weaver-dlt-interoperability,2021-09,53,49,12,10,4,3,0,0,0,0,131
hyperledger-labs/weaver-dlt-interoperability,2021-10,5,5,0,4,1,2,0,0,0,0,17
hyperledger-labs/weaver-dlt-interoperability,2021-11,79,78,5,5,2,1,0,0,0,0,170
hyperledger-labs/weaver-dlt-interoperability,2021-12,27,24,0,0,1,1,0,0,0,0,53
hyperledger-labs/weaver-dlt-interoperability,2022-01,0,0,0,10,0,0,0,0,0,0,10
hyperledger-labs/weaver-dlt-interoperability,2022-02,18,18,1,1,0,0,0,0,0,0,38
hyperledger-labs/weaver-dlt-interoperability,2022-03,12,10,6,0,1,1,0,0,0,0,30
hyperledger-labs/weaver-dlt-interoperability,2022-04,5,4,5,22,3,2,0,0,0,0,41
hyperledger-labs/weaver-dlt-interoperability,2022-05,83,78,13,6,2,1,0,0,0,0,183
hyperledger-labs/weaver-dlt-interoperability,2022-06,17,14,14,7,3,2,0,0,0,0,57
hyperledger-labs/weaver-dlt-interoperability,2022-07,10,9,4,3,3,2,0,0,0,0,31
hyperledger-labs/weaver-dlt-interoperability,2022-08,18,18,1,1,1,0,0,0,0,0,39
