repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,CreateEvent,DeleteEvent,GollumEvent,ReleaseEvent,ForkEvent,total
hyperledger/besu,2024-01,12,21,12,14,6,7,0,0,0,0,0,72
hyperledger/besu,2024-02,7,10,8,4,3,2,0,0,0,0,0,34
hyperledger/besu,2024-03,3,10,1,10,3,4,0,0,0,0,0,31
hyperledger/besu,2024-04,6,6,6,6,2,3,0,0,0,0,0,29
hyperledger/besu,2024-05,6,14,6,3,0,1,0,0,0,0,0,30
hyperledger/besu,2024-06,22,12,21,8,4,4,0,0,0,0,0,71
hyperledger/besu,2024-07,0,7,0,7,3,0,0,0,0,0,0,17
hyperledger/besu,2024-08,1,4,0,5,2,0,0,0,0,0,0,12
hyperledger/besu,2024-09,6,22,11,6,3,4,0,0,0,0,0,52
hyperledger/besu,2024-10,1,3,1,3,1,1,0,0,0,0,0,10
hyperledger/besu,2024-11,3,15,2,2,2,2,0,0,0,0,0,26
hyperledger/besu,2024-12,2,6,3,0,0,0,0,0,0,0,0,11
hyperledger/besu,2025-01,20,4,20,0,1,0,0,0,0,0,0,45
hyperledger/besu,2025-02,3,14,6,8,5,2,1,1,0,0,0,40
hyperledger/besu,2025-03,1,9,1,8,4,5,0,0,0,0,0,28
hyperledger/besu,2025-04,2,2,0,1,0,0,0,0,0,0,0,5
hyperledger/besu,2025-05,0,3,0,2,1,0,0,0,0,0,0,6
hyperledger/besu,2025-06,9,1,6,0,0,0,0,0,0,0,0,16
hyperledger/besu,2025-07,2,0,2,2,0,0,0,0,0,0,0,6
hyperledger/besu,2025-08,3,0,3,0,0,0,0,0,0,0,0,6
hyperledger/besu,2025-09,2,0,2,1,0,0,0,0,0,0,0,5
hyperledger/besu,2025-11,4,1,1,0,0,0,0,0,0,0,0,6
hyperledger/besu,2025-12,0,0,0,0,0,2,0,0,0,0,0,2
hyperledger/besu,2026-01,0,3,1,1,0,2,0,0,0,0,0,7
