repo,month,PullRequestEvent,PushEvent,DeleteEvent,CreateEvent,IssueCommentEvent,PullRequestReviewEvent,IssuesEvent,PullRequestReviewCommentEvent,MemberEvent,GollumEvent,ForkEvent,DiscussionEvent,CommitCommentEvent,total
hyperledger/governance,2024-01,0,0,0,0,4,0,4,0,0,0,0,0,0,8
hyperledger/governance,2024-02,0,0,0,0,5,0,4,0,0,0,0,0,0,9
hyperledger/governance,2024-03,34,27,18,17,8,0,6,0,0,0,0,0,0,110
hyperledger/governance,2024-04,29,25,10,10,13,8,11,0,0,0,0,0,0,106
hyperledger/governance,2024-05,12,9,5,4,3,3,4,1,0,0,1,0,0,42
hyperledger/governance,2024-06,23,17,7,5,6,2,5,0,0,0,0,0,0,65
hyperledger/governance,2024-07,17,16,2,2,10,5,5,0,0,0,0,0,0,57
hyperledger/governance,2024-08,4,3,0,1,2,2,0,0,0,0,0,0,0,12
hyperledger/governance,2024-09,13,10,3,3,4,4,0,0,0,0,0,0,0,37
hyperledger/governance,2024-10,32,26,13,14,3,6,1,1,0,0,0,0,0,96
hyperledger/governance,2024-11,10,7,4,4,1,2,0,0,0,0,0,0,0,28
hyperledger/governance,2024-12,1,1,0,0,0,1,0,0,0,0,0,0,0,3
hyperledger/governance,2025-01,22,14,9,9,7,4,2,0,0,0,0,0,0,67
hyperledger/governance,2025-02,7,4,4,2,0,0,0,0,0,0,0,0,0,17
hyperledger/governance,2025-03,2,2,1,1,0,1,0,0,0,0,0,0,0,7
hyperledger/governance,2025-04,8,6,5,5,0,0,0,0,0,0,0,0,0,24
hyperledger/governance,2025-05,2,2,1,0,1,1,0,0,0,0,0,0,0,7
hyperledger/governance,2025-06,0,3,0,0,1,0,0,0,0,0,0,0,0,4
hyperledger/governance,2025-07,6,3,2,2,0,2,0,0,0,0,0,0,0,15
hyperledger/governance,2025-08,1,2,0,1,0,0,0,0,0,0,0,0,0,4
hyperledger/governance,2025-09,2,1,1,0,0,1,0,0,0,0,0,0,0,5
hyperledger/governance,2025-10,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/governance,2025-11,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/governance,2025-12,3,1,1,3,0,1,0,0,0,0,0,0,0,9
hyperledger/governance,2026-01,0,1,2,0,0,0,0,0,0,0,0,0,0,3
hyperledger/governance,2026-02,2,3,0,1,0,0,0,0,0,0,0,0,0,6
hyperledger/governance,2026-03,0,1,1,1,1,0,0,0,0,0,0,0,0,4
hyperledger/governance,2026-04,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2024-07,1,1,1,1,0,0,0,0,1,0,0,0,0,5
LF-Decentralized-Trust/governance,2024-08,6,2,2,3,0,0,0,0,0,0,0,0,0,13
LF-Decentralized-Trust/governance,2024-09,21,26,1,1,1,11,0,3,0,0,0,0,0,64
LF-Decentralized-Trust/governance,2024-10,13,9,3,3,1,0,0,0,0,0,0,0,0,29
LF-Decentralized-Trust/governance,2024-11,5,4,2,1,0,0,0,0,0,0,0,0,0,12
LF-Decentralized-Trust/governance,2024-12,11,10,4,5,0,0,10,0,0,0,1,0,0,41
LF-Decentralized-Trust/governance,2025-01,14,11,4,4,1,1,0,0,0,5,0,0,0,40
LF-Decentralized-Trust/governance,2025-02,4,4,2,2,1,0,0,0,0,0,0,0,0,13
LF-Decentralized-Trust/governance,2025-03,9,6,4,2,1,2,0,0,0,0,0,0,0,24
LF-Decentralized-Trust/governance,2025-04,6,6,1,0,5,0,0,0,0,0,0,0,0,18
LF-Decentralized-Trust/governance,2025-05,6,6,2,1,1,0,0,0,0,0,0,0,0,16
LF-Decentralized-Trust/governance,2025-06,2,1,0,0,1,0,0,0,0,0,0,0,0,4
LF-Decentralized-Trust/governance,2025-07,6,6,1,1,0,0,0,0,0,0,0,0,0,14
LF-Decentralized-Trust/governance,2025-08,13,8,1,2,1,1,0,0,0,0,0,0,0,26
LF-Decentralized-Trust/governance,2025-09,10,15,3,1,1,2,0,1,0,0,0,0,0,33
LF-Decentralized-Trust/governance,2025-10,3,5,1,3,0,1,1,0,0,0,0,0,0,14
LF-Decentralized-Trust/governance,2025-11,2,11,2,3,0,1,4,0,0,0,0,0,0,23
LF-Decentralized-Trust/governance,2025-12,0,1,1,0,0,0,7,0,0,0,0,0,0,9
LF-Decentralized-Trust/governance,2026-01,2,11,3,2,0,1,0,0,0,0,0,0,0,19
LF-Decentralized-Trust/governance,2026-02,1,5,4,1,1,1,3,0,0,0,0,0,0,16
LF-Decentralized-Trust/governance,2026-03,1,7,2,0,0,0,0,0,0,0,0,0,0,10
LF-Decentralized-Trust/governance,2026-04,0,8,0,0,0,0,0,0,0,0,0,0,0,8
LF-Decentralized-Trust/governance,2026-05,0,5,2,1,0,0,0,0,0,0,0,0,0,8
hyperledger-labs/governance,2024-01,0,0,0,0,6,0,4,0,0,0,0,0,0,10
hyperledger-labs/governance,2024-02,0,0,0,0,6,0,3,0,0,0,0,0,0,9
hyperledger-labs/governance,2024-03,11,18,4,5,7,0,2,0,0,0,0,0,0,47
hyperledger-labs/governance,2024-04,7,6,5,3,0,0,0,0,0,0,0,0,0,21
hyperledger-labs/governance,2024-05,8,9,4,3,2,4,1,1,0,0,0,0,0,32
hyperledger-labs/governance,2024-06,11,8,5,5,2,2,1,0,0,0,0,0,0,34
hyperledger-labs/governance,2024-07,9,5,4,4,1,0,4,0,0,0,0,0,0,27
hyperledger-labs/governance,2024-08,9,6,4,4,2,1,2,0,0,0,0,0,0,28
hyperledger-labs/governance,2024-09,4,3,1,1,2,1,2,0,0,0,0,0,0,14
hyperledger-labs/governance,2024-10,5,5,3,2,2,0,0,0,0,0,0,0,0,17
hyperledger-labs/governance,2024-11,5,4,1,1,0,1,0,0,0,0,0,0,0,12
hyperledger-labs/governance,2024-12,2,2,0,0,2,1,2,0,0,0,0,0,0,9
hyperledger-labs/governance,2025-02,9,5,5,5,0,0,5,0,0,0,0,0,0,29
hyperledger-labs/governance,2025-03,6,4,4,4,1,0,5,0,0,0,0,0,0,24
hyperledger-labs/governance,2025-04,5,3,2,2,0,0,0,0,0,0,0,0,0,12
hyperledger-labs/governance,2025-05,8,9,4,1,0,2,0,0,0,0,0,0,0,24
hyperledger-labs/governance,2025-06,10,5,5,4,1,1,0,0,0,0,0,0,0,26
hyperledger-labs/governance,2025-07,2,3,2,1,0,0,1,0,0,0,0,0,0,9
hyperledger-labs/governance,2025-08,1,1,0,0,0,1,0,0,0,0,0,0,0,3
hyperledger-labs/governance,2025-09,2,1,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/governance,2025-10,0,4,2,2,0,3,0,0,0,0,0,0,0,11
hyperledger-labs/governance,2025-11,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/governance,2025-12,2,2,0,0,0,0,0,0,0,0,0,0,0,4
hyperledger-labs/governance,2026-01,1,2,0,0,0,1,0,0,0,0,0,0,0,4
hyperledger-labs/governance,2026-02,2,2,3,3,0,0,0,0,0,0,0,0,0,10
hyperledger-labs/governance,2026-03,0,1,1,1,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/governance,2026-04,0,0,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/governance,2026-05,0,0,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2024-01,12,3,6,0,0,1,0,0,0,0,0,0,0,22
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2024-02,6,7,0,3,2,0,0,0,0,0,0,0,0,18
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2024-04,2,3,1,1,0,0,0,0,0,0,0,0,0,7
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2024-05,5,1,7,0,0,1,0,0,0,0,0,0,0,14
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2024-06,6,2,1,0,0,1,0,0,0,0,0,0,0,10
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2024-08,2,1,1,1,0,0,0,0,0,0,0,0,0,5
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2024-09,2,4,2,0,1,1,0,0,0,0,0,0,0,10
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2024-11,19,22,13,9,2,2,0,0,0,0,0,0,0,67
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-02,2,1,2,1,0,0,0,0,0,0,0,0,0,6
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-03,1,0,1,0,2,1,0,0,0,0,0,0,0,5
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-04,0,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-05,9,6,13,4,0,0,0,0,0,0,0,0,0,32
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-06,1,0,2,0,0,0,0,0,0,0,0,0,0,3
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-08,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-09,1,2,1,0,0,0,1,0,0,0,0,0,0,5
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2025-12,0,3,1,0,0,0,0,0,0,0,0,0,0,4
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2026-04,0,2,41,0,0,0,0,0,0,0,0,0,0,43
hyperledger-dlt-landscape/hyperledger-dlt-landscape,2026-05,0,5,0,0,0,0,0,0,0,0,0,0,0,5
LF-Decentralized-Trust-labs/governance,2024-10,0,0,0,2,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust-labs/governance,2024-11,16,10,5,7,0,1,0,0,0,0,0,0,0,39
LF-Decentralized-Trust-labs/governance,2024-12,2,1,1,1,0,0,0,0,0,0,0,0,0,5
LF-Decentralized-Trust-labs/governance,2025-01,4,2,2,2,0,0,0,0,0,0,0,0,0,10
LF-Decentralized-Trust-labs/governance,2025-02,3,3,0,0,0,1,0,0,0,0,0,0,0,7
LF-Decentralized-Trust-labs/governance,2025-03,2,1,1,1,0,0,0,0,0,0,0,0,0,5
LF-Decentralized-Trust-labs/governance,2025-04,15,10,6,8,0,1,0,0,0,0,0,0,0,40
LF-Decentralized-Trust-labs/governance,2025-05,8,5,5,6,0,0,0,0,0,0,0,0,0,24
LF-Decentralized-Trust-labs/governance,2025-06,4,2,1,1,0,1,0,0,0,0,0,0,0,9
LF-Decentralized-Trust-labs/governance,2025-07,6,5,5,2,0,2,0,0,0,0,0,0,0,20
LF-Decentralized-Trust-labs/governance,2025-08,2,3,2,3,0,0,0,0,0,0,0,0,0,10
LF-Decentralized-Trust-labs/governance,2025-09,9,3,2,5,0,0,0,0,0,0,0,0,0,19
LF-Decentralized-Trust-labs/governance,2025-10,1,1,1,0,0,1,0,0,0,0,0,0,0,4
LF-Decentralized-Trust-labs/governance,2025-11,4,1,4,3,0,0,0,0,0,0,0,0,0,12
LF-Decentralized-Trust-labs/governance,2025-12,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/governance,2026-01,0,2,4,0,0,0,0,0,0,0,0,0,0,6
LF-Decentralized-Trust-labs/governance,2026-02,4,0,1,0,0,0,0,0,0,0,0,0,0,5
LF-Decentralized-Trust-labs/governance,2026-03,0,3,1,1,0,0,0,0,0,0,0,0,0,5
