repo,month,PushEvent,CreateEvent,PullRequestEvent,DeleteEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,total
LFDT-Nightstream/Starstream,2025-10,5,2,1,0,1,0,1,10
LFDT-Nightstream/Starstream,2025-11,15,8,2,5,1,0,0,31
LFDT-Nightstream/Starstream,2025-12,12,2,2,1,5,1,0,23
LFDT-Nightstream/Starstream,2026-01,10,0,3,1,0,0,0,14
LFDT-Nightstream/Starstream,2026-02,9,1,2,1,2,2,0,17
LFDT-Nightstream/Starstream,2026-03,4,1,0,0,1,0,0,6
LFDT-Nightstream/Starstream,2026-04,2,0,0,1,0,0,0,3
LFDT-Nightstream/Starstream,2026-05,4,0,0,1,0,0,0,5
LFDT-Nightstream/MVE-Planning,2026-03,2,0,0,0,0,0,0,2
LFDT-Nightstream/MVE-Planning,2026-04,2,0,0,0,0,0,0,2
LFDT-Minokawa/compact,2026-02,0,0,1,0,0,0,0,1
