repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssueCommentEvent,IssuesEvent,CreateEvent,DeleteEvent,ReleaseEvent,GollumEvent,ForkEvent,WatchEvent,total
hyperledger/firefly,2021-09,17,15,10,4,16,2,0,0,0,0,0,0,64
hyperledger/firefly,2021-10,31,27,1,2,5,1,0,0,0,0,0,0,67
hyperledger/firefly,2021-11,20,17,21,10,12,9,0,0,0,0,0,0,89
hyperledger/firefly,2021-12,27,19,19,7,8,2,1,0,2,0,0,0,85
hyperledger/firefly,2022-01,52,34,25,9,19,8,0,0,0,0,0,0,147
hyperledger/firefly,2022-02,98,71,22,11,30,11,2,0,2,3,0,0,250
hyperledger/firefly,2022-03,120,93,11,4,13,8,2,0,1,0,0,0,252
hyperledger/firefly,2022-04,80,54,47,14,14,20,0,1,0,0,0,0,230
hyperledger/firefly,2022-05,102,89,25,8,13,5,5,16,2,0,0,0,265
hyperledger/firefly,2022-06,53,47,29,8,5,2,1,0,1,0,0,0,146
hyperledger/firefly,2022-07,33,27,24,8,10,1,0,0,0,14,0,0,117
hyperledger/firefly,2022-08,59,42,66,25,44,33,1,0,1,21,0,0,292
hyperledger/firefly,2022-09,13,6,9,4,6,3,0,0,0,0,0,0,41
hyperledger/firefly,2022-10,1,0,0,0,5,4,0,0,0,0,0,0,10
hyperledger/firefly,2022-11,4,2,0,0,0,2,0,0,0,0,0,0,8
hyperledger/firefly,2022-12,1,0,1,0,0,3,0,0,0,13,0,0,18
hyperledger/firefly,2023-01,21,17,17,2,9,3,3,1,0,0,0,0,73
hyperledger/firefly,2023-02,6,2,8,3,1,3,2,3,2,0,0,0,30
hyperledger/firefly,2023-03,26,22,16,1,7,6,2,3,0,0,0,0,83
hyperledger/firefly,2023-04,7,6,19,3,21,5,3,0,0,0,0,0,64
hyperledger/firefly,2023-05,22,19,16,6,12,4,0,0,0,0,0,0,79
hyperledger/firefly,2023-06,4,2,11,4,3,3,3,3,0,0,0,0,33
hyperledger/firefly,2023-07,2,1,6,0,1,3,2,2,0,0,0,0,17
hyperledger/firefly,2023-08,3,0,5,1,1,1,1,1,0,0,0,0,13
hyperledger/firefly,2023-09,17,12,2,1,1,3,0,0,0,0,0,0,36
hyperledger/firefly,2023-10,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly,2023-11,3,2,2,0,0,1,0,0,0,0,0,0,8
hyperledger/firefly,2023-12,3,1,1,0,2,1,0,1,0,0,0,0,9
hyperledger/firefly,2024-01,6,5,0,0,0,0,0,0,0,0,0,0,11
hyperledger/firefly,2024-02,0,0,0,0,4,2,0,0,0,0,0,0,6
hyperledger/firefly,2024-03,0,0,0,0,5,1,0,0,0,0,0,0,6
hyperledger/firefly,2024-04,9,8,1,0,0,0,2,2,0,0,0,0,22
hyperledger/firefly,2024-05,11,9,1,0,0,0,1,1,0,0,0,0,23
hyperledger/firefly,2024-06,2,0,0,0,1,0,0,0,0,0,0,0,3
hyperledger/firefly,2024-08,4,1,8,5,2,0,4,4,1,0,0,0,29
hyperledger/firefly,2024-11,7,4,1,1,0,0,1,1,0,0,0,0,15
hyperledger/firefly,2025-02,8,3,2,1,1,0,0,0,0,0,0,0,15
hyperledger/firefly,2025-03,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly,2025-05,1,0,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/paladin,2024-11,27,18,14,20,5,4,12,7,0,0,0,1,108
LF-Decentralized-Trust-labs/paladin,2024-12,11,7,14,29,9,4,10,4,0,0,1,0,89
LF-Decentralized-Trust-labs/paladin,2025-01,11,10,9,75,17,4,7,4,0,0,0,0,137
LF-Decentralized-Trust-labs/paladin,2025-02,35,32,2,8,4,2,0,2,0,0,0,0,85
LF-Decentralized-Trust-labs/paladin,2025-03,41,39,8,11,0,7,4,3,0,0,0,0,113
LF-Decentralized-Trust-labs/paladin,2025-04,10,9,4,4,1,2,4,0,0,0,0,0,34
LF-Decentralized-Trust-labs/paladin,2025-05,2,2,6,13,3,5,2,5,0,0,0,0,38
LF-Decentralized-Trust-labs/paladin,2025-06,16,18,9,11,3,7,7,3,0,0,0,0,74
LF-Decentralized-Trust-labs/paladin,2025-07,5,4,9,6,3,1,4,1,0,0,0,0,33
LF-Decentralized-Trust-labs/paladin,2025-08,10,6,7,10,1,1,6,0,0,0,0,0,41
LF-Decentralized-Trust-labs/paladin,2025-09,2,2,0,2,2,0,0,0,0,0,0,0,8
LF-Decentralized-Trust-labs/paladin,2025-10,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-tokens-erc20-erc721,2022-02,26,22,2,2,0,0,0,0,0,0,0,0,52
hyperledger/firefly-tokens-erc20-erc721,2022-03,2,2,6,3,2,1,2,0,1,0,0,0,19
hyperledger/firefly-tokens-erc20-erc721,2022-04,11,6,15,4,2,1,1,0,0,0,0,0,40
hyperledger/firefly-tokens-erc20-erc721,2022-05,0,0,0,0,0,0,1,1,1,0,0,0,3
hyperledger/firefly-tokens-erc20-erc721,2022-06,16,15,0,0,0,0,0,0,0,0,0,0,31
hyperledger/firefly-tokens-erc20-erc721,2022-07,2,0,1,0,0,0,0,0,0,0,0,0,3
hyperledger/firefly-tokens-erc20-erc721,2022-08,1,0,2,3,1,0,0,0,0,0,0,0,7
hyperledger/firefly-tokens-erc20-erc721,2022-09,3,0,4,3,1,1,0,2,0,0,0,0,14
hyperledger/firefly-tokens-erc20-erc721,2022-12,10,9,3,1,0,0,0,0,0,0,0,0,23
