repo,month,PullRequestEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,DeleteEvent,ForkEvent,WatchEvent,CreateEvent,ReleaseEvent,total
hyperledger/fabric-docs-i18n,2020-07,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/fabric-docs-i18n,2020-08,4,0,9,21,0,3,0,0,0,0,0,37
hyperledger/fabric-docs-i18n,2020-09,4,4,3,11,0,34,0,0,0,0,0,56
hyperledger/fabric-docs-i18n,2020-10,2,3,1,9,0,0,0,0,0,0,0,15
hyperledger/fabric-docs-i18n,2020-11,2,4,2,6,1,0,0,0,0,0,0,15
hyperledger/fabric-docs-i18n,2021-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-docs-i18n,2021-02,3,0,1,0,0,2,0,0,0,0,0,6
hyperledger/fabric-docs-i18n,2021-03,1,1,2,0,0,0,0,0,0,0,0,4
hyperledger/fabric-docs-i18n,2021-05,1,3,1,1,1,1,0,0,0,0,0,8
hyperledger/fabric-docs-i18n,2021-06,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-docs-i18n,2021-07,1,8,1,17,1,1,0,0,0,0,0,29
hyperledger/fabric-docs-i18n,2021-08,2,4,0,2,2,1,0,0,0,0,0,11
hyperledger/fabric-docs-i18n,2021-10,0,0,1,0,0,17,0,0,0,0,0,18
hyperledger/fabric-docs-i18n,2022-04,4,6,1,34,2,2,0,0,0,0,0,49
hyperledger/fabric-docs-i18n,2022-05,2,2,1,0,2,2,0,0,0,0,0,9
hyperledger/fabric-docs-i18n,2022-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-docs-i18n,2022-11,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger/fabric-docs-i18n,2023-01,3,0,4,0,0,3,0,0,0,0,0,10
hyperledger/fabric-docs-i18n,2023-02,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-docs-i18n,2023-03,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger/fabric-docs-i18n,2023-05,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-docs-i18n,2023-06,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-docs-i18n,2023-08,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger/fabric-docs-i18n,2023-10,1,1,2,0,0,1,0,0,0,0,0,5
hyperledger/fabric-docs-i18n,2023-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-docs-i18n,2024-06,1,2,0,0,1,0,0,0,0,0,0,4
hyperledger/fabric-docs-i18n,2024-07,2,5,0,0,2,1,0,0,0,0,0,10
hyperledger/fabric-docs-i18n,2024-08,2,4,1,0,1,0,0,0,0,0,0,8
hyperledger/fabric-docs-i18n,2024-09,2,6,1,9,2,1,0,0,0,0,0,21
hyperledger/fabric-docs-i18n,2024-11,1,3,0,11,1,3,0,0,0,0,0,19
hyperledger/fabric-docs-i18n,2024-12,1,1,0,0,1,1,0,0,0,0,0,4
