repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,IssueCommentEvent,CreateEvent,PullRequestReviewCommentEvent,DeleteEvent,IssuesEvent,ReleaseEvent,ForkEvent,total
hyperledger/web3j,2024-04,20,24,5,13,7,0,3,2,0,0,74
hyperledger/web3j,2024-05,6,6,2,8,5,1,1,3,0,0,32
hyperledger/web3j,2024-06,5,4,10,4,0,3,0,0,0,0,26
hyperledger/web3j,2024-07,2,2,8,2,0,4,0,0,0,0,18
hyperledger/web3j,2024-08,2,3,8,3,1,6,0,1,0,0,24
hyperledger/web3j,2024-09,3,3,1,0,2,0,1,0,0,0,10
hyperledger/web3j,2024-10,16,2,3,1,0,0,1,0,0,0,23
hyperledger-web3j/web3j,2024-11,8,4,5,0,2,3,0,0,0,0,22
hyperledger-web3j/web3j,2024-12,4,4,5,4,0,1,0,0,0,0,18
hyperledger-web3j/web3j,2025-01,9,6,3,5,2,0,0,3,0,0,28
hyperledger-web3j/web3j,2025-02,16,4,4,0,2,5,1,0,0,0,32
hyperledger-web3j/web3j,2025-03,0,0,1,1,0,0,0,0,0,0,2
hyperledger/web3j-evm,2024-04,6,5,0,0,3,0,1,0,0,0,15
hyperledger/web3j-evm,2024-05,8,5,2,0,5,2,0,0,0,0,22
hyperledger/web3j-evm,2024-09,2,4,0,0,3,0,2,0,0,0,11
hyperledger/web3j-installer,2024-04,1,1,1,0,0,0,0,0,0,0,3
hyperledger/web3j-installer,2024-10,28,10,0,1,5,0,0,0,0,0,44
hyperledger/besu-native,2024-06,0,0,0,0,0,0,0,0,0,1,1
hyperledger/besu-native,2024-07,0,0,6,7,0,7,0,0,0,0,20
hyperledger/besu-native,2024-08,0,1,4,6,0,4,0,0,0,0,15
hyperledger/besu-native,2024-09,0,1,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2024-10,0,1,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2024-12,0,0,2,1,0,4,0,0,0,0,7
hyperledger/web3j-sokt,2024-04,13,7,0,0,4,0,3,0,0,0,27
hyperledger/web3j-sokt,2024-05,5,5,0,1,4,0,1,1,0,0,17
hyperledger/web3j-unit,2024-04,3,3,0,0,1,0,1,0,0,0,8
hyperledger/web3j-unit,2024-05,14,6,0,0,5,0,1,0,0,0,26
hyperledger/web3j-unit,2024-09,2,3,0,0,2,0,1,0,0,0,8
hyperledger/web3j-gradle-plugin,2024-04,1,1,0,0,0,0,0,0,0,0,2
hyperledger/web3j-gradle-plugin,2024-05,2,4,0,2,7,0,0,0,3,0,18
hyperledger/web3j-gradle-plugin,2024-07,1,1,1,0,0,0,0,0,0,0,3
hyperledger/web3j-gradle-plugin,2024-09,1,2,0,1,3,0,0,0,2,0,9
hyperledger/web3j-openapi,2024-04,3,3,0,0,1,0,0,0,0,0,7
hyperledger/web3j-openapi,2024-10,6,6,0,4,3,0,2,2,0,0,23
hyperledger/web3j-solidity-gradle-plugin,2024-05,6,7,0,3,6,0,0,0,2,0,24
