repo,month,PushEvent,PullRequestEvent,CreateEvent,IssueCommentEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,ReleaseEvent,DeleteEvent,ForkEvent,total
LFDT-web3j/web3j,2025-03,6,8,2,4,2,1,0,0,0,0,23
LFDT-web3j/web3j,2025-04,4,5,2,3,5,7,0,0,0,0,26
LFDT-web3j/web3j,2025-05,0,1,1,1,1,1,0,0,0,0,5
LFDT-web3j/web3j,2025-06,2,2,0,4,3,2,2,0,0,0,15
LFDT-web3j/web3j,2025-07,8,7,2,5,2,0,1,0,0,0,25
LFDT-web3j/web3j,2025-08,10,10,0,2,0,0,1,0,0,0,23
LFDT-web3j/web3j,2025-09,4,3,3,0,0,0,0,1,0,0,11
LFDT-web3j/web3j,2025-10,0,0,0,3,0,0,2,0,0,0,5
LFDT-web3j/web3j,2025-11,2,0,0,1,1,0,0,0,0,0,4
LFDT-web3j/web3j,2026-01,5,2,2,3,3,0,0,0,0,0,15
LFDT-web3j/web3j,2026-04,1,0,0,2,0,0,0,0,0,0,3
hyperledger/web3j,2024-04,15,15,5,0,0,0,0,0,0,0,35
hyperledger/web3j,2024-05,1,2,0,0,3,1,1,0,0,0,8
hyperledger/web3j,2024-06,7,3,1,1,1,0,0,0,1,0,14
hyperledger/web3j,2024-07,2,2,0,5,3,3,1,0,0,0,16
hyperledger/web3j,2024-08,14,10,5,5,4,2,1,1,0,0,42
hyperledger/web3j,2024-09,1,0,0,6,0,0,2,0,0,0,9
hyperledger/web3j,2024-10,1,2,1,1,1,0,0,0,0,0,6
hyperledger-web3j/web3j,2024-11,0,0,0,0,2,6,0,0,0,0,8
hyperledger-web3j/web3j,2024-12,8,8,5,3,5,1,2,0,0,0,32
hyperledger-web3j/web3j,2025-01,12,2,1,0,0,0,0,1,0,0,16
hyperledger-web3j/web3j,2025-02,3,2,2,4,3,5,2,0,0,0,21
hyperledger-web3j/web3j,2025-03,6,10,3,1,0,0,0,0,0,0,20
LFDT-web3j/web3j-unit,2025-03,5,3,1,0,0,0,0,0,0,0,9
LFDT-web3j/web3j-unit,2025-04,1,2,2,1,0,0,0,0,0,0,6
LFDT-web3j/web3j-unit,2026-01,11,3,2,0,0,0,0,1,0,0,17
LFDT-web3j/web3j-unit,2026-02,2,1,1,0,0,0,0,0,0,0,4
hyperledger/web3j-maven-plugin,2024-05,8,1,2,0,0,0,0,1,0,0,12
hyperledger/web3j-maven-plugin,2024-08,6,8,5,0,0,0,0,1,0,0,20
LFDT-web3j/web3j-gradle-plugin,2025-04,3,4,2,3,0,0,3,0,0,0,15
LFDT-web3j/web3j-gradle-plugin,2025-11,0,0,0,0,0,0,1,0,0,0,1
LFDT-web3j/web3j-gradle-plugin,2026-01,4,4,2,0,0,0,0,1,0,0,11
LFDT-web3j/web3j-maven-plugin,2025-04,5,4,2,2,0,0,2,0,0,0,15
LFDT-web3j/web3j-maven-plugin,2025-10,0,0,0,1,0,0,1,0,0,0,2
LFDT-web3j/web3j-maven-plugin,2026-01,4,2,1,1,0,0,0,1,0,0,9
hyperledger-web3j/web3j-maven-plugin,2024-12,9,2,4,0,0,0,0,1,1,0,17
hyperledger-web3j/web3j-maven-plugin,2025-03,3,2,1,0,0,0,0,1,0,0,7
LFDT-web3j/web3j-solidity-gradle-plugin,2025-04,3,4,3,4,0,0,4,1,0,0,19
LFDT-web3j/web3j-solidity-gradle-plugin,2026-01,1,1,1,0,0,0,0,0,0,0,3
LFDT-web3j/web3j-sokt,2025-04,3,4,3,0,0,0,0,0,0,0,10
LFDT-web3j/web3j-sokt,2026-01,6,3,2,0,0,0,0,0,0,0,11
hyperledger-web3j/web3j-evm,2024-12,5,3,2,0,0,0,0,0,0,0,10
hyperledger-web3j/web3j-evm,2025-02,2,2,0,0,0,0,0,0,0,0,4
hyperledger-web3j/web3j-evm,2025-03,2,3,2,0,0,0,0,0,0,0,7
hyperledger/web3j-evm,2024-05,1,1,0,0,3,2,0,0,0,0,7
hyperledger/web3j-evm,2024-08,3,4,4,0,0,0,0,1,0,0,12
LFDT-web3j/web3j-installer,2025-04,2,3,1,0,0,0,0,0,0,0,6
LFDT-web3j/web3j-installer,2025-08,3,3,1,0,0,0,0,0,0,0,7
LFDT-web3j/web3j-installer,2026-02,2,2,1,0,0,0,0,0,0,0,5
hyperledger/besu,2024-01,0,0,0,3,2,2,0,0,0,0,7
hyperledger/besu,2024-04,0,0,0,1,0,0,0,0,0,0,1
hyperledger/besu,2024-05,0,2,0,1,1,1,0,0,0,0,5
hyperledger/besu,2024-06,0,1,0,0,1,1,0,0,0,0,3
hyperledger/besu,2024-07,0,0,0,0,0,0,1,0,0,0,1
