repo,month,PushEvent,DeleteEvent,CreateEvent,PullRequestEvent,IssueCommentEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,WatchEvent,IssuesEvent,ReleaseEvent,total
OpenVTC/verifiable-trust-infrastructure,2026-03,46,8,7,5,0,0,0,1,0,0,67
OpenVTC/verifiable-trust-infrastructure,2026-04,60,5,5,6,0,1,0,0,0,1,78
OpenVTC/verifiable-trust-infrastructure,2026-05,131,46,44,17,1,0,0,0,0,0,239
trustoverip/dtgwg-trust-tasks-tf,2026-03,0,0,1,0,0,0,0,0,0,0,1
trustoverip/dtgwg-trust-tasks-tf,2026-05,31,24,25,5,1,0,0,1,0,0,87
OpenVTC/openvtc,2026-04,47,3,5,2,6,2,0,0,1,0,66
OpenVTC/openvtc,2026-05,13,0,3,0,0,0,0,0,0,0,16
OpenVTC/vta-browser-plugin,2026-05,34,24,16,6,0,0,0,0,0,0,80
LF-Decentralized-Trust-labs/verifiable-trust-infrastructure,2026-02,4,2,2,0,0,0,0,0,0,0,8
LF-Decentralized-Trust-labs/verifiable-trust-infrastructure,2026-03,48,0,1,3,0,0,0,0,0,0,52
openwallet-foundation-labs/tsp,2025-08,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation-labs/tsp,2025-09,0,0,0,0,7,2,2,0,0,0,11
OpenVTC/governance,2026-05,1,4,2,1,0,0,0,0,0,0,8
LF-Decentralized-Trust-labs/openvtc,2026-02,0,0,1,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/openvtc,2026-03,4,0,1,1,0,0,0,0,0,0,6
LF-Decentralized-Trust-labs/dtg-credentials,2026-02,1,0,0,1,0,0,0,0,0,0,2
LF-Decentralized-Trust-labs/dtg-credentials,2026-03,1,1,0,0,0,0,0,0,0,0,2
OpenVTC/rp-sdk-js,2026-05,4,0,0,0,0,0,0,0,0,0,4
OpenVTC/dtg-credentials,2026-03,0,0,1,1,0,0,0,0,0,0,2
OpenVTC/dtg-credentials,2026-04,0,0,0,1,0,0,0,0,0,0,1
OpenVTC/vti-didcomm-js,2026-05,2,0,0,1,0,0,0,0,0,0,3
trustoverip/tswg-trust-registry-protocol,2025-05,0,0,0,0,1,0,0,0,0,0,1
