repo,month,IssueCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,PullRequestReviewEvent,CreateEvent,DeleteEvent,WatchEvent,ForkEvent,PullRequestReviewCommentEvent,total
PQCA/TAC,2024-04,6,5,1,0,3,0,0,0,1,1,17
PQCA/TAC,2024-05,3,4,0,2,1,0,0,0,0,0,10
PQCA/TAC,2024-06,1,3,0,3,0,1,0,0,0,0,8
PQCA/TAC,2024-07,6,5,2,4,1,2,2,0,0,0,22
PQCA/TAC,2024-08,1,1,0,1,1,0,1,0,0,0,5
PQCA/TAC,2024-09,9,3,1,2,0,1,0,0,0,0,16
PQCA/TAC,2024-10,4,0,3,0,1,0,0,0,0,0,8
PQCA/TAC,2024-11,4,0,2,0,0,0,0,0,0,0,6
PQCA/TAC,2024-12,1,0,0,0,0,0,0,0,0,0,1
PQCA/TAC,2025-01,1,0,1,0,0,0,0,0,0,0,2
PQCA/TAC,2025-02,8,2,1,2,0,0,0,1,0,0,14
PQCA/TAC,2025-03,3,0,1,0,0,0,0,0,0,0,4
PQCA/TAC,2025-04,4,0,9,0,0,0,0,0,0,0,13
PQCA/governance,2024-03,0,0,1,0,0,0,0,0,0,0,1
PQCA/governance,2025-02,0,0,0,0,0,0,0,1,0,0,1
