repo,month,PullRequestEvent,PushEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,ForkEvent,CreateEvent,DeleteEvent,IssuesEvent,ReleaseEvent,total
hyperledger/firefly-tezosconnect,2024-01,3,0,0,0,0,0,0,0,0,0,3
hyperledger/firefly-tezosconnect,2024-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-tezosconnect,2024-03,1,0,1,0,1,0,0,0,0,0,3
hyperledger/firefly-tezosconnect,2024-04,4,5,5,1,0,0,1,0,0,0,16
hyperledger/firefly-tezosconnect,2024-05,5,3,2,1,0,0,0,0,0,0,11
hyperledger/firefly-tezosconnect,2024-06,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-tezosconnect,2024-07,1,1,1,1,0,0,0,0,0,0,4
hyperledger/firefly-tezosconnect,2024-08,5,3,5,0,0,0,0,0,0,0,13
hyperledger/firefly-tezosconnect,2024-09,0,0,0,0,0,0,1,0,0,1,2
hyperledger/firefly-tezosconnect,2024-12,1,1,1,0,0,0,0,0,0,0,3
hyperledger/firefly-tezosconnect,2025-01,1,1,1,0,0,0,0,0,0,0,3
hyperledger/firefly-tezosconnect,2025-02,4,6,1,0,1,0,2,0,0,0,14
hyperledger/firefly-tezosconnect,2025-03,1,13,1,0,0,0,3,2,0,1,21
hyperledger/firefly-tezosconnect,2025-04,1,2,0,0,0,0,1,0,0,0,4
hyperledger/firefly-tezosconnect,2025-05,2,2,0,0,0,0,1,0,0,0,5
hyperledger/firefly-tezosconnect,2025-08,0,3,0,0,0,0,0,0,0,0,3
hyperledger/firefly,2024-01,2,0,0,1,0,0,0,0,0,0,3
hyperledger/firefly,2024-02,2,0,0,1,0,0,0,0,0,0,3
hyperledger/firefly,2024-03,2,0,7,1,7,0,0,0,0,0,17
hyperledger/firefly,2024-04,2,0,0,1,0,0,0,0,0,0,3
hyperledger/firefly,2024-05,0,0,2,0,1,0,0,0,0,0,3
hyperledger/firefly,2024-06,1,0,0,1,0,0,0,0,0,0,2
hyperledger/firefly,2024-08,1,0,0,1,0,0,0,0,0,0,2
hyperledger/firefly,2024-09,1,0,0,1,0,0,0,0,0,0,2
hyperledger/firefly,2024-11,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly,2024-12,1,0,2,0,2,0,0,0,0,0,5
hyperledger/firefly,2025-02,3,0,0,0,0,0,0,0,0,0,3
hyperledger/firefly,2025-03,0,0,0,1,0,0,0,0,0,0,1
hyperledger/firefly,2025-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly,2025-07,0,0,1,0,1,0,0,0,0,0,2
hyperledger/firefly,2025-08,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly,2025-12,0,0,2,0,0,0,0,0,0,0,2
hyperledger/firefly-evmconnect,2024-02,2,0,0,0,0,1,0,0,0,0,3
hyperledger/firefly-evmconnect,2024-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2024-07,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2024-08,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-evmconnect,2025-09,0,0,1,0,1,0,0,0,0,0,2
hyperledger/firefly-cli,2024-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-cli,2024-04,0,0,0,2,0,0,0,0,0,0,2
hyperledger/firefly-cli,2024-07,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-cli,2024-08,0,0,1,0,0,0,0,0,0,0,1
hyperledger/firefly-cli,2024-09,2,0,0,0,0,0,0,0,0,0,2
hyperledger/firefly-helm-charts,2024-04,0,0,0,0,0,1,0,0,0,0,1
hyperledger/firefly-helm-charts,2024-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-helm-charts,2024-08,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-helm-charts,2025-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-helm-charts,2025-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-helm-charts,2025-10,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-transaction-manager,2024-05,1,0,0,0,0,1,0,0,0,0,2
hyperledger/firefly-transaction-manager,2024-07,0,0,1,0,1,0,0,0,1,0,3
hyperledger/firefly-transaction-manager,2025-08,1,0,0,0,0,0,0,0,0,0,1
hyperledger/firefly-tokens-erc20-erc721,2024-03,1,0,0,0,0,1,0,0,0,0,2
hyperledger/firefly-tokens-erc20-erc721,2024-04,0,0,1,0,1,0,0,0,0,0,2
