repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,DeleteEvent,IssuesEvent,ForkEvent,GollumEvent,CreateEvent,ReleaseEvent,total
openwallet-foundation/credo-ts,2024-01,6,20,0,0,0,0,0,0,0,0,0,26
openwallet-foundation/credo-ts,2024-02,15,11,14,8,13,5,1,0,1,0,0,68
openwallet-foundation/credo-ts,2024-03,13,26,4,1,1,0,0,0,6,0,0,51
openwallet-foundation/credo-ts,2024-04,13,2,0,1,0,0,1,0,0,0,0,17
openwallet-foundation/credo-ts,2024-05,4,1,0,2,0,0,0,0,0,0,0,7
openwallet-foundation/credo-ts,2024-06,44,31,2,3,2,0,0,0,0,0,0,82
openwallet-foundation/credo-ts,2024-07,8,4,10,2,6,0,0,0,0,0,0,30
openwallet-foundation/credo-ts,2024-08,4,1,0,1,0,0,0,0,0,0,0,6
openwallet-foundation/credo-ts,2024-09,1,0,1,0,0,0,1,0,0,0,0,3
openwallet-foundation/credo-ts,2024-10,3,0,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/credo-ts,2024-11,7,10,4,0,0,0,0,0,0,0,0,21
openwallet-foundation/credo-ts,2024-12,1,0,0,1,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2025-01,4,0,0,1,0,0,0,0,0,0,0,5
openwallet-foundation/credo-ts,2025-02,4,2,8,1,3,0,0,0,0,0,0,18
openwallet-foundation/credo-ts,2025-03,11,2,4,0,0,0,0,0,0,0,0,17
openwallet-foundation/credo-ts,2025-04,6,0,1,3,0,0,1,0,0,0,0,11
openwallet-foundation/credo-ts,2025-05,18,14,4,2,1,0,0,0,0,0,0,39
openwallet-foundation/credo-ts,2025-06,1,0,2,4,3,0,0,0,0,0,0,10
openwallet-foundation/credo-ts,2025-07,4,2,0,0,0,0,0,0,0,0,0,6
openwallet-foundation/credo-ts,2025-08,8,5,1,0,1,0,0,0,0,0,0,15
openwallet-foundation/credo-ts,2025-09,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts,2025-10,2,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2025-11,2,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2026-01,3,1,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/credo-ts,2026-02,0,0,0,0,2,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2026-03,0,0,0,0,3,0,0,0,0,0,0,3
openwallet-foundation/credo-ts,2026-04,0,0,0,0,2,1,0,0,0,0,0,3
openwallet-foundation-labs/sd-jwt-js,2024-02,22,6,1,17,0,0,3,1,0,0,0,50
openwallet-foundation-labs/sd-jwt-js,2024-03,6,1,0,4,0,0,0,0,0,0,0,11
