repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,DeleteEvent,CreateEvent,GollumEvent,ForkEvent,ReleaseEvent,WatchEvent,total
openwallet-foundation/credo-ts,2024-01,17,11,6,3,6,0,2,0,0,0,0,0,45
openwallet-foundation/credo-ts,2024-02,27,35,10,7,6,2,0,0,3,0,0,0,90
openwallet-foundation/credo-ts,2024-03,10,4,2,7,2,1,0,0,0,0,0,1,27
openwallet-foundation/credo-ts,2024-04,6,0,10,6,3,0,0,0,0,0,0,0,25
openwallet-foundation/credo-ts,2024-05,21,15,4,12,4,3,0,0,0,0,0,0,59
openwallet-foundation/credo-ts,2024-06,10,1,10,7,4,1,2,0,0,0,0,0,35
openwallet-foundation/credo-ts,2024-07,7,2,4,1,2,0,2,0,0,0,0,0,18
openwallet-foundation/credo-ts,2024-08,1,0,0,1,0,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2024-09,2,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2024-10,2,0,1,2,0,0,0,0,0,0,0,0,5
openwallet-foundation/credo-ts,2024-11,0,0,1,3,0,1,0,0,0,0,0,0,5
openwallet-foundation/credo-ts,2024-12,3,1,2,1,0,0,0,0,0,0,0,0,7
openwallet-foundation/credo-ts,2025-01,13,11,6,4,3,2,0,0,0,0,0,0,39
openwallet-foundation/credo-ts,2025-02,2,0,1,4,0,2,0,0,0,0,0,0,9
openwallet-foundation/credo-ts,2025-03,7,1,3,2,1,0,0,0,0,0,0,0,14
openwallet-foundation/credo-ts,2025-04,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts,2025-05,6,4,3,3,2,2,0,0,0,0,0,0,20
openwallet-foundation/credo-ts,2025-06,2,0,0,2,0,0,0,0,0,0,0,0,4
openwallet-foundation/credo-ts,2025-07,0,0,1,1,0,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2025-08,16,7,20,8,12,1,1,0,0,0,0,0,65
openwallet-foundation/credo-ts,2025-09,8,7,6,2,3,1,0,0,0,0,0,0,27
openwallet-foundation/credo-ts,2025-10,4,1,2,0,5,0,2,0,0,0,0,0,14
openwallet-foundation/credo-ts,2025-11,1,0,0,0,1,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2025-12,1,0,0,0,3,0,1,0,0,0,0,0,5
openwallet-foundation/credo-ts,2026-03,4,1,2,1,6,0,0,1,0,0,0,0,15
openwallet-foundation/credo-ts,2026-04,1,5,3,0,6,0,0,0,0,0,0,0,15
openwallet-foundation/credo-ts,2026-05,1,1,0,0,11,0,0,0,0,0,0,0,13
openwallet-foundation/didcomm-mediator-credo,2025-01,1,1,0,2,0,0,0,0,0,0,0,0,4
openwallet-foundation/didcomm-mediator-credo,2025-02,9,5,1,2,1,1,0,0,0,0,0,0,19
openwallet-foundation/didcomm-mediator-credo,2025-03,9,9,1,0,1,0,0,0,0,0,0,0,20
openwallet-foundation/didcomm-mediator-credo,2025-05,5,0,0,0,1,0,0,0,0,0,0,0,6
openwallet-foundation/didcomm-mediator-credo,2025-06,2,0,0,1,0,0,0,0,0,0,0,0,3
openwallet-foundation/didcomm-mediator-credo,2025-09,2,1,0,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/didcomm-mediator-credo,2025-10,2,2,0,0,0,0,0,0,0,0,0,0,4
openwallet-foundation/didcomm-mediator-credo,2025-12,2,2,0,1,3,1,0,0,0,0,0,0,9
hyperledger/anoncreds-rs,2024-02,1,0,2,0,0,0,0,0,0,0,0,0,3
hyperledger/anoncreds-rs,2024-04,0,0,4,1,0,0,0,0,0,0,0,0,5
hyperledger/anoncreds-rs,2024-05,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2024-09,1,0,1,2,4,0,1,0,0,0,0,0,9
hyperledger/anoncreds-rs,2024-10,0,0,0,3,0,1,0,0,0,0,0,0,4
hyperledger/anoncreds-rs,2025-01,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2025-09,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2025-10,0,0,1,0,1,0,0,1,0,0,1,0,4
openwallet-foundation/credo-ts-docs,2024-02,2,3,0,0,1,0,1,0,0,0,0,0,7
openwallet-foundation/credo-ts-docs,2024-03,2,0,3,2,2,0,1,0,0,0,0,0,10
openwallet-foundation/credo-ts-docs,2024-05,1,0,1,0,1,0,0,0,0,0,0,0,3
openwallet-foundation/credo-ts-docs,2024-06,0,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-docs,2025-08,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-docs,2025-12,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-docs,2026-03,0,0,1,0,2,0,0,1,0,0,0,0,4
openwallet-foundation/credo-ts-docs,2026-04,0,0,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/askar-wrapper-javascript,2025-03,0,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/askar-wrapper-javascript,2025-09,0,0,2,1,2,1,0,0,0,0,0,0,6
