repo,month,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,IssueCommentEvent,CreateEvent,total
hyperledger/besu,2024-01,20,14,10,9,5,7,0,65
hyperledger/besu,2024-02,15,7,2,7,13,5,0,49
hyperledger/besu,2024-03,7,10,8,3,4,3,0,35
hyperledger/besu,2024-04,1,10,13,1,4,3,0,32
hyperledger/besu,2024-05,14,9,6,5,0,2,0,36
hyperledger/besu,2024-06,5,3,0,2,6,1,0,17
hyperledger/besu,2024-07,5,7,5,3,10,9,0,39
hyperledger/besu,2024-08,3,3,3,1,1,0,0,11
hyperledger/besu,2024-09,6,18,15,4,3,1,0,47
hyperledger/besu,2024-10,2,12,20,1,1,4,0,40
hyperledger/besu,2024-11,10,5,3,5,0,2,0,25
hyperledger/besu,2024-12,7,17,13,4,4,2,0,47
hyperledger/besu,2025-01,18,8,7,8,4,6,0,51
hyperledger/besu,2025-02,8,9,6,4,1,3,1,32
hyperledger/besu,2025-03,16,18,18,7,2,5,0,66
hyperledger/besu,2025-04,21,40,38,11,5,1,1,117
hyperledger/besu,2025-05,35,17,14,14,2,3,1,86
hyperledger/besu,2025-06,57,12,11,31,9,6,3,129
hyperledger/besu,2025-07,33,15,6,19,15,8,1,97
hyperledger/besu,2025-08,15,11,8,7,0,7,0,48
hyperledger/besu,2025-09,10,2,0,2,3,4,0,21
hyperledger/besu,2025-10,10,5,2,3,3,1,0,24
hyperledger/besu,2025-11,4,4,0,3,2,6,0,19
hyperledger/besu,2025-12,7,4,2,4,0,0,0,17
hyperledger/besu,2026-01,12,6,3,4,8,3,0,36
hyperledger/besu,2026-02,0,3,1,0,0,1,0,5
hyperledger/besu,2026-03,0,0,0,0,0,1,0,1
hyperledger/besu-docs,2024-01,1,1,1,0,1,0,0,4
hyperledger/besu-docs,2024-02,0,3,0,0,1,0,0,4
hyperledger/besu-docs,2024-03,0,2,2,0,0,0,0,4
hyperledger/besu-docs,2024-06,0,1,0,0,0,0,0,1
hyperledger/besu-docs,2024-12,0,3,2,0,0,0,0,5
hyperledger/besu-docs,2025-02,0,1,0,0,0,0,0,1
hyperledger/besu-docs,2025-03,0,1,0,0,0,0,0,1
hyperledger/besu-docs,2025-04,0,2,1,0,0,0,0,3
hyperledger/besu-docs,2025-05,0,1,0,0,0,0,0,1
hyperledger/homebrew-besu,2024-01,0,1,0,0,0,0,0,1
hyperledger/homebrew-besu,2024-06,0,1,0,0,0,0,0,1
hyperledger/homebrew-besu,2024-12,0,1,0,0,0,0,0,1
hyperledger/homebrew-besu,2025-02,1,1,0,0,0,0,0,2
hyperledger/homebrew-besu,2025-04,1,1,0,1,0,0,0,3
hyperledger/homebrew-besu,2025-09,1,0,0,1,0,0,0,2
hyperledger/homebrew-besu,2025-11,0,0,0,1,0,0,0,1
LF-Decentralized-Trust/governance,2025-07,0,1,1,0,0,0,0,2
hyperledger/besu-native,2025-06,0,2,0,0,0,0,0,2
besu-eth/besu,2026-04,1,0,0,0,0,0,0,1
