repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,ForkEvent,total
hyperledger/besu,2024-07,7,6,18,4,3,2,1,41
hyperledger/besu,2024-08,26,24,29,9,8,1,0,97
hyperledger/besu,2024-09,29,28,7,7,0,0,0,71
hyperledger/besu,2024-10,31,29,6,4,0,0,0,70
hyperledger/besu,2024-11,24,21,1,0,0,0,0,46
hyperledger/besu,2024-12,25,19,9,7,4,1,0,65
hyperledger/besu,2025-01,25,21,8,6,4,3,0,67
hyperledger/besu,2025-02,12,10,7,1,3,3,0,36
hyperledger/besu,2025-03,22,16,6,4,3,0,0,51
hyperledger/besu,2025-04,16,17,4,2,1,0,0,40
hyperledger/besu,2025-05,18,11,4,9,2,5,0,49
hyperledger/besu,2025-06,8,6,6,5,3,3,0,31
hyperledger/besu,2025-07,10,3,5,2,0,2,0,22
hyperledger/besu,2025-08,4,3,2,1,2,0,0,12
hyperledger/besu,2025-09,8,10,3,0,1,0,0,22
hyperledger/besu,2025-10,5,6,1,0,2,0,0,14
hyperledger/besu,2025-11,2,0,1,2,2,0,0,7
hyperledger/besu,2025-12,0,0,3,1,0,0,0,4
hyperledger/besu,2026-01,8,12,0,3,3,0,0,26
hyperledger/besu,2026-02,6,11,5,0,3,0,0,25
hyperledger/besu,2026-03,1,0,1,1,0,1,0,4
besu-eth/besu,2026-03,2,2,4,1,2,1,0,12
besu-eth/besu,2026-04,2,0,1,0,1,1,0,5
besu-eth/besu,2026-05,1,1,0,0,1,0,0,3
hyperledger/besu-docs,2024-07,0,0,1,0,0,0,1,2
hyperledger/besu-docs,2025-05,0,0,1,0,0,0,0,1
hyperledger/besu-docs,2025-08,0,0,1,0,0,0,0,1
