repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,CreateEvent,DeleteEvent,WatchEvent,ForkEvent,total
hyperledger/besu,2022-02,0,0,0,0,0,0,0,0,1,1,2
hyperledger/besu,2022-03,0,3,0,3,0,0,0,0,0,0,6
hyperledger/besu,2022-04,0,1,0,5,0,0,0,0,0,0,6
hyperledger/besu,2022-05,0,2,0,1,0,1,0,0,0,0,4
hyperledger/besu,2022-06,3,1,3,4,0,0,0,0,0,0,11
hyperledger/besu,2022-07,1,5,1,4,0,1,0,0,0,0,12
hyperledger/besu,2022-08,0,6,0,1,0,2,0,0,0,0,9
hyperledger/besu,2022-09,2,20,1,6,0,0,0,0,0,0,29
hyperledger/besu,2022-10,0,21,0,5,2,0,0,0,0,0,28
hyperledger/besu,2022-11,6,3,6,5,2,1,0,0,0,0,23
hyperledger/besu,2022-12,4,7,2,5,1,1,0,0,0,0,20
hyperledger/besu,2023-01,4,10,1,5,2,3,0,0,0,0,25
hyperledger/besu,2023-02,12,14,5,6,2,1,0,0,0,0,40
hyperledger/besu,2023-03,9,5,8,2,0,3,0,0,0,0,27
hyperledger/besu,2023-04,2,8,0,4,1,2,0,0,1,0,18
hyperledger/besu,2023-05,1,7,1,4,0,2,0,0,0,0,15
hyperledger/besu,2023-06,0,7,0,0,0,3,0,0,0,0,10
hyperledger/besu,2023-07,0,7,0,2,0,0,0,0,0,0,9
hyperledger/besu,2023-08,1,1,0,1,0,0,0,0,0,0,3
hyperledger/besu,2023-09,3,8,2,4,1,2,1,0,0,0,21
hyperledger/besu,2023-10,8,4,7,6,0,1,0,0,0,0,26
hyperledger/besu,2023-11,0,5,0,1,0,0,0,0,0,0,6
hyperledger/besu,2023-12,0,2,0,1,0,0,0,0,0,0,3
hyperledger/besu,2024-01,8,4,6,4,1,1,0,0,0,0,24
hyperledger/besu,2024-02,13,6,9,2,1,3,0,0,0,0,34
hyperledger/besu,2024-03,3,1,1,2,1,0,0,0,0,0,8
hyperledger/besu,2024-04,7,7,3,5,0,3,0,0,0,0,25
hyperledger/besu,2024-05,0,6,0,3,1,2,0,0,0,0,12
hyperledger/besu,2024-06,12,3,5,2,1,1,0,0,0,0,24
hyperledger/besu,2024-07,16,9,16,2,0,0,0,0,0,0,43
hyperledger/besu,2024-08,1,1,1,1,0,0,0,0,0,0,4
hyperledger/besu,2024-09,6,0,5,2,1,1,0,0,0,0,15
hyperledger/besu,2024-10,2,9,1,4,1,0,1,1,0,0,19
hyperledger/besu,2024-11,4,9,1,2,1,2,0,0,0,0,19
hyperledger/besu,2024-12,18,5,15,7,3,0,0,0,0,0,48
hyperledger/besu,2025-01,28,4,25,10,2,1,0,0,0,0,70
hyperledger/besu,2025-02,8,10,5,0,0,0,0,0,0,0,23
hyperledger/besu,2025-03,32,8,22,1,0,0,0,0,0,0,63
hyperledger/besu,2025-04,15,15,12,5,5,0,0,0,0,0,52
hyperledger/besu,2025-05,7,7,5,3,1,1,0,0,0,0,24
hyperledger/besu,2025-06,13,3,8,8,6,0,5,1,0,0,44
hyperledger/besu,2025-07,20,6,14,2,3,0,0,0,0,0,45
hyperledger/besu,2025-08,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2025-09,11,1,8,6,4,1,1,0,0,0,32
hyperledger/besu,2025-10,3,3,2,1,1,1,0,0,0,0,11
hyperledger/besu,2025-11,12,2,10,0,0,1,1,0,0,0,26
hyperledger/besu,2025-12,6,2,5,1,1,0,0,0,0,0,15
hyperledger/besu,2026-01,5,4,6,0,1,1,0,0,0,0,17
hyperledger/besu,2026-02,4,1,17,1,0,0,0,0,0,0,23
hyperledger/besu,2026-03,3,0,1,0,0,0,0,0,0,0,4
besu-eth/besu,2026-03,1,0,2,1,0,0,0,0,0,0,4
besu-eth/besu,2026-04,4,1,8,0,5,0,2,3,0,0,23
besu-eth/besu,2026-05,0,0,1,0,4,0,1,0,0,0,6
hyperledger/besu-docs,2022-08,0,1,0,0,0,0,0,0,0,1,2
hyperledger/besu-docs,2022-09,4,2,3,1,0,0,0,0,0,0,10
hyperledger/besu-docs,2022-10,0,0,0,0,0,0,0,0,1,0,1
hyperledger/besu-docs,2023-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2023-12,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-02,3,0,1,0,0,0,0,0,0,0,4
hyperledger/besu-docs,2024-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-06,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-07,1,0,4,0,0,0,0,0,0,0,5
hyperledger/besu-docs,2025-02,3,0,2,0,0,0,0,0,0,0,5
hyperledger/homebrew-besu,2025-07,1,0,0,1,1,0,0,0,0,0,3
hyperledger/besu-stateless,2025-05,1,0,1,0,0,0,0,0,0,0,2
