repo,month,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssuesEvent,PushEvent,IssueCommentEvent,CreateEvent,DeleteEvent,ForkEvent,ReleaseEvent,WatchEvent,total
hyperledger/besu,2021-11,5,3,0,1,1,1,0,0,1,0,0,12
hyperledger/besu,2021-12,1,3,0,1,0,0,0,0,0,0,0,5
hyperledger/besu,2022-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2022-02,27,10,19,9,5,1,0,0,0,0,0,71
hyperledger/besu,2022-03,13,4,7,3,1,2,0,0,0,0,0,30
hyperledger/besu,2022-04,4,1,0,3,1,0,0,0,0,0,0,9
hyperledger/besu,2022-05,10,7,7,3,3,0,0,0,0,0,1,31
hyperledger/besu,2022-06,5,11,4,10,7,6,1,1,0,0,0,45
hyperledger/besu,2022-07,5,16,2,11,9,14,0,0,0,0,0,57
hyperledger/besu,2022-08,0,1,0,0,0,5,0,0,0,0,0,6
hyperledger/besu,2022-09,3,5,3,4,1,11,0,0,0,0,0,27
hyperledger/besu,2022-10,6,3,1,4,3,3,0,0,0,0,0,20
hyperledger/besu,2022-11,7,5,5,2,4,3,0,0,0,0,0,26
hyperledger/besu,2022-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2023-01,4,0,4,1,0,5,0,0,0,0,0,14
hyperledger/besu,2023-02,0,6,0,1,1,3,0,0,0,0,0,11
hyperledger/besu,2023-04,3,2,1,0,0,1,0,0,0,0,0,7
hyperledger/besu,2023-06,1,1,0,0,1,1,0,0,0,0,0,4
hyperledger/besu,2023-07,6,2,6,2,0,0,0,0,0,0,0,16
hyperledger/besu,2023-08,22,7,15,3,2,5,0,0,0,0,0,54
hyperledger/besu,2023-09,4,3,1,1,1,0,0,0,0,0,0,10
hyperledger/besu,2023-10,5,3,5,3,1,0,0,0,0,0,0,17
hyperledger/besu,2023-12,2,1,0,1,1,0,0,0,0,0,0,5
hyperledger/besu,2024-01,1,2,0,1,1,1,0,0,0,0,0,6
hyperledger/besu,2024-04,0,1,0,2,0,1,0,0,0,0,0,4
hyperledger/besu,2024-05,4,4,3,1,2,2,0,0,0,0,0,16
hyperledger/besu,2024-06,0,5,0,1,1,0,0,0,0,0,0,7
hyperledger/besu,2024-07,7,2,4,10,2,1,0,0,0,0,0,26
hyperledger/besu,2024-08,3,6,0,4,3,1,0,0,0,0,0,17
hyperledger/besu,2024-09,6,9,1,3,3,2,1,0,0,0,0,25
hyperledger/besu,2024-10,2,6,0,3,6,4,1,0,0,0,0,22
hyperledger/besu,2024-11,2,1,0,3,5,1,0,0,0,0,0,12
hyperledger/besu,2024-12,10,10,5,5,4,7,1,1,0,0,0,43
hyperledger/besu,2025-01,8,18,7,10,7,4,2,0,0,0,0,56
hyperledger/besu,2025-02,1,5,1,3,2,3,0,0,0,0,0,15
hyperledger/besu,2025-03,18,5,14,3,0,4,0,0,0,0,0,44
hyperledger/besu,2025-04,7,2,5,4,2,4,0,0,0,0,0,24
hyperledger/besu,2025-05,7,2,2,2,3,2,1,0,0,0,0,19
hyperledger/besu,2025-06,1,3,0,0,2,0,0,0,0,0,0,6
hyperledger/besu,2025-07,2,2,1,0,1,0,0,0,0,0,0,6
hyperledger/besu,2025-09,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/besu,2025-10,4,0,2,0,1,0,0,0,0,0,0,7
hyperledger/besu,2025-11,2,0,2,1,0,0,0,0,0,0,0,5
hyperledger/besu,2025-12,2,1,0,5,0,0,0,0,0,0,0,8
hyperledger/besu,2026-01,9,5,9,2,2,3,0,0,0,0,0,30
hyperledger/besu,2026-02,4,3,3,2,2,0,0,0,0,0,0,14
hyperledger/besu,2026-03,0,2,0,0,2,0,0,0,0,0,0,4
hyperledger/besu-native,2021-04,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/besu-native,2021-11,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/besu-native,2022-01,3,2,1,0,1,0,1,0,0,0,0,8
hyperledger/besu-native,2022-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2023-08,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2024-09,1,6,0,0,4,0,4,2,0,1,0,18
hyperledger/besu-native,2025-03,2,2,0,0,0,0,0,0,0,0,0,4
hyperledger/besu-native,2025-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2025-11,0,1,0,0,0,0,0,0,0,0,0,1
besu-eth/besu,2026-03,2,1,2,0,0,0,0,0,0,0,0,5
besu-eth/besu,2026-04,0,8,1,0,15,0,2,0,0,0,0,26
besu-eth/besu,2026-05,0,1,0,0,2,0,0,0,0,0,0,3
hyperledger/besu-docs,2022-07,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2022-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2022-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2023-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2022-11,0,0,0,0,1,0,0,0,0,0,0,1
