repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssueCommentEvent,IssuesEvent,CreateEvent,DeleteEvent,ReleaseEvent,CommitCommentEvent,ForkEvent,total
hyperledger/besu,2021-10,0,0,1,0,1,0,0,0,0,0,0,2
hyperledger/besu,2021-11,14,9,4,0,2,2,0,0,0,0,0,31
hyperledger/besu,2021-12,19,14,9,4,3,2,2,0,1,0,0,54
hyperledger/besu,2022-01,14,7,8,3,5,3,0,0,0,0,0,40
hyperledger/besu,2022-02,44,30,37,38,7,8,0,0,0,1,0,165
hyperledger/besu,2022-03,27,15,11,2,2,6,0,0,0,2,0,65
hyperledger/besu,2022-04,17,14,2,1,6,3,0,0,0,0,0,43
hyperledger/besu,2022-05,13,25,15,4,4,10,0,0,0,0,0,71
hyperledger/besu,2022-06,18,12,5,1,7,2,0,0,0,0,0,45
hyperledger/besu,2022-07,6,3,15,5,8,2,0,0,0,0,0,39
hyperledger/besu,2022-08,41,24,14,6,8,2,0,0,0,0,0,95
hyperledger/besu,2022-09,28,19,19,6,8,1,0,0,0,0,0,81
hyperledger/besu,2022-10,39,10,19,7,5,1,2,0,1,0,0,84
hyperledger/besu,2022-11,25,34,31,10,13,3,1,0,1,0,0,118
hyperledger/besu,2022-12,10,6,4,2,6,1,0,0,0,0,0,29
hyperledger/besu,2023-01,42,47,19,6,11,0,0,0,0,0,0,125
hyperledger/besu,2023-02,13,4,28,19,9,1,0,0,0,0,0,74
hyperledger/besu,2023-03,15,14,13,5,11,4,0,0,0,0,0,62
hyperledger/besu,2023-04,42,37,9,6,9,4,1,1,0,0,0,109
hyperledger/besu,2023-05,24,24,20,10,6,4,0,0,0,0,0,88
hyperledger/besu,2023-06,16,13,13,7,8,4,0,0,0,0,0,61
hyperledger/besu,2023-07,20,20,10,2,2,0,0,0,0,0,0,54
hyperledger/besu,2023-08,3,2,7,3,1,0,0,0,0,0,0,16
hyperledger/besu,2023-09,11,5,12,6,11,0,0,0,0,0,0,45
hyperledger/besu,2023-10,30,18,37,18,22,3,1,0,0,0,0,129
hyperledger/besu,2023-11,61,75,17,10,16,3,0,0,0,1,0,183
hyperledger/besu,2023-12,10,3,15,6,5,4,0,0,0,0,0,43
hyperledger/besu,2024-01,27,24,32,17,14,4,0,0,0,0,0,118
hyperledger/besu,2024-02,39,32,18,7,6,0,0,0,0,0,0,102
hyperledger/besu,2024-03,29,28,29,16,5,5,0,0,0,0,0,112
hyperledger/besu,2024-04,18,10,24,11,10,1,0,0,0,0,0,74
hyperledger/besu,2024-05,6,3,20,9,4,1,1,0,0,0,0,44
hyperledger/besu,2024-06,20,11,10,5,5,0,0,0,0,0,0,51
hyperledger/besu,2024-07,20,16,12,4,7,2,0,0,0,0,0,61
hyperledger/besu,2024-08,15,8,13,3,13,5,0,0,0,0,0,57
hyperledger/besu,2024-09,69,37,44,26,28,15,0,0,0,0,0,219
hyperledger/besu,2024-10,30,14,30,12,9,2,0,0,0,0,0,97
hyperledger/besu,2024-11,35,17,33,16,13,4,0,0,0,0,0,118
hyperledger/besu,2024-12,22,20,12,4,5,4,0,0,0,0,0,67
hyperledger/besu,2025-01,11,7,7,3,5,3,0,0,0,0,0,36
hyperledger/besu,2025-02,31,21,28,11,11,3,0,0,0,0,0,105
hyperledger/besu,2025-03,28,21,16,8,8,7,2,0,0,0,0,90
hyperledger/besu,2025-04,29,26,13,4,6,4,2,0,0,0,0,84
hyperledger/besu,2025-05,19,13,18,5,8,1,0,0,0,0,0,64
hyperledger/besu,2025-06,4,4,14,7,0,1,1,1,0,0,0,32
hyperledger/besu,2025-07,4,5,9,5,1,0,0,0,0,0,0,24
hyperledger/besu,2025-08,6,1,5,3,1,1,0,0,0,0,0,17
hyperledger/besu,2025-09,31,25,17,8,4,0,0,0,0,0,0,85
hyperledger/besu,2025-10,8,13,6,1,0,0,0,0,0,0,0,28
hyperledger/besu,2025-11,3,1,1,6,3,0,0,0,0,0,0,14
hyperledger/besu,2025-12,4,0,3,2,0,0,0,0,0,0,0,9
hyperledger/besu,2026-01,1,1,9,10,1,1,0,0,0,0,0,23
hyperledger/besu,2026-02,11,7,11,6,1,1,0,0,0,0,0,37
hyperledger/besu,2026-03,4,3,2,2,0,0,1,0,0,0,0,12
hyperledger/besu-docs,2021-12,0,0,0,0,0,0,1,0,1,0,0,2
hyperledger/besu-docs,2022-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2022-06,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2022-10,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/besu-docs,2022-12,5,4,0,0,0,0,0,0,0,0,0,9
hyperledger/besu-docs,2023-02,3,2,0,0,0,0,0,0,0,0,0,5
hyperledger/besu-docs,2023-03,3,2,0,0,1,0,0,0,0,0,0,6
hyperledger/besu-docs,2023-10,2,0,1,1,1,0,0,0,1,0,1,7
hyperledger/besu-docs,2023-11,4,0,0,0,0,0,0,0,0,0,0,4
hyperledger/besu-docs,2023-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-01,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/besu-docs,2024-02,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2024-03,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2024-04,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-05,2,0,0,0,1,1,0,0,0,0,0,4
hyperledger/besu-docs,2024-06,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2024-10,3,1,0,0,0,0,0,0,0,0,0,4
hyperledger/besu-docs,2024-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2025-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2025-07,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2025-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2026-01,1,0,0,0,0,0,0,0,0,0,0,1
