repo,month,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,IssueCommentEvent,CreateEvent,IssuesEvent,ReleaseEvent,DeleteEvent,CommitCommentEvent,ForkEvent,total
hyperledger/besu,2024-01,43,29,31,16,20,4,6,3,1,0,0,153
hyperledger/besu,2024-02,4,2,4,1,1,0,0,0,0,0,0,12
hyperledger/besu,2024-03,43,13,26,5,4,2,2,1,1,0,0,97
hyperledger/besu,2024-04,16,10,11,4,6,1,0,0,1,1,0,50
hyperledger/besu,2024-05,11,8,5,5,1,0,0,0,0,0,0,30
hyperledger/besu,2024-06,19,3,18,1,4,0,0,0,0,0,0,45
hyperledger/besu,2024-07,29,11,6,4,4,5,0,1,2,0,0,62
hyperledger/besu,2024-08,20,16,13,8,7,3,7,2,0,0,0,76
hyperledger/besu,2024-09,7,7,2,2,4,6,3,3,2,0,0,36
hyperledger/besu,2024-10,27,12,17,4,7,0,3,0,0,0,0,70
hyperledger/besu,2024-11,8,7,2,4,5,0,3,0,0,0,0,29
hyperledger/besu,2024-12,5,7,1,1,5,2,3,0,0,0,0,24
hyperledger/besu,2025-01,27,6,26,2,8,0,1,0,0,0,0,70
hyperledger/besu,2025-02,4,3,2,2,2,0,1,0,0,0,0,14
hyperledger/besu,2025-03,29,4,24,2,13,1,3,0,0,0,0,76
hyperledger/besu,2025-04,22,10,15,4,5,0,3,0,0,0,0,59
hyperledger/besu,2025-05,11,5,3,2,1,0,0,0,0,0,0,22
hyperledger/besu,2025-06,7,1,4,1,1,0,1,0,0,0,0,15
hyperledger/besu,2025-07,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/besu,2025-08,3,1,3,0,2,0,0,0,0,0,0,9
hyperledger/besu,2025-09,6,2,4,0,0,0,0,0,0,0,0,12
hyperledger/besu,2025-10,1,0,1,1,1,0,0,0,0,0,0,4
hyperledger/besu,2025-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2026-01,0,0,0,0,2,0,0,0,0,0,0,2
hyperledger/besu,2026-02,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/besu,2026-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2024-01,1,4,0,2,0,0,0,0,0,0,0,7
hyperledger/besu-native,2024-05,2,2,2,0,0,0,0,0,0,0,0,6
hyperledger/besu-native,2024-06,12,14,9,14,4,1,0,1,1,0,0,56
hyperledger/besu-native,2024-07,21,17,13,7,6,1,0,1,0,0,0,66
hyperledger/besu-native,2024-08,9,19,8,10,8,3,2,2,1,0,0,62
hyperledger/besu-native,2024-09,3,6,0,2,1,0,0,0,1,0,0,13
hyperledger/besu-native,2024-10,0,8,0,3,1,1,0,1,0,0,0,14
hyperledger/besu-native,2024-12,2,23,2,12,0,5,0,3,2,0,0,49
hyperledger/besu-native,2025-02,0,10,0,4,1,1,2,1,0,0,0,19
hyperledger/besu-native,2025-03,13,34,7,19,3,4,2,4,1,0,0,87
hyperledger/besu-native,2025-04,0,3,0,3,3,0,0,0,0,0,0,9
hyperledger/besu-native,2025-06,0,6,0,2,0,1,0,0,1,0,0,10
hyperledger/besu-native,2025-07,14,3,17,2,2,0,0,0,0,0,0,38
hyperledger/besu-native,2025-08,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/besu-native,2025-10,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2025-11,0,1,2,1,0,0,0,0,0,0,0,4
hyperledger/besu-native,2025-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-verkle-trie,2024-04,15,0,13,0,0,0,0,0,0,0,0,28
hyperledger/besu-verkle-trie,2024-05,4,0,4,0,0,0,0,0,0,0,0,8
hyperledger/besu-verkle-trie,2024-06,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/besu-verkle-trie,2024-10,2,0,1,0,0,0,0,0,0,0,0,3
hyperledger/besu-verkle-trie,2024-11,3,0,1,0,0,0,0,0,0,0,0,4
hyperledger/besu-verkle-trie,2025-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-04,3,0,2,0,0,0,0,0,0,0,0,5
hyperledger/besu-docs,2024-06,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-07,0,0,0,0,0,1,0,1,0,0,0,2
hyperledger/besu-docs,2024-08,0,1,0,2,0,1,0,2,1,0,0,7
hyperledger/besu-docs,2025-03,0,2,0,1,0,0,0,0,0,0,1,4
hyperledger/besu-docs,2025-04,3,0,2,0,0,0,0,0,0,0,0,5
hyperledger/besu-docs,2025-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2024-07,0,2,0,1,0,1,0,0,1,0,0,5
hyperledger/homebrew-besu,2024-08,0,2,0,1,0,1,0,0,0,0,0,4
hyperledger/homebrew-besu,2024-09,0,1,0,1,0,0,0,0,0,0,0,2
besu-eth/besu,2026-03,0,0,0,0,1,0,0,0,0,0,0,1
besu-eth/besu,2026-04,2,0,1,1,0,0,0,0,0,0,0,4
hyperledger/besu-stateless,2025-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-stateless,2025-04,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-stateless,2025-08,1,0,2,0,0,0,0,0,0,0,0,3
besu-eth/besu-native,2026-03,0,0,0,1,0,0,0,0,0,0,0,1
