repo,month,PullRequestReviewEvent,PullRequestEvent,IssuesEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PushEvent,CreateEvent,ReleaseEvent,DeleteEvent,GollumEvent,ForkEvent,total
hyperledger/besu,2021-06,6,7,0,1,9,0,0,0,0,0,0,23
hyperledger/besu,2021-07,8,5,2,4,6,1,0,0,0,0,0,26
hyperledger/besu,2021-08,9,3,4,4,4,1,0,0,0,0,0,25
hyperledger/besu,2021-09,34,8,3,27,5,2,1,1,0,0,0,81
hyperledger/besu,2021-10,17,4,1,6,2,1,0,0,0,0,0,31
hyperledger/besu,2021-11,31,6,3,16,5,2,0,0,0,0,0,63
hyperledger/besu,2021-12,15,7,4,9,2,2,4,1,1,0,0,45
hyperledger/besu,2022-01,20,14,1,7,1,6,3,1,0,0,0,53
hyperledger/besu,2022-02,29,8,2,5,0,3,0,0,0,0,0,47
hyperledger/besu,2022-03,22,9,10,10,0,4,0,0,0,0,0,55
hyperledger/besu,2022-04,14,6,7,2,8,2,2,1,0,0,0,42
hyperledger/besu,2022-05,15,14,10,0,7,7,0,0,0,0,0,53
hyperledger/besu,2022-06,7,16,4,2,3,5,1,1,0,0,0,39
hyperledger/besu,2022-07,31,17,9,11,12,9,0,0,0,0,0,89
hyperledger/besu,2022-08,19,15,3,7,8,8,2,1,0,0,0,63
hyperledger/besu,2022-09,29,9,6,6,5,7,1,0,0,0,0,63
hyperledger/besu,2022-10,29,14,2,7,5,7,1,1,0,0,0,66
hyperledger/besu,2022-11,20,2,1,8,0,2,0,0,0,0,0,33
hyperledger/besu,2022-12,15,1,5,5,2,0,0,0,0,0,0,28
hyperledger/besu,2023-01,35,16,3,18,6,8,0,0,0,0,0,86
hyperledger/besu,2023-02,16,7,0,5,3,2,0,0,0,0,0,33
hyperledger/besu,2023-03,26,3,4,12,2,1,0,0,0,0,0,48
hyperledger/besu,2023-04,9,6,8,3,5,5,0,0,0,0,0,36
hyperledger/besu,2023-05,6,2,10,0,3,1,1,0,0,0,0,23
hyperledger/besu,2023-06,24,4,2,12,1,29,0,0,0,0,0,72
hyperledger/besu,2023-07,24,4,3,18,2,8,0,0,0,0,0,59
hyperledger/besu,2023-08,21,6,10,7,5,2,0,0,0,0,0,51
hyperledger/besu,2023-09,9,10,7,3,4,6,0,0,0,0,0,39
hyperledger/besu,2023-10,18,14,2,6,5,6,0,0,0,0,0,51
hyperledger/besu,2023-11,21,16,6,4,6,7,2,1,0,0,0,63
hyperledger/besu,2023-12,2,19,2,0,0,7,0,0,0,0,0,30
hyperledger/besu,2024-01,20,13,2,4,5,4,1,1,0,0,0,50
hyperledger/besu,2024-02,7,19,7,3,2,10,8,7,1,0,0,64
hyperledger/besu,2024-03,22,21,14,8,5,9,0,0,0,0,0,79
hyperledger/besu,2024-04,12,9,10,9,5,6,1,0,0,0,0,52
hyperledger/besu,2024-05,8,6,0,3,2,3,0,0,0,0,0,22
hyperledger/besu,2024-06,13,5,5,5,3,4,0,0,1,0,0,36
hyperledger/besu,2024-07,22,1,4,14,7,0,0,0,0,0,0,48
hyperledger/besu,2024-08,8,5,1,5,2,2,0,0,0,0,0,23
hyperledger/besu,2024-09,19,9,1,8,8,4,0,0,0,0,0,49
hyperledger/besu,2024-10,14,10,17,4,15,6,0,0,0,0,0,66
hyperledger/besu,2024-11,12,14,8,4,12,5,0,0,0,0,0,55
hyperledger/besu,2024-12,9,3,8,2,4,2,0,0,0,0,0,28
hyperledger/besu,2025-01,0,7,13,0,3,3,2,0,0,0,0,28
hyperledger/besu,2025-02,3,2,43,0,12,2,0,0,0,0,0,62
hyperledger/besu,2025-03,2,1,37,0,28,0,1,0,0,0,0,69
hyperledger/besu,2025-04,9,5,1,3,4,2,0,0,0,2,0,26
hyperledger/besu,2025-05,4,2,10,1,5,0,0,0,0,1,0,23
hyperledger/besu,2025-06,3,1,2,0,0,0,0,0,0,0,0,6
hyperledger/besu,2025-07,3,2,13,1,8,1,0,0,0,0,0,28
hyperledger/besu,2025-08,5,2,4,2,6,1,0,0,0,0,0,20
hyperledger/besu,2025-09,8,2,3,10,1,1,0,0,0,0,0,25
hyperledger/besu,2025-10,2,3,0,1,2,1,0,0,0,0,0,9
hyperledger/besu,2025-11,4,2,9,2,1,2,0,0,0,0,0,20
hyperledger/besu,2025-12,0,1,2,1,0,2,0,0,0,0,0,6
hyperledger/besu,2026-01,1,0,1,1,2,0,0,0,0,0,0,5
hyperledger/besu,2026-02,2,0,1,0,1,1,0,0,0,0,0,5
hyperledger/besu,2026-03,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/homebrew-besu,2021-09,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/homebrew-besu,2021-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2021-12,1,0,0,0,0,0,1,0,0,0,0,2
hyperledger/homebrew-besu,2022-01,0,1,0,0,0,1,1,0,0,0,0,3
hyperledger/homebrew-besu,2022-06,0,1,0,0,0,2,1,0,0,0,0,4
hyperledger/homebrew-besu,2022-07,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/homebrew-besu,2022-08,1,2,0,0,0,1,1,0,0,0,0,5
hyperledger/homebrew-besu,2022-09,1,2,0,0,0,1,1,0,0,0,0,5
hyperledger/homebrew-besu,2022-10,1,1,0,0,0,0,1,0,0,0,0,3
hyperledger/homebrew-besu,2022-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2023-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2023-05,0,1,0,0,0,0,1,0,0,0,0,2
hyperledger/homebrew-besu,2023-08,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2023-10,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2023-11,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger/homebrew-besu,2024-01,0,1,0,0,0,0,1,0,0,0,0,2
hyperledger/homebrew-besu,2024-03,0,3,0,0,0,4,1,0,0,0,0,8
hyperledger/homebrew-besu,2025-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2021-05,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2021-08,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2021-09,2,0,0,0,0,0,1,1,0,0,0,4
hyperledger/besu-docs,2022-01,0,0,0,0,0,0,1,1,0,0,0,2
hyperledger/besu-docs,2022-03,1,1,1,2,0,0,0,0,0,0,0,5
hyperledger/besu-docs,2022-05,2,0,0,1,0,0,0,0,0,0,0,3
hyperledger/besu-docs,2022-06,4,0,0,1,0,0,0,0,0,0,0,5
hyperledger/besu-docs,2022-08,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2023-05,0,0,0,0,0,0,1,1,0,0,0,2
hyperledger/besu-docs,2023-11,1,3,0,0,0,2,1,0,0,0,0,7
hyperledger/besu-docs,2024-01,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2024-02,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-06,2,0,0,2,0,0,0,0,0,0,0,4
hyperledger/besu-docs,2024-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-09,0,0,1,0,0,0,0,0,0,0,0,1
