repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,PullRequestEvent,IssueCommentEvent,PushEvent,CreateEvent,DeleteEvent,ForkEvent,ReleaseEvent,total
hyperledger/besu,2024-01,52,42,8,17,7,4,1,1,0,0,132
hyperledger/besu,2024-02,14,10,5,5,5,3,0,0,0,0,42
hyperledger/besu,2024-03,27,24,7,4,8,1,0,0,0,0,71
hyperledger/besu,2024-04,11,2,10,8,7,3,0,0,0,0,41
hyperledger/besu,2024-05,21,10,4,3,0,2,2,0,0,0,42
hyperledger/besu,2024-06,20,14,6,16,4,8,2,0,0,1,71
hyperledger/besu,2024-07,16,5,16,4,13,1,0,0,0,0,55
hyperledger/besu,2024-08,27,22,16,6,8,5,0,0,0,0,84
hyperledger/besu,2024-09,17,10,14,6,9,3,0,0,0,0,59
hyperledger/besu,2024-10,34,31,12,4,3,3,0,0,0,0,87
hyperledger/besu,2024-11,21,16,1,2,0,0,0,0,0,0,40
hyperledger/besu,2024-12,14,12,5,9,6,4,4,1,0,0,55
hyperledger/besu,2025-01,16,13,4,3,4,0,0,0,0,0,40
hyperledger/besu,2025-02,22,37,2,12,3,8,0,0,0,0,84
hyperledger/besu,2025-03,14,5,2,11,2,6,0,0,0,0,40
hyperledger/besu,2025-04,7,5,2,0,0,0,0,0,0,0,14
hyperledger/besu,2025-05,2,1,0,2,0,1,0,0,0,0,6
hyperledger/besu,2025-06,11,8,0,1,0,0,0,0,0,0,20
hyperledger/besu,2025-07,4,10,2,0,2,0,0,0,0,0,18
hyperledger/besu,2025-08,10,4,1,14,0,2,0,0,0,0,31
hyperledger/besu,2025-09,6,10,1,5,4,3,0,0,0,0,29
hyperledger/besu,2025-10,9,3,4,1,1,2,0,0,0,0,20
hyperledger/besu,2025-11,11,3,5,1,4,0,0,0,0,0,24
hyperledger/besu,2025-12,5,9,2,0,2,0,0,0,0,0,18
hyperledger/besu,2026-01,4,15,5,2,0,1,0,0,0,0,27
hyperledger/besu,2026-02,8,14,17,3,10,2,0,0,0,0,54
hyperledger/besu,2026-03,4,0,3,4,1,1,1,0,0,0,14
besu-eth/besu,2026-03,7,2,1,0,0,2,0,0,0,0,12
besu-eth/besu,2026-04,1,13,4,0,0,1,0,0,0,0,19
besu-eth/besu,2026-05,2,11,3,0,5,4,0,0,0,0,25
hyperledger/homebrew-besu,2024-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2024-04,0,0,0,2,0,1,1,1,0,0,5
hyperledger/homebrew-besu,2024-06,2,0,0,2,0,1,1,1,0,0,7
hyperledger/homebrew-besu,2024-07,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2024-12,0,0,0,1,0,1,0,1,0,0,3
hyperledger/besu-docs,2024-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-04,2,1,0,0,0,0,0,0,0,0,3
hyperledger/besu-docs,2024-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-06,0,0,0,2,0,1,1,1,0,0,5
hyperledger/besu-docs,2025-11,1,1,0,0,0,0,0,0,0,0,2
besu-eth/besu-hsm-plugin,2026-03,0,3,0,0,0,0,0,0,0,0,3
besu-eth/besu-hsm-plugin,2026-04,1,3,0,0,0,0,0,0,0,0,4
besu-eth/besu-hsm-plugin,2026-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2024-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2024-08,1,0,0,1,0,1,0,0,0,0,3
hyperledger/besu-native,2025-03,3,0,0,0,0,0,0,0,0,0,3
LF-Decentralized-Trust/governance,2025-12,0,0,0,1,0,0,0,0,1,0,2
LF-Decentralized-Trust/governance,2026-01,1,0,0,1,0,0,0,0,0,0,2
hyperledger/governance,2024-10,2,1,0,0,0,0,0,0,0,0,3
besu-eth/homebrew-besu,2026-03,0,0,0,0,0,2,0,0,0,0,2
besu-eth/besu-native,2026-03,1,0,0,0,0,0,0,0,0,0,1
