repo,month,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,CreateEvent,IssueCommentEvent,DeleteEvent,ForkEvent,ReleaseEvent,IssuesEvent,CommitCommentEvent,total
hyperledger/besu,2019-09,12,7,2,0,1,2,2,5,0,0,0,31
hyperledger/besu,2019-10,3,2,0,0,0,1,0,1,0,0,0,7
hyperledger/besu,2019-11,25,12,2,0,2,0,0,5,2,0,0,48
hyperledger/besu,2019-12,4,2,1,0,0,1,0,1,0,0,0,9
hyperledger/besu,2020-02,10,5,1,0,4,0,2,0,2,0,0,24
hyperledger/besu,2020-03,0,0,0,0,0,2,0,0,0,1,0,3
hyperledger/besu,2020-04,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/besu,2020-05,12,6,1,0,8,3,2,1,3,0,0,36
hyperledger/besu,2020-06,20,10,0,0,6,2,2,0,4,0,0,44
hyperledger/besu,2020-07,6,3,0,0,2,1,1,0,2,2,0,17
hyperledger/besu,2020-08,0,0,0,1,0,0,0,1,0,0,0,2
hyperledger/besu,2020-09,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger/besu,2020-10,3,1,0,0,0,0,0,1,0,0,0,5
hyperledger/besu,2021-03,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2021-05,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/besu,2021-07,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/besu,2021-11,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/besu,2021-12,0,0,0,0,0,1,0,0,0,3,0,4
hyperledger/besu,2022-01,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/besu,2022-03,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/besu,2022-04,1,0,0,0,0,0,0,3,0,0,0,4
hyperledger/besu,2022-05,1,1,0,0,0,8,0,0,0,0,0,10
hyperledger/besu,2022-06,3,2,0,1,1,0,1,0,0,0,0,8
hyperledger/besu,2022-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2023-01,0,0,0,0,0,3,0,0,0,0,0,3
hyperledger/besu,2023-02,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/besu,2023-08,0,0,0,0,0,3,0,0,0,0,0,3
hyperledger/besu,2023-09,0,0,0,0,0,3,0,0,0,0,0,3
hyperledger/besu,2024-05,0,0,0,1,0,1,0,0,0,0,0,2
hyperledger/besu,2024-06,0,0,0,3,0,2,0,0,0,0,0,5
hyperledger/besu,2024-07,1,1,0,2,0,0,0,0,0,1,0,5
hyperledger/besu,2024-09,0,0,0,0,0,2,0,0,0,0,0,2
hyperledger/besu,2024-10,0,0,0,0,0,3,0,0,0,0,0,3
hyperledger/besu,2024-11,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/besu,2024-12,1,7,1,1,0,0,0,0,0,0,0,10
hyperledger/besu,2025-01,0,5,3,3,0,0,0,0,0,0,0,11
hyperledger/besu,2025-02,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/besu,2025-04,0,4,0,0,1,1,0,0,0,0,0,6
hyperledger/besu,2025-05,5,7,1,2,3,0,0,0,0,0,0,18
hyperledger/besu,2025-07,1,8,0,2,0,0,1,0,0,0,0,12
hyperledger/besu-docs,2019-09,0,0,11,0,0,0,0,0,0,0,0,11
hyperledger/besu-docs,2019-11,1,1,0,0,2,0,0,1,0,0,0,5
hyperledger/besu-docs,2019-12,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2020-01,1,0,6,0,0,0,0,1,0,0,0,8
hyperledger/besu-docs,2020-02,2,1,2,0,3,0,0,0,0,0,0,8
hyperledger/besu-docs,2020-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2020-05,0,0,1,0,2,0,0,0,0,0,0,3
hyperledger/besu-docs,2020-06,0,0,5,0,4,0,0,0,0,0,0,9
hyperledger/besu-docs,2020-07,0,0,0,0,2,0,0,0,0,0,0,2
hyperledger/besu-docs,2020-09,0,0,2,4,0,0,0,0,0,0,0,6
hyperledger/besu-docs,2021-06,3,1,2,3,0,3,0,1,0,0,0,13
hyperledger/besu-docs,2021-07,1,0,2,2,0,0,0,0,0,0,0,5
hyperledger/besu-docs,2021-08,2,1,0,0,0,0,0,1,0,0,0,4
hyperledger/besu-docs,2021-10,0,0,2,3,0,0,0,0,0,0,0,5
hyperledger/besu-docs,2021-11,2,1,0,0,0,1,0,0,0,0,1,5
hyperledger/besu-docs,2021-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2022-01,2,1,4,5,0,2,0,0,0,0,0,14
hyperledger/besu-docs,2022-04,2,1,2,3,0,1,0,0,0,0,0,9
hyperledger/besu-docs,2022-05,1,0,1,1,0,1,0,0,0,0,0,4
hyperledger/besu-docs,2022-09,2,1,1,1,0,1,0,0,0,0,0,6
hyperledger/besu-docs,2022-12,1,0,1,1,0,0,0,0,0,0,0,3
hyperledger/besu-docs,2023-01,0,0,12,7,0,0,0,0,0,0,0,19
hyperledger/besu-docs,2023-02,0,0,3,3,0,0,0,0,0,0,0,6
hyperledger/besu-docs,2023-05,1,3,0,0,1,0,1,1,0,0,0,7
hyperledger/besu-docs,2023-06,0,5,0,2,1,0,2,0,0,0,0,10
hyperledger/besu-docs,2023-07,1,0,0,0,0,0,0,1,0,0,0,2
hyperledger/besu-docs,2023-08,4,2,1,1,0,0,0,1,0,0,0,9
hyperledger/besu-docs,2023-12,6,2,0,0,1,3,0,0,0,1,0,13
hyperledger/besu-docs,2024-01,3,6,0,0,1,0,0,0,0,0,0,10
hyperledger/besu-docs,2024-05,6,16,0,0,3,1,7,0,0,0,0,33
hyperledger/besu-docs,2024-06,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2024-07,1,3,0,0,1,0,0,0,0,0,0,5
hyperledger/besu-docs,2024-08,2,3,0,0,1,0,1,0,0,0,0,7
hyperledger/besu-docs,2024-09,3,14,0,2,2,0,1,0,0,0,0,22
hyperledger/besu-docs,2024-10,1,0,0,0,1,0,0,0,0,0,0,2
hyperledger/besu-docs,2024-12,2,4,0,0,1,0,1,0,0,0,0,8
hyperledger/besu-docs,2025-02,1,1,0,0,0,1,0,0,0,1,0,4
hyperledger/besu-docs,2025-04,7,1,0,0,1,0,1,0,0,0,0,10
hyperledger/besu-docs,2025-05,2,2,0,0,1,0,2,0,0,0,0,7
hyperledger/besu-docs,2025-08,2,2,0,0,0,0,1,0,0,0,0,5
hyperledger/besu-docs,2025-09,1,1,0,0,1,0,0,0,0,0,0,3
hyperledger/besu-docs,2026-02,1,0,0,0,1,0,0,0,0,0,0,2
hyperledger/besu-docs,2026-03,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2019-11,4,2,0,0,0,0,0,2,0,0,0,8
hyperledger/homebrew-besu,2020-02,2,1,0,0,0,0,0,1,0,0,0,4
hyperledger/homebrew-besu,2020-03,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/homebrew-besu,2020-05,2,1,0,0,1,0,0,0,0,0,0,4
hyperledger/homebrew-besu,2020-06,2,1,0,0,0,0,1,0,0,0,0,4
hyperledger/homebrew-besu,2020-07,1,0,0,0,1,0,0,0,0,0,0,2
hyperledger/homebrew-besu,2024-06,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/hyperledger-rocket-chat-hubot,2019-12,0,0,2,0,0,0,0,0,0,0,1,3
besu-eth/besu,2026-04,0,0,1,0,0,0,0,0,0,0,0,1
besu-eth/besu,2026-05,0,0,0,0,0,1,0,0,0,0,0,1
besu-eth/besu-hsm-plugin,2026-04,1,0,0,1,0,0,0,0,0,0,0,2
hyperledger/toc,2024-04,0,0,0,0,0,1,0,0,0,0,0,1
