repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssueCommentEvent,IssuesEvent,ForkEvent,CommitCommentEvent,total
hyperledger/besu,2024-06,0,0,0,0,0,0,1,0,1
hyperledger/besu,2024-07,0,0,1,0,1,2,0,0,4
hyperledger/besu,2024-08,5,5,4,2,1,1,0,0,18
hyperledger/besu,2024-09,7,6,6,0,3,0,0,0,22
hyperledger/besu,2024-10,11,9,8,3,3,6,0,0,40
hyperledger/besu,2024-11,13,7,6,2,3,0,0,0,31
hyperledger/besu,2024-12,37,31,4,1,1,1,0,0,75
hyperledger/besu,2025-01,25,20,14,8,4,5,0,0,76
hyperledger/besu,2025-02,26,26,8,1,3,0,0,0,64
hyperledger/besu,2025-03,11,6,2,0,1,1,0,0,21
hyperledger/besu,2025-04,15,12,11,4,3,0,0,2,47
hyperledger/besu,2025-05,15,8,11,8,5,6,0,0,53
hyperledger/besu,2025-06,10,5,7,5,7,0,0,0,34
hyperledger/besu,2025-07,12,8,1,1,2,0,0,0,24
hyperledger/besu,2025-08,7,5,3,3,1,1,0,0,20
hyperledger/besu,2025-09,10,2,2,2,3,1,0,0,20
hyperledger/besu,2025-10,19,13,2,1,2,2,0,0,39
hyperledger/besu,2025-11,9,8,0,0,0,3,0,0,20
hyperledger/besu,2025-12,5,7,0,0,1,0,0,0,13
hyperledger/besu,2026-01,9,8,1,1,0,1,0,0,20
hyperledger/besu,2026-02,0,9,1,0,1,0,0,0,11
hyperledger/besu,2026-03,4,0,0,0,1,0,0,0,5
hyperledger/besu-verkle-trie,2024-09,0,0,3,0,2,0,1,0,6
hyperledger/besu-verkle-trie,2024-10,10,9,3,2,1,0,0,0,25
hyperledger/besu-verkle-trie,2025-01,1,2,0,0,0,0,0,0,3
hyperledger/besu-native,2024-06,0,0,0,0,0,0,1,0,1
hyperledger/besu-native,2025-07,13,10,0,0,1,1,0,0,25
besu-eth/besu,2026-03,3,1,2,3,1,0,0,0,10
besu-eth/besu,2026-04,2,3,2,2,1,0,0,0,10
besu-eth/besu,2026-05,0,0,0,2,0,0,0,0,2
hyperledger/besu-stateless,2025-04,0,0,2,1,0,0,0,0,3
hyperledger/besu-stateless,2025-05,0,1,2,1,0,0,0,0,4
hyperledger/besu-docs,2024-06,0,0,0,0,0,0,1,0,1
