repo,month,PullRequestReviewCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,IssueCommentEvent,IssuesEvent,CreateEvent,ForkEvent,ReleaseEvent,DeleteEvent,MemberEvent,WatchEvent,total
hyperledger/besu,2019-09,4,6,0,6,1,0,0,1,0,0,0,0,18
hyperledger/besu,2019-10,1,9,0,5,2,0,0,0,0,0,0,0,17
hyperledger/besu,2019-11,22,7,0,5,2,0,0,0,0,0,0,0,36
hyperledger/besu,2019-12,18,7,0,5,4,0,0,0,0,0,0,0,34
hyperledger/besu,2020-01,27,3,0,3,0,0,0,0,0,0,0,0,33
hyperledger/besu,2020-02,37,14,0,4,3,0,0,0,0,0,0,0,58
hyperledger/besu,2020-03,28,11,0,8,12,7,0,0,0,0,0,0,66
hyperledger/besu,2020-04,18,22,0,10,1,7,0,0,0,0,0,0,58
hyperledger/besu,2020-05,13,9,0,5,5,13,0,0,0,0,0,0,45
hyperledger/besu,2020-06,7,4,0,2,2,0,0,0,0,0,0,0,15
hyperledger/besu,2020-07,9,7,0,4,4,2,0,0,0,0,0,0,26
hyperledger/besu,2020-08,25,0,9,0,1,0,0,0,0,0,0,0,35
hyperledger/besu,2020-09,1,0,2,0,0,0,0,0,0,0,0,0,3
hyperledger/besu,2020-10,12,2,9,1,2,2,0,0,0,0,0,0,28
hyperledger/besu,2020-11,22,9,34,5,1,0,0,0,0,0,0,0,71
hyperledger/besu,2020-12,5,4,7,1,1,1,0,0,0,0,0,0,19
hyperledger/besu,2021-01,1,0,2,0,3,1,0,0,0,0,0,0,7
hyperledger/besu,2021-02,5,0,8,0,1,0,0,0,0,0,0,0,14
hyperledger/besu,2021-03,12,5,14,4,4,1,0,0,0,0,0,0,40
hyperledger/besu,2021-04,12,3,13,3,0,1,0,0,0,0,0,0,32
hyperledger/besu,2021-05,1,3,2,1,0,0,0,0,0,0,0,0,7
hyperledger/besu,2021-06,6,4,7,4,2,1,0,0,0,0,0,0,24
hyperledger/besu,2021-07,5,10,6,5,1,2,0,0,0,0,0,0,29
hyperledger/besu,2021-08,18,26,28,12,3,14,1,0,0,0,0,0,102
hyperledger/besu,2021-09,2,0,3,0,1,0,0,0,0,0,0,1,7
hyperledger/besu,2021-10,9,4,8,1,0,3,0,0,0,0,0,0,25
hyperledger/besu,2021-11,10,15,18,9,2,7,0,0,0,0,1,0,62
hyperledger/besu,2021-12,1,0,4,1,1,1,0,0,0,0,0,0,8
hyperledger/besu,2022-01,3,7,10,3,4,2,0,0,0,0,0,0,29
hyperledger/besu,2022-02,3,14,5,4,7,5,0,0,0,0,0,0,38
hyperledger/besu,2022-03,0,3,2,2,0,0,0,0,0,0,0,0,7
hyperledger/besu,2022-04,0,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/besu,2022-05,0,9,1,4,1,0,3,0,1,1,0,0,20
hyperledger/besu,2022-06,0,1,0,2,0,1,0,0,0,0,0,0,4
hyperledger/besu,2022-08,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/besu,2022-09,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/besu,2022-10,1,2,2,1,0,0,0,0,0,0,0,0,6
hyperledger/besu,2022-11,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2023-04,0,0,0,0,1,0,0,0,0,0,0,0,1
