repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,IssueCommentEvent,CreateEvent,ReleaseEvent,total
hyperledger/besu,2024-01,39,18,7,4,8,2,1,0,79
hyperledger/besu,2024-02,5,0,5,1,2,0,1,0,14
hyperledger/besu,2024-03,11,6,3,1,2,2,0,0,25
hyperledger/besu,2024-04,6,0,1,0,0,1,0,0,8
hyperledger/besu,2024-05,9,13,3,1,0,0,0,0,26
hyperledger/besu,2024-06,6,1,4,1,2,0,0,0,14
hyperledger/besu,2024-07,26,15,9,5,2,1,1,0,59
hyperledger/besu,2024-08,21,14,3,3,2,1,1,1,46
hyperledger/besu,2024-09,24,21,9,2,0,0,1,0,57
hyperledger/besu,2024-10,10,5,9,5,2,2,0,0,33
hyperledger/besu,2024-11,2,8,6,3,4,1,0,0,24
hyperledger/besu,2024-12,11,10,0,0,0,0,0,0,21
hyperledger/besu,2025-01,15,9,1,0,0,0,0,0,25
hyperledger/besu,2025-02,26,19,1,0,0,0,0,0,46
hyperledger/besu,2025-03,23,14,1,0,1,0,0,0,39
hyperledger/besu,2025-04,9,6,0,0,0,0,0,0,15
hyperledger/besu,2025-05,4,0,5,0,2,0,0,0,11
hyperledger/besu,2025-06,14,13,3,2,0,0,0,0,32
hyperledger/besu,2025-07,6,1,5,1,0,0,0,0,13
hyperledger/besu,2025-08,13,6,1,0,0,1,0,0,21
hyperledger/besu,2025-09,2,0,1,0,0,0,0,0,3
hyperledger/besu,2025-10,9,2,1,0,0,0,0,0,12
hyperledger/besu,2025-11,3,2,0,0,0,0,0,0,5
hyperledger/besu,2025-12,2,1,3,1,4,0,0,0,11
hyperledger/besu,2026-01,13,19,0,0,0,0,0,0,32
hyperledger/besu,2026-02,10,17,3,4,0,0,0,0,34
hyperledger/besu,2026-03,1,2,1,0,0,1,0,0,5
besu-eth/besu,2026-03,7,5,2,1,0,0,0,0,15
besu-eth/besu,2026-04,0,3,3,1,0,0,0,0,7
besu-eth/besu,2026-05,2,2,1,1,2,0,0,0,8
hyperledger/besu-native,2024-06,8,4,0,0,0,0,0,0,12
hyperledger/besu-native,2024-07,5,0,0,0,0,0,0,0,5
hyperledger/besu-native,2024-08,1,0,0,0,0,0,0,0,1
hyperledger/besu-native,2024-10,1,0,0,0,0,0,0,0,1
hyperledger/besu-native,2025-03,2,2,0,0,0,0,0,0,4
hyperledger/besu-native,2025-06,1,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-07,3,0,0,0,0,0,0,0,3
hyperledger/besu-docs,2024-10,4,6,0,0,0,0,0,0,10
hyperledger/homebrew-besu,2024-08,0,0,1,1,0,0,0,0,2
besu-eth/besu-errorprone-checks,2025-08,1,0,0,0,0,0,0,0,1
besu-eth/besu-hsm-plugin,2026-05,1,0,0,0,0,0,0,0,1
