repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,CreateEvent,DeleteEvent,ReleaseEvent,ForkEvent,GollumEvent,WatchEvent,total
hyperledger/besu,2024-01,30,32,17,12,5,4,0,0,0,0,0,0,100
hyperledger/besu,2024-02,26,12,22,12,6,8,0,0,0,0,0,1,87
hyperledger/besu,2024-03,43,21,26,15,7,3,1,0,1,0,0,0,117
hyperledger/besu,2024-04,10,7,18,24,11,9,5,2,6,0,0,0,92
hyperledger/besu,2024-05,30,10,12,5,4,4,0,0,0,0,0,0,65
hyperledger/besu,2024-06,6,4,7,11,5,3,0,0,0,0,0,0,36
hyperledger/besu,2024-07,30,24,21,21,7,3,0,0,0,0,0,0,106
hyperledger/besu,2024-08,30,28,13,6,4,1,0,0,0,0,0,0,82
hyperledger/besu,2024-09,24,16,11,2,2,2,0,0,0,0,0,0,57
hyperledger/besu,2024-10,33,15,21,21,10,12,3,0,0,0,0,0,115
hyperledger/besu,2024-11,8,6,13,0,0,2,0,0,0,0,0,0,29
hyperledger/besu,2024-12,13,14,6,14,6,6,1,1,0,0,0,0,61
hyperledger/besu,2025-01,39,33,26,24,13,17,0,0,0,0,0,0,152
hyperledger/besu,2025-02,23,6,27,25,12,14,2,0,0,0,0,0,109
hyperledger/besu,2025-03,20,16,8,12,6,2,1,0,0,0,0,0,65
hyperledger/besu,2025-04,16,14,12,7,3,5,0,0,0,0,0,0,57
hyperledger/besu,2025-05,23,17,13,14,4,10,0,0,0,0,0,0,81
hyperledger/besu,2025-06,17,10,7,8,4,5,1,0,0,0,0,0,52
hyperledger/besu,2025-07,34,24,10,7,4,3,0,0,0,0,0,0,82
hyperledger/besu,2025-08,23,21,7,11,3,0,0,0,0,0,0,0,65
hyperledger/besu,2025-09,5,1,0,4,4,2,1,0,0,0,0,0,17
hyperledger/besu,2025-10,18,7,3,6,3,0,0,0,0,0,0,0,37
hyperledger/besu,2025-11,9,7,3,4,2,0,0,0,0,0,0,0,25
hyperledger/besu,2025-12,2,0,0,2,2,1,0,0,0,0,0,0,7
hyperledger/besu,2026-01,8,17,3,1,0,2,0,0,0,0,0,0,31
hyperledger/besu,2026-02,17,14,1,6,3,3,0,0,0,0,1,0,45
hyperledger/besu,2026-03,7,4,2,1,3,1,0,0,0,0,0,0,18
hyperledger/besu-docs,2024-01,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-02,9,5,1,0,0,0,0,0,0,0,0,0,15
hyperledger/besu-docs,2024-03,9,17,0,0,0,0,0,0,0,0,0,0,26
hyperledger/besu-docs,2024-04,5,7,1,0,0,0,0,0,0,0,0,0,13
hyperledger/besu-docs,2024-06,5,5,1,2,0,0,0,0,0,0,0,0,13
hyperledger/besu-docs,2024-07,7,4,0,1,0,0,0,0,0,0,0,0,12
hyperledger/besu-docs,2024-08,5,4,0,2,1,0,1,0,0,0,0,0,13
hyperledger/besu-docs,2024-09,3,2,0,0,0,0,0,0,0,0,0,0,5
hyperledger/besu-docs,2024-10,0,0,0,1,0,1,1,0,0,0,0,0,3
hyperledger/besu-docs,2024-11,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2025-01,1,8,0,0,0,0,0,0,0,0,0,0,9
hyperledger/besu-docs,2025-02,2,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/besu-docs,2025-06,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2025-07,2,21,0,1,1,0,0,0,0,0,0,0,25
besu-eth/besu,2026-03,7,7,6,3,2,0,0,0,0,0,0,0,25
besu-eth/besu,2026-04,14,34,2,8,7,3,0,0,0,0,0,0,68
besu-eth/besu,2026-05,5,4,1,0,0,0,0,0,0,0,0,0,10
hyperledger/besu-native,2024-06,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2024-10,2,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/besu-native,2024-12,4,0,0,0,0,0,0,0,0,0,0,0,4
hyperledger/besu-native,2025-02,3,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/besu-native,2025-06,0,0,0,1,0,0,1,0,0,0,0,0,2
hyperledger/besu-native,2025-07,2,2,1,0,0,0,0,0,0,0,0,0,5
hyperledger/besu-native,2025-08,0,0,0,5,3,0,1,0,1,0,0,0,10
hyperledger/besu-native,2025-10,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2025-11,3,2,1,0,0,0,0,0,0,0,0,0,6
hyperledger/besu-native,2025-12,0,0,1,3,2,0,0,0,0,0,0,0,6
hyperledger/homebrew-besu,2024-01,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2024-03,1,0,0,1,1,0,0,0,0,0,0,0,3
hyperledger/homebrew-besu,2024-10,1,0,0,1,1,0,0,1,0,0,0,0,4
hyperledger/homebrew-besu,2025-01,1,0,0,1,1,0,0,1,0,0,0,0,4
hyperledger/homebrew-besu,2025-03,1,0,0,1,1,0,0,1,0,0,0,0,4
hyperledger/homebrew-besu,2025-04,1,0,0,1,1,0,0,0,0,0,0,0,3
hyperledger/homebrew-besu,2025-06,0,0,0,0,1,0,0,1,0,0,0,0,2
LFDT-web3j/web3j,2025-03,0,0,0,1,0,0,0,0,0,1,0,0,2
LFDT-web3j/web3j,2025-07,3,2,1,0,0,0,0,0,0,0,0,0,6
besu-eth/besu-errorprone-checks,2025-09,0,0,0,1,0,0,0,0,0,1,0,0,2
besu-eth/besu-errorprone-checks,2025-10,1,0,0,0,0,0,0,1,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-07,1,2,0,0,0,0,0,0,0,0,0,0,3
besu-eth/besu-native,2026-03,1,1,0,0,0,0,0,0,0,0,0,0,2
besu-eth/besu-native,2026-04,0,0,0,0,0,0,1,0,0,0,0,0,1
besu-eth/besu-stateless,2026-03,1,0,0,0,1,0,0,0,0,0,0,0,2
hyperledger/besu-errorprone-checks,2024-03,2,0,0,0,0,0,0,0,0,0,0,0,2
besu-eth/governance,2025-01,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/governance,2024-07,1,0,0,0,0,0,0,0,0,0,0,0,1
