repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,IssueCommentEvent,IssuesEvent,ReleaseEvent,CreateEvent,DeleteEvent,ForkEvent,WatchEvent,total
hyperledger/besu,2019-09,0,0,0,0,0,0,0,0,0,1,1,2
hyperledger/besu,2019-10,0,17,3,2,0,0,0,0,0,0,0,22
hyperledger/besu,2019-11,0,12,1,1,0,0,0,0,0,0,0,14
hyperledger/besu,2019-12,0,9,5,1,0,0,0,0,0,0,0,15
hyperledger/besu,2020-01,0,52,9,5,1,0,0,0,0,0,0,67
hyperledger/besu,2020-02,0,2,1,1,0,0,0,0,0,0,0,4
hyperledger/besu,2020-03,0,1,4,2,0,1,0,0,0,0,0,8
hyperledger/besu,2020-04,0,73,7,3,2,2,0,0,0,0,0,87
hyperledger/besu,2020-05,0,8,9,5,2,7,0,0,0,0,0,31
hyperledger/besu,2020-06,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/besu,2020-07,0,1,3,2,2,0,0,0,0,0,0,8
hyperledger/besu,2020-08,0,0,2,1,0,0,0,0,0,0,0,3
hyperledger/besu,2020-11,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/besu,2020-12,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2021-01,30,18,6,1,2,1,0,0,0,0,0,58
hyperledger/besu,2021-02,11,2,5,2,0,2,0,0,0,0,0,22
hyperledger/besu,2021-03,17,8,2,1,1,2,0,0,0,0,0,31
hyperledger/besu,2021-04,11,8,3,1,1,0,0,0,0,0,0,24
hyperledger/besu,2021-05,11,1,1,0,1,0,0,0,0,0,0,14
hyperledger/besu,2021-06,6,0,1,0,1,0,0,0,0,0,0,8
hyperledger/besu,2021-07,7,1,4,3,0,0,0,0,0,0,0,15
hyperledger/besu,2021-08,11,6,2,1,0,1,0,0,0,0,0,21
hyperledger/besu,2021-09,13,6,1,0,0,0,0,0,0,1,0,21
hyperledger/besu,2021-10,7,5,2,0,0,2,0,0,0,0,0,16
hyperledger/besu,2021-11,15,3,0,0,1,0,0,0,0,0,0,19
hyperledger/besu,2021-12,4,0,0,0,0,0,0,0,0,0,0,4
hyperledger/besu,2022-01,7,0,0,0,3,1,0,0,0,0,0,11
hyperledger/besu,2022-03,2,0,0,0,1,1,0,0,0,0,0,4
hyperledger/besu,2022-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/besu,2022-05,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2022-06,2,2,0,0,1,2,0,0,0,0,0,7
hyperledger/besu,2022-07,2,2,0,0,1,0,0,0,0,0,0,5
hyperledger/besu,2022-08,0,0,1,0,1,0,0,0,0,0,0,2
hyperledger/besu,2022-11,7,6,0,0,0,0,0,0,0,0,0,13
hyperledger/besu,2022-12,0,0,3,0,2,1,0,0,0,0,0,6
hyperledger/besu,2023-01,12,7,4,2,3,1,0,0,0,0,0,29
hyperledger/besu,2023-02,8,8,4,2,0,0,0,0,0,0,0,22
hyperledger/besu,2023-03,11,11,2,1,3,3,0,0,0,0,0,31
hyperledger/besu,2023-04,7,5,2,1,5,1,0,0,0,0,0,21
hyperledger/besu,2023-05,2,2,2,1,0,2,0,0,0,0,0,9
hyperledger/besu,2023-06,0,0,0,0,2,0,0,0,0,0,0,2
hyperledger/besu,2023-09,4,0,0,0,0,0,0,0,0,0,0,4
hyperledger/besu,2023-10,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/besu,2023-12,0,0,2,0,1,0,0,0,0,0,0,3
hyperledger/besu,2024-01,1,0,1,1,1,0,0,0,0,0,0,4
hyperledger/besu,2024-02,0,0,0,0,1,2,0,0,0,0,0,3
hyperledger/besu,2024-03,17,13,11,3,3,3,0,0,0,0,0,50
hyperledger/besu,2024-04,11,4,16,3,3,3,0,0,0,0,0,40
hyperledger/besu,2024-05,29,23,55,27,2,4,0,0,0,0,0,140
hyperledger/besu,2024-06,24,10,19,8,4,4,0,0,0,0,0,69
hyperledger/besu,2024-07,16,7,5,3,2,2,0,0,0,0,0,35
hyperledger/besu,2024-08,15,9,2,2,1,2,0,0,0,0,0,31
hyperledger/besu,2024-09,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/besu,2024-10,1,0,1,0,2,0,0,0,0,0,0,4
hyperledger/besu,2024-11,2,1,2,1,3,1,0,0,0,0,0,10
hyperledger/besu,2024-12,2,3,1,0,0,0,0,0,0,0,0,6
hyperledger/besu,2025-01,8,2,1,1,0,1,0,0,0,0,0,13
hyperledger/besu,2025-02,7,3,0,0,1,1,0,0,0,0,0,12
hyperledger/besu,2025-03,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/besu,2025-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/besu,2025-07,9,6,4,1,0,0,0,0,0,0,0,20
hyperledger/besu,2025-08,2,2,3,1,0,0,0,0,0,0,0,8
hyperledger/besu,2025-09,2,0,1,1,0,0,0,0,0,0,0,4
hyperledger/besu,2025-10,7,5,2,2,1,0,0,0,0,0,0,17
hyperledger/besu,2025-11,6,4,2,1,1,0,0,0,0,0,0,14
hyperledger/besu,2025-12,1,0,1,1,0,0,0,0,0,0,0,3
hyperledger/besu,2026-01,8,2,2,0,1,0,0,0,1,0,0,14
hyperledger/besu,2026-02,24,21,8,2,2,7,0,0,0,0,0,64
hyperledger/besu,2026-03,29,18,8,3,3,4,0,0,0,0,0,65
hyperledger/besu-errorprone-checks,2022-07,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/besu-errorprone-checks,2022-08,0,0,0,0,0,0,0,0,0,0,1,1
hyperledger/besu-errorprone-checks,2024-03,1,1,19,8,0,0,10,9,6,1,0,55
besu-eth/besu,2026-03,13,5,6,3,1,2,0,0,0,0,0,30
besu-eth/besu,2026-04,3,0,0,1,0,0,0,0,0,0,0,4
besu-eth/besu,2026-05,5,1,5,0,0,0,0,0,0,0,0,11
besu-eth/besu-hsm-plugin,2026-03,8,7,2,3,1,0,0,0,0,0,0,21
besu-eth/besu-hsm-plugin,2026-04,5,4,0,2,0,0,0,0,0,0,0,11
besu-eth/besu-hsm-plugin,2026-05,3,2,2,4,0,0,0,0,1,0,0,12
hyperledger/besu-docs,2020-01,0,6,0,0,0,0,0,0,0,0,0,6
hyperledger/besu-docs,2021-03,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2021-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2023-05,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/besu-docs,2023-08,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2023-10,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/besu-docs,2023-11,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-07,3,2,0,0,0,0,0,0,0,0,0,5
besu-eth/besu-errorprone-checks,2025-01,1,0,0,0,0,0,0,0,0,0,0,1
besu-eth/besu-errorprone-checks,2025-06,1,1,2,0,0,0,1,1,0,0,0,6
besu-eth/besu-errorprone-checks,2025-07,0,0,2,0,0,0,1,1,1,0,0,5
besu-eth/besu-errorprone-checks,2025-10,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-native,2021-08,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/besu-native,2024-05,2,0,1,1,0,0,0,0,0,0,0,4
hyperledger/besu-native,2024-06,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/besu-native,2025-03,1,0,0,0,0,0,0,0,0,0,0,1
besu-eth/besu-native,2026-03,2,0,3,3,0,0,0,0,0,0,0,8
hyperledger/toc,2024-04,2,2,0,0,0,0,0,0,0,0,0,4
besu-eth/besu-docs,2026-04,0,1,0,0,0,0,0,0,0,0,0,1
besu-eth/besu-docs,2026-05,0,1,0,0,0,0,0,0,0,0,0,1
