repo,month,PushEvent,PullRequestEvent,DeleteEvent,CreateEvent,PullRequestReviewEvent,IssuesEvent,ReleaseEvent,IssueCommentEvent,PullRequestReviewCommentEvent,MemberEvent,WatchEvent,total
PQCA/cbomkit,2025-05,9,15,11,10,3,2,2,2,0,0,0,54
PQCA/cbomkit,2025-06,6,6,4,1,4,1,0,2,0,0,0,24
PQCA/cbomkit,2025-07,0,0,0,0,0,1,0,0,0,0,0,1
PQCA/cbomkit,2025-08,0,0,0,0,1,0,0,0,0,0,0,1
PQCA/cbomkit-action,2025-02,2,0,0,0,0,0,0,0,0,1,0,3
PQCA/cbomkit-action,2025-03,2,1,1,1,1,4,1,2,0,0,0,13
PQCA/cbomkit-action,2025-04,2,1,1,0,1,1,0,0,0,0,0,6
PQCA/cbomkit-action,2025-05,16,7,9,7,6,2,5,2,0,0,0,54
PQCA/cbomkit-action,2025-06,1,0,0,0,1,0,0,0,0,0,0,2
PQCA/cbomkit-action,2025-07,0,0,0,0,2,0,0,0,0,0,0,2
cbomkit/sonar-cryptography,2026-01,25,5,8,0,0,3,0,1,0,0,0,42
cbomkit/sonar-cryptography,2026-02,0,0,1,0,0,0,0,0,0,0,0,1
cbomkit/sonar-cryptography,2026-03,1,0,0,0,0,0,0,0,0,0,0,1
PQCA/sonar-cryptography,2025-05,3,7,4,3,2,1,0,0,0,0,0,20
PQCA/sonar-cryptography,2025-06,6,3,1,0,1,0,0,0,0,0,0,11
PQCA/sonar-cryptography,2025-08,0,2,1,0,2,0,0,0,0,0,0,5
PQCA/sonar-cryptography,2025-10,5,0,0,0,0,0,0,0,0,0,0,5
PQCA/sonar-cryptography,2025-11,0,0,0,0,0,0,0,0,1,0,0,1
PQCA/CBOMkit-action,2025-02,10,0,8,10,0,2,7,0,0,0,1,38
PQCA/cbomkit-theia,2025-05,7,6,5,1,4,1,0,2,0,0,0,26
PQCA/cbomkit-theia,2025-08,0,0,0,0,1,0,0,0,0,0,0,1
cbomkit/cbomkit-theia,2025-11,3,3,0,0,1,0,0,0,0,0,0,7
cbomkit/cbomkit-theia,2026-01,3,1,0,3,0,1,1,0,0,0,0,9
PQCA/wg-tooling,2025-02,1,0,0,0,0,0,0,0,0,0,0,1
PQCA/wg-tooling,2025-05,0,0,0,0,0,4,0,0,0,0,0,4
PQCA/wg-tooling,2025-07,0,0,0,0,0,2,0,0,0,0,0,2
PQCA/TAC,2024-09,0,0,0,0,3,0,0,0,2,0,0,5
PQCA/cbomkit-lib,2025-08,0,0,1,0,2,0,0,0,0,0,0,3
PQCA/governance,2025-05,0,0,0,0,1,0,0,0,0,0,0,1
