repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,GollumEvent,IssuesEvent,PullRequestReviewCommentEvent,IssueCommentEvent,CreateEvent,DeleteEvent,ForkEvent,ReleaseEvent,WatchEvent,total
credebl/platform,2024-07,1,0,0,0,0,0,0,1,0,0,0,0,2
credebl/platform,2024-08,1,0,0,0,0,0,0,0,0,0,0,0,1
credebl/platform,2024-09,0,0,2,0,0,0,1,2,1,0,0,0,6
credebl/platform,2024-11,0,1,0,0,0,0,0,0,0,0,0,0,1
credebl/platform,2025-01,0,1,0,0,0,0,0,0,0,0,0,0,1
credebl/platform,2025-02,0,2,0,0,0,0,0,0,0,0,0,0,2
credebl/platform,2025-03,0,2,0,0,5,0,1,1,0,0,0,0,9
credebl/platform,2025-04,0,5,0,13,0,0,1,1,0,0,0,1,21
credebl/platform,2025-05,1,4,1,0,1,0,0,0,0,0,0,0,7
credebl/platform,2025-06,2,4,1,0,0,0,0,0,0,0,0,0,7
credebl/platform,2025-07,0,1,0,0,0,0,1,0,0,0,0,0,2
credebl/platform,2025-08,1,3,0,0,0,3,1,0,0,0,0,0,8
credebl/platform,2025-09,0,2,0,0,1,1,1,1,0,1,0,0,7
credebl/platform,2025-10,5,3,2,0,0,0,0,0,0,0,0,0,10
credebl/platform,2025-11,4,4,2,0,3,3,1,0,0,0,0,0,17
credebl/platform,2025-12,3,0,2,0,1,0,0,0,1,0,0,0,7
credebl/platform,2026-01,3,1,2,0,0,1,0,0,1,0,0,0,8
credebl/platform,2026-02,7,1,3,0,0,2,0,0,1,0,0,0,14
credebl/platform,2026-03,9,0,0,0,0,1,0,0,1,0,0,0,11
credebl/platform,2026-04,0,0,0,0,1,0,0,0,0,0,0,0,1
credebl/platform,2026-05,1,0,0,0,0,0,0,1,0,0,0,0,2
credebl/credo-controller,2025-03,0,2,0,0,0,0,0,0,0,0,0,0,2
credebl/credo-controller,2025-04,0,0,0,0,0,0,0,1,0,0,0,0,1
credebl/credo-controller,2025-06,1,1,2,0,0,0,0,0,0,0,0,0,4
credebl/credo-controller,2025-08,0,1,0,0,0,0,0,0,0,0,0,0,1
credebl/credo-controller,2025-09,11,0,2,0,0,0,0,0,0,0,0,0,13
credebl/credo-controller,2025-10,2,0,2,0,0,0,0,0,0,0,0,0,4
credebl/credo-controller,2025-11,1,0,0,0,0,2,0,0,0,0,0,0,3
credebl/credo-controller,2025-12,0,1,0,0,0,0,0,0,0,0,0,0,1
credebl/credo-controller,2026-01,1,0,2,0,0,0,0,0,1,0,0,0,4
credebl/wiki,2025-05,6,0,0,0,0,0,0,0,0,0,0,0,6
credebl/wiki,2025-06,0,0,0,4,0,0,0,0,0,0,0,0,4
credebl/wiki,2025-07,0,0,0,3,0,0,0,0,0,0,0,0,3
credebl/wiki,2025-08,0,0,0,3,0,0,0,0,0,0,0,0,3
credebl/wiki,2025-09,0,0,0,2,0,0,0,0,0,0,0,0,2
credebl/studio,2025-01,0,1,0,0,0,0,0,0,0,0,0,0,1
credebl/studio,2025-02,0,2,0,0,0,0,0,0,0,0,0,0,2
credebl/studio,2025-04,0,1,0,0,0,0,0,2,0,0,1,0,4
credebl/studio,2025-05,0,1,0,0,0,0,1,0,0,0,0,0,2
credebl/studio,2025-06,0,0,0,0,1,0,0,0,0,0,0,0,1
credebl/studio,2025-08,0,2,1,0,0,0,0,0,0,0,0,0,3
credebl/studio,2025-09,2,0,0,0,0,0,0,0,0,0,0,0,2
credebl/studio,2026-05,0,0,0,0,0,0,0,0,2,0,0,0,2
openwallet-foundation/credo-ts,2024-10,0,0,0,0,1,0,1,0,0,0,0,0,2
openwallet-foundation/credo-ts,2024-11,0,0,0,0,0,0,1,0,0,0,0,0,1
openwallet-foundation/credo-ts,2025-04,0,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts,2025-05,0,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts,2025-09,0,0,0,0,1,0,1,0,0,0,0,0,2
credebl/mediator-agent,2024-12,5,0,0,0,0,0,0,1,0,0,0,0,6
hyperledger/aries-framework-dotnet,2020-06,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-framework-dotnet,2020-09,0,0,1,0,1,0,1,0,0,1,0,0,4
hyperledger/aries-framework-dotnet,2020-10,0,0,0,0,1,0,0,0,0,0,0,0,1
credebl/agent-controller,2026-02,0,1,0,0,0,0,0,0,1,0,0,0,2
credebl/agent-controller,2026-03,3,0,0,0,0,0,0,0,0,0,0,0,3
credebl/docs,2026-04,0,0,2,0,0,0,0,0,0,0,0,0,2
credebl/.github,2025-06,0,1,0,0,0,0,0,0,0,0,0,0,1
credebl/platform-admin,2026-05,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2020-10,0,0,0,0,1,0,0,0,0,0,0,0,1
