repo,month,PushEvent,PullRequestEvent,DeleteEvent,PullRequestReviewEvent,CreateEvent,WatchEvent,IssuesEvent,IssueCommentEvent,MemberEvent,ForkEvent,PullRequestReviewCommentEvent,ReleaseEvent,total
credebl/adeya-wallet,2023-08,10,13,5,7,6,0,2,1,0,0,0,0,44
credebl/adeya-wallet,2023-09,6,6,1,7,0,0,0,0,0,0,0,0,20
credebl/adeya-wallet,2023-10,6,7,0,4,0,0,0,0,0,0,0,0,17
credebl/adeya-wallet,2023-11,13,13,0,11,0,0,0,0,0,0,0,0,37
credebl/adeya-wallet,2024-02,2,2,0,3,0,0,0,0,0,0,0,0,7
credebl/adeya-wallet,2024-03,2,4,1,1,2,0,2,1,0,0,0,0,13
credebl/adeya-wallet,2024-04,10,5,2,3,2,0,0,1,0,0,0,0,23
credebl/adeya-wallet,2024-05,5,4,3,4,0,0,3,3,0,0,0,0,22
credebl/adeya-wallet,2024-06,6,5,2,4,0,0,1,1,0,0,0,0,19
credebl/adeya-wallet,2024-07,3,3,0,3,0,0,0,0,0,0,0,0,9
credebl/adeya-wallet,2024-09,2,2,1,2,0,0,0,0,0,0,0,0,7
credebl/adeya-wallet,2024-10,2,3,1,3,1,0,1,0,0,0,0,0,11
credebl/adeya-wallet,2024-12,2,1,1,1,0,0,0,0,0,0,0,0,5
credebl/adeya-wallet,2025-01,2,2,1,1,0,0,0,0,0,0,0,0,6
credebl/adeya-sdk,2023-10,25,9,0,9,7,0,0,0,0,0,0,0,50
credebl/adeya-sdk,2023-11,7,3,0,3,4,0,0,0,0,0,0,0,17
credebl/adeya-sdk,2024-01,7,3,1,1,4,0,0,0,0,0,0,0,16
credebl/adeya-sdk,2024-02,2,1,0,1,1,0,0,0,0,0,0,0,5
credebl/adeya-sdk,2024-03,4,1,1,1,3,0,0,0,0,0,0,0,10
credebl/adeya-sdk,2024-04,2,1,0,3,1,0,0,0,0,0,0,0,7
credebl/adeya-sdk,2024-05,3,1,1,1,2,0,0,0,0,0,0,0,8
credebl/adeya-sdk,2024-06,2,1,1,1,1,0,0,0,0,0,0,0,6
credebl/adeya-sdk,2024-07,4,4,2,1,5,0,0,0,0,0,0,0,16
credebl/adeya-sdk,2024-11,1,2,0,1,0,0,0,1,0,0,0,0,5
credebl/adeya-sdk,2024-12,3,1,1,1,2,0,0,0,0,0,0,0,8
credebl/adeya-sdk,2025-01,1,0,4,0,1,0,0,0,0,0,0,0,6
credebl/platform,2023-09,0,0,0,0,0,1,0,0,0,0,0,0,1
credebl/platform,2024-01,1,1,0,1,0,0,0,0,0,0,0,0,3
credebl/platform,2024-02,3,3,1,4,0,0,0,0,0,0,0,0,11
credebl/platform,2024-04,1,1,0,1,0,0,0,0,0,0,0,0,3
credebl/platform,2024-06,1,1,0,1,0,0,0,0,0,0,0,0,3
credebl/platform,2024-09,0,0,0,0,0,0,0,2,0,0,0,0,2
credebl/platform,2024-10,1,1,1,1,0,0,0,0,0,0,0,0,4
credebl/platform,2025-01,0,0,48,0,4,0,0,0,0,0,0,0,52
credebl/platform,2025-03,3,2,2,2,2,0,0,0,0,0,0,0,11
credebl/platform,2025-05,0,0,0,0,0,0,0,0,0,1,0,0,1
credebl/platform,2025-06,0,1,0,0,0,0,0,0,0,0,0,0,1
credebl/platform,2025-08,0,0,0,1,0,0,0,0,0,0,0,0,1
credebl/studio,2023-08,0,0,0,0,0,1,1,0,0,0,0,0,2
credebl/studio,2024-01,0,1,0,1,0,0,0,0,0,0,0,0,2
credebl/studio,2024-02,1,1,1,1,0,0,0,0,0,0,0,0,4
credebl/studio,2024-03,0,0,0,0,0,0,1,0,0,0,0,0,1
credebl/studio,2024-12,1,1,1,1,0,0,0,0,0,0,0,0,4
credebl/studio,2025-01,2,6,24,2,2,0,0,0,0,0,0,0,36
credebl/studio,2025-02,0,1,1,0,0,0,0,0,0,0,0,0,2
credebl/studio,2025-03,1,1,3,1,3,0,0,0,0,0,0,0,9
credebl/studio,2025-05,1,2,1,2,1,0,0,0,0,0,1,0,8
credebl/studio,2025-07,2,2,1,2,0,0,0,0,0,0,0,0,7
credebl/credo-controller,2024-05,1,2,0,1,0,0,0,0,0,0,0,0,4
credebl/credo-controller,2025-01,0,1,22,0,5,0,0,0,0,0,0,0,28
credebl/credo-controller,2025-03,8,8,4,8,3,0,0,0,0,0,0,0,31
credebl/credo-controller,2025-06,0,1,0,0,0,0,0,0,0,0,0,0,1
credebl/credo-controller,2025-08,2,1,1,0,0,0,0,0,0,0,0,0,4
credebl/mobile-sdk,2025-03,6,4,3,6,1,0,0,0,0,0,0,1,21
credebl/mobile-sdk,2025-04,1,1,0,1,0,0,0,0,0,0,0,0,3
credebl/mobile-sdk,2025-12,3,1,1,0,1,0,0,0,0,0,0,0,6
credebl/mobile-sdk,2026-01,2,0,0,0,1,0,0,0,0,0,0,0,3
credebl/mobile-sdk,2026-02,2,0,2,0,0,0,0,0,0,0,0,0,4
credebl/mobile-sdk,2026-03,4,0,0,1,0,0,0,0,0,0,0,0,5
credebl/mobile-sdk,2026-04,1,0,0,0,0,0,0,0,0,0,0,0,1
credebl/mobile-sdk,2026-05,2,0,1,0,0,0,0,0,0,0,0,0,3
credebl/verification-templates,2024-01,1,0,0,0,0,0,0,0,0,0,0,0,1
credebl/verification-templates,2024-04,5,4,0,4,1,0,0,0,0,0,0,0,14
credebl/verification-templates,2024-05,2,3,3,4,0,0,0,0,0,0,0,0,12
credebl/credebl-aries-oca-bundles,2023-11,3,2,1,4,0,0,0,0,0,0,0,0,10
credebl/credebl-aries-oca-bundles,2024-01,2,2,0,0,1,0,0,0,0,0,0,0,5
credebl/credebl-aries-oca-bundles,2024-03,1,0,0,1,0,0,0,0,0,0,0,0,2
credebl/credebl-aries-oca-bundles,2024-05,1,1,0,1,0,0,0,0,0,0,0,0,3
credebl/credebl-aries-oca-bundles,2025-01,0,0,1,0,0,0,0,0,0,0,0,0,1
credebl/mobile-wallet,2025-03,3,3,6,2,1,0,0,1,0,0,0,0,16
credebl/mediator-agent,2024-05,2,1,0,2,0,0,0,0,0,0,0,0,5
credebl/mediator-agent,2024-07,1,1,1,1,0,0,0,0,0,0,0,0,4
credebl/mediator-agent,2025-01,1,1,0,1,0,0,0,0,0,0,0,0,3
credebl/install,2025-04,1,1,0,1,0,0,0,0,0,0,0,0,3
credebl/install,2025-05,1,1,0,3,0,0,0,0,0,0,0,0,5
credebl/install,2025-08,0,0,0,1,0,0,0,0,0,0,0,0,1
credebl/install,2025-09,1,0,0,1,0,0,0,0,0,0,0,0,2
credebl/afj-controller,2023-09,0,0,0,0,0,1,0,0,0,0,0,0,1
credebl/afj-controller,2024-01,1,1,1,1,0,0,0,0,0,0,0,0,4
credebl/afj-controller,2024-02,1,1,0,1,0,0,0,0,0,0,0,0,3
credebl/verifier-app,2024-01,1,0,0,0,0,0,0,0,2,0,0,0,3
credebl/verifier-app,2024-02,1,0,0,0,0,0,0,0,1,0,0,0,2
credebl/verifier-app,2024-04,1,1,0,1,0,0,0,0,0,0,0,0,3
credebl/trust-registry,2024-07,1,1,0,1,1,0,0,0,0,0,0,0,4
credebl/trust-registry,2024-12,0,1,0,0,0,0,0,0,0,0,0,0,1
credebl/terraform-scripts,2025-01,0,0,0,0,0,0,3,0,0,0,0,0,3
hyperledger/aries-framework-javascript,2020-01,0,0,0,0,0,2,0,0,0,0,0,0,2
hyperledger/aries-rfcs,2020-12,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-rfcs,2024-03,0,0,0,0,0,1,0,0,0,0,0,0,1
credebl/.github,2025-02,0,0,0,1,0,0,0,0,0,0,0,0,1
credebl/governance,2025-02,0,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-archives/aries-framework-dotnet,2024-03,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-acapy-controllers,2024-03,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-askar,2021-08,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2024-02,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-framework-go,2024-03,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2021-09,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-node,2024-02,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/indy-vdr,2025-01,0,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation-labs/identity-credential,2024-02,0,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/credo-ts-docs,2024-02,0,0,0,0,0,1,0,0,0,0,0,0,1
