repo,month,PullRequestReviewEvent,PushEvent,PullRequestEvent,DeleteEvent,CreateEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,WatchEvent,GollumEvent,ForkEvent,total
credebl/platform,2023-09,0,0,0,0,0,0,0,0,1,0,0,1
credebl/platform,2023-12,1,3,3,1,3,0,0,0,1,0,0,12
credebl/platform,2024-01,29,28,20,1,1,2,2,1,0,0,0,84
credebl/platform,2024-02,39,26,21,1,0,0,7,0,0,0,0,94
credebl/platform,2024-03,9,5,4,16,0,0,0,1,0,0,1,36
credebl/platform,2024-04,1,9,5,1,3,2,0,1,0,0,0,22
credebl/platform,2024-05,0,2,0,0,1,0,0,0,0,0,0,3
credebl/platform,2024-07,0,1,0,5,1,0,0,0,0,0,0,7
credebl/platform,2024-08,1,0,0,0,0,0,0,1,0,0,0,2
credebl/platform,2024-09,0,0,0,0,0,0,0,3,0,0,0,3
credebl/platform,2024-10,4,3,3,0,0,1,1,0,0,0,0,12
credebl/platform,2024-12,1,0,0,0,0,0,2,0,0,0,0,3
credebl/platform,2025-01,1,0,0,0,0,0,0,0,0,0,0,1
credebl/platform,2025-02,2,0,0,0,1,0,0,0,0,0,0,3
credebl/platform,2025-03,6,3,0,0,1,1,1,1,0,0,0,13
credebl/platform,2025-04,7,0,0,8,2,1,1,1,1,0,0,21
credebl/platform,2025-05,0,3,1,0,0,0,0,0,0,0,0,4
credebl/platform,2025-06,1,0,0,0,0,0,0,0,0,0,0,1
credebl/platform,2025-07,1,1,0,0,0,0,1,0,0,0,0,3
credebl/platform,2025-09,1,7,1,0,0,1,0,1,0,0,0,11
credebl/platform,2025-10,0,1,2,1,2,2,0,0,0,0,0,8
credebl/platform,2025-11,0,1,0,0,0,0,0,1,0,0,0,2
credebl/platform,2026-01,1,0,0,0,0,0,0,0,0,0,0,1
credebl/studio,2023-08,0,0,0,0,0,0,0,0,2,0,0,2
credebl/studio,2024-01,3,2,2,0,0,0,0,0,0,0,0,7
credebl/studio,2024-02,2,0,0,0,0,0,0,0,0,0,0,2
credebl/studio,2024-09,0,0,0,0,0,4,0,5,0,0,0,9
credebl/studio,2024-12,3,0,0,0,0,0,2,0,0,0,0,5
credebl/studio,2025-01,1,4,2,2,3,0,0,0,0,0,0,12
credebl/studio,2025-12,0,0,1,0,0,0,0,0,0,0,0,1
credebl/afj-controller,2023-08,0,0,0,0,0,0,0,0,1,0,0,1
credebl/afj-controller,2024-01,1,1,1,0,0,0,0,0,0,0,0,3
credebl/afj-controller,2024-02,4,8,3,1,1,0,0,0,0,0,0,17
credebl/afj-controller,2024-03,2,2,2,1,1,0,0,0,0,0,0,8
credebl/credo-controller,2024-04,2,0,3,0,0,1,0,0,0,0,0,6
credebl/credo-controller,2024-05,0,0,2,0,1,0,0,0,0,0,0,3
credebl/credo-controller,2024-07,0,2,2,0,1,0,0,0,0,0,0,5
credebl/credo-controller,2024-08,1,1,1,0,0,0,0,0,0,0,0,3
credebl/credo-controller,2024-09,0,0,0,0,0,0,0,1,0,0,0,1
credebl/credo-controller,2025-03,2,2,2,0,0,0,0,0,0,0,0,6
credebl/credo-controller,2025-04,2,0,0,0,0,0,0,0,0,0,0,2
credebl/credo-controller,2025-06,0,1,1,0,1,0,0,0,0,0,0,3
credebl/trust-registry,2024-04,0,0,0,0,0,1,0,0,0,0,0,1
