repo,month,WatchEvent,ForkEvent,IssuesEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,total
credebl/.github,2025-01,0,0,0,1,1,1,3
trustoverip/TSS0001-governance-stack,2021-01,0,1,1,1,0,0,3
credebl/adeya-wallet,2023-08,1,0,0,0,0,0,1
credebl/afj-controller,2023-08,1,0,0,0,0,0,1
credebl/docs,2023-09,0,0,0,0,1,0,1
credebl/platform,2023-10,1,0,0,0,0,0,1
credebl/studio,2023-08,1,0,0,0,0,0,1
hyperledger/education,2018-07,0,1,0,0,0,0,1
hyperledger/fabric,2016-12,0,1,0,0,0,0,1
trustoverip/deliverables,2021-01,0,0,1,0,0,0,1
