repo,month,PushEvent,PullRequestEvent,CreateEvent,DeleteEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,IssueCommentEvent,total
credebl/studio,2025-05,69,24,18,1,4,4,6,0,126
credebl/studio,2025-06,27,13,9,0,6,0,0,0,55
credebl/studio,2025-07,36,31,12,1,8,0,0,0,88
credebl/studio,2025-08,27,32,11,0,3,0,0,0,73
credebl/studio,2025-09,17,19,8,44,2,0,0,0,90
credebl/studio,2025-10,6,2,4,0,2,0,0,0,14
credebl/studio,2025-11,4,0,1,0,0,0,0,0,5
credebl/studio,2025-12,3,3,1,1,1,0,0,0,9
credebl/studio,2026-02,0,0,1,0,0,0,0,0,1
credebl/studio,2026-03,4,3,2,1,0,0,0,0,10
credebl/platform,2025-07,1,4,1,0,1,0,0,0,7
credebl/platform,2025-08,9,16,5,0,2,0,0,0,32
credebl/platform,2025-09,8,5,3,8,0,0,0,0,24
credebl/platform,2025-10,1,0,1,0,1,1,0,0,4
credebl/platform,2025-11,0,0,1,0,0,0,0,0,1
credebl/platform,2025-12,1,0,0,0,1,1,0,0,3
credebl/platform,2026-01,8,2,1,1,2,3,0,1,18
credebl/platform,2026-02,13,5,3,0,1,0,0,0,22
credebl/platform,2026-03,3,0,2,0,1,0,0,0,6
credebl/platform,2026-05,1,0,0,0,0,0,0,0,1
credebl/credo-controller,2025-08,0,1,1,0,0,0,0,0,2
credebl/credo-controller,2025-09,1,2,1,0,0,0,0,0,4
credebl/credo-controller,2025-12,6,3,0,0,0,0,0,1,10
credebl/platform-admin,2026-02,2,0,0,0,0,0,0,0,2
credebl/platform-admin,2026-03,2,3,1,0,0,0,0,0,6
credebl/platform-admin,2026-05,1,0,1,0,0,0,0,0,2
