repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,DeleteEvent,CreateEvent,PullRequestReviewCommentEvent,IssuesEvent,IssueCommentEvent,WatchEvent,total
credebl/platform,2023-09,10,10,14,6,3,16,1,0,1,61
credebl/platform,2023-10,59,37,51,20,10,22,4,0,0,203
credebl/platform,2023-11,37,5,38,13,12,0,1,0,0,106
credebl/platform,2024-02,0,2,0,0,0,1,0,0,0,3
credebl/platform,2024-03,27,17,6,9,5,5,5,0,0,74
credebl/platform,2024-04,28,30,19,10,11,19,16,15,0,148
credebl/platform,2024-05,26,13,15,8,11,7,7,4,0,91
credebl/platform,2024-06,28,35,14,11,10,28,4,1,0,131
credebl/platform,2024-07,27,19,22,12,7,4,0,0,0,91
credebl/platform,2024-08,16,25,12,9,6,4,4,0,0,76
credebl/platform,2024-09,2,5,0,2,0,0,1,13,0,23
credebl/platform,2024-10,4,11,5,3,4,9,6,1,0,43
credebl/platform,2024-11,13,2,2,0,1,1,1,0,0,20
credebl/platform,2024-12,4,2,5,1,3,0,0,1,0,16
credebl/platform,2025-01,1,4,3,5,1,1,0,1,0,16
credebl/platform,2025-02,1,10,4,0,1,4,0,0,0,20
credebl/platform,2025-03,0,10,0,0,0,4,4,0,0,18
credebl/platform,2025-04,0,2,0,0,0,0,11,0,0,13
credebl/platform,2025-05,0,0,0,0,0,0,9,0,0,9
credebl/platform,2025-06,6,4,2,1,1,4,16,4,0,38
credebl/platform,2025-07,2,1,0,0,1,0,18,0,0,22
credebl/platform,2025-08,17,6,10,2,3,5,5,1,0,49
credebl/platform,2025-09,3,2,1,0,2,0,6,0,0,14
credebl/platform,2025-10,8,2,3,2,4,0,2,0,0,21
credebl/platform,2025-11,9,2,1,0,1,0,2,1,0,16
credebl/platform,2025-12,2,0,1,1,2,0,0,0,0,6
credebl/platform,2026-02,2,0,1,0,0,0,0,0,0,3
credebl/platform,2026-03,10,1,2,2,4,1,0,0,0,20
credebl/platform,2026-04,0,0,0,0,1,0,0,0,0,1
credebl/platform,2026-05,0,0,0,1,1,0,0,0,0,2
credebl/studio,2023-08,49,47,68,34,23,0,0,1,0,222
credebl/studio,2023-09,22,23,33,15,6,3,1,0,1,104
credebl/studio,2023-10,3,7,6,3,2,7,0,0,0,28
credebl/studio,2023-11,1,1,2,1,1,0,0,0,1,7
credebl/studio,2024-03,4,7,4,12,1,1,0,0,0,29
credebl/studio,2024-04,6,14,4,3,2,1,0,0,0,30
credebl/studio,2024-05,2,9,2,1,0,0,1,0,0,15
credebl/studio,2024-06,2,10,3,2,2,7,0,0,0,26
credebl/studio,2024-07,1,2,1,0,1,0,0,0,0,5
credebl/studio,2024-08,2,25,3,5,1,15,0,0,0,51
credebl/studio,2024-09,1,4,1,2,0,1,1,1,0,11
credebl/studio,2024-10,1,11,7,1,6,0,0,0,0,26
credebl/studio,2024-12,0,2,0,0,0,0,0,0,0,2
credebl/studio,2025-01,0,5,0,0,0,2,0,0,0,7
credebl/studio,2025-02,1,1,4,2,2,0,0,0,0,10
credebl/studio,2025-03,0,1,0,0,0,0,0,0,0,1
credebl/studio,2025-05,0,0,0,0,0,0,1,0,0,1
credebl/studio,2025-06,0,0,0,0,0,0,1,1,0,2
credebl/studio,2025-08,0,2,0,0,0,0,0,0,0,2
credebl/credo-controller,2024-04,13,4,7,1,6,1,1,0,0,33
credebl/credo-controller,2024-05,7,0,9,2,4,0,0,0,0,22
credebl/credo-controller,2024-06,1,1,3,1,2,0,0,0,0,8
credebl/credo-controller,2024-07,2,3,4,2,5,0,0,0,0,16
credebl/credo-controller,2024-08,2,6,7,2,4,0,0,0,0,21
credebl/credo-controller,2024-09,0,0,1,2,0,0,0,1,0,4
credebl/credo-controller,2024-10,0,1,0,0,0,0,1,0,0,2
credebl/credo-controller,2024-12,3,0,4,0,2,0,0,0,0,9
credebl/credo-controller,2025-01,0,0,0,3,0,1,0,0,0,4
credebl/credo-controller,2025-02,2,3,6,1,2,0,0,0,0,14
credebl/credo-controller,2025-03,3,0,1,2,3,0,0,0,0,9
credebl/credo-controller,2025-04,11,2,1,0,1,2,0,0,0,17
credebl/credo-controller,2025-05,3,0,0,0,0,0,0,0,0,3
credebl/credo-controller,2025-06,7,0,2,0,0,0,0,0,0,9
credebl/credo-controller,2025-07,0,0,1,0,1,0,1,1,0,4
credebl/credo-controller,2025-08,1,2,1,1,1,0,4,1,0,11
credebl/credo-controller,2025-09,1,0,0,2,1,0,2,0,0,6
credebl/credo-controller,2025-10,3,2,0,0,1,0,0,0,0,6
credebl/credo-controller,2025-11,2,2,2,0,0,0,0,0,0,6
credebl/credo-controller,2025-12,1,0,2,1,2,0,0,0,0,6
credebl/afj-controller,2023-08,3,5,5,4,0,0,0,0,0,17
credebl/afj-controller,2023-09,2,4,2,2,0,3,0,0,0,13
credebl/afj-controller,2023-10,7,11,5,7,0,9,0,0,0,39
credebl/afj-controller,2023-11,1,1,1,1,0,0,0,0,0,4
credebl/afj-controller,2024-02,0,4,0,0,0,4,0,0,0,8
credebl/afj-controller,2024-03,11,4,11,7,6,3,0,0,0,42
credebl/webauthn-server,2023-08,1,0,1,1,0,0,0,0,0,3
credebl/webauthn-server,2024-04,1,0,2,0,0,0,0,0,1,4
credebl/webauthn-server,2024-09,11,1,13,5,5,1,0,0,0,36
credebl/webauthn-server,2024-10,2,0,2,2,2,0,0,0,0,8
credebl/agent-controller,2026-03,2,0,0,1,2,0,0,0,0,5
credebl/agent-controller,2026-04,5,1,0,0,2,4,0,0,0,12
credebl/agent-controller,2026-05,4,0,0,1,0,0,0,0,0,5
credebl/mediator-agent,2024-11,2,0,0,0,0,0,0,0,0,2
credebl/mediator-agent,2024-12,4,0,0,0,1,0,0,0,0,5
credebl/mediator-agent,2025-09,0,0,0,0,1,0,0,0,0,1
credebl/docs,2024-09,0,2,0,0,0,0,0,0,0,2
credebl/docs,2024-10,0,4,0,0,0,0,0,0,0,4
openwallet-foundation/credo-ts,2024-12,0,0,0,0,0,0,1,0,2,3
openwallet-foundation/credo-ts,2025-02,0,0,0,0,0,0,1,1,0,2
openwallet-foundation/acapy-tools,2025-01,0,0,0,0,0,0,1,0,1,2
