repo,month,PushEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,ForkEvent,IssuesEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,total
credebl/adeya-wallet,2024-10,6,4,3,0,0,0,0,0,0,13
credebl/adeya-wallet,2024-11,6,2,2,0,0,0,0,0,0,10
credebl/adeya-wallet,2024-12,9,2,3,0,0,0,0,0,0,14
credebl/adeya-wallet,2025-01,7,11,8,5,1,0,0,1,1,34
credebl/mobile-wallet,2025-03,16,10,6,3,1,2,0,0,0,38
credebl/mobile-wallet,2026-02,3,0,2,0,0,0,0,0,0,5
credebl/adeya-sdk,2024-10,2,1,1,0,0,0,0,0,0,4
credebl/adeya-sdk,2024-11,3,2,2,0,0,0,0,0,0,7
credebl/adeya-sdk,2024-12,1,0,0,0,0,0,0,0,0,1
credebl/adeya-sdk,2025-01,5,0,0,0,0,0,0,0,0,5
credebl/mobile-sdk,2026-05,4,0,0,1,0,0,0,0,0,5
openwallet-foundation/bifold-wallet,2024-11,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/bifold-wallet,2025-04,0,0,0,0,1,0,0,0,0,1
