repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,WatchEvent,ForkEvent,IssueCommentEvent,total
hyperledger/fabric-x-committer,2025-07,0,0,0,2,0,1,1,1,5
hyperledger/fabric-x-committer,2025-08,13,16,1,0,0,0,0,0,30
hyperledger/fabric-x-committer,2025-09,12,15,3,2,0,0,0,0,32
hyperledger/fabric-x-committer,2025-10,5,2,4,2,0,0,0,0,13
hyperledger/fabric-x-committer,2025-11,20,12,5,1,0,0,0,0,38
hyperledger/fabric-x-committer,2025-12,10,2,3,0,0,0,0,0,15
hyperledger/fabric-x-committer,2026-01,5,4,4,0,1,0,0,0,14
hyperledger/fabric-x-committer,2026-02,12,5,6,0,0,0,0,0,23
hyperledger/fabric-x-committer,2026-03,3,2,2,5,1,0,0,0,13
hyperledger/fabric-x-committer,2026-05,1,1,0,0,0,0,0,0,2
hyperledger/fabric-x,2026-04,0,0,0,0,0,1,0,0,1
