repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,DeleteEvent,CreateEvent,IssueCommentEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,total
hiero-ledger/hiero-sdk-go,2024-11,7,14,1,11,6,5,5,4,1,0,0,54
hiero-ledger/hiero-sdk-go,2024-12,13,29,8,19,8,13,8,3,2,0,0,103
hiero-ledger/hiero-sdk-go,2025-01,16,31,5,35,16,12,14,13,1,0,0,143
hiero-ledger/hiero-sdk-go,2025-02,19,30,16,17,9,8,12,11,2,0,0,124
hiero-ledger/hiero-sdk-go,2025-03,21,34,14,31,15,16,15,22,3,0,0,171
hiero-ledger/hiero-sdk-go,2025-04,20,32,13,22,10,12,11,8,1,0,0,129
hiero-ledger/hiero-sdk-go,2025-05,9,30,6,21,12,11,5,7,2,0,0,103
hiero-ledger/hiero-sdk-go,2025-06,4,21,1,13,8,4,7,2,1,0,0,61
hiero-ledger/hiero-sdk-go,2025-07,5,15,3,11,5,5,4,3,0,0,0,51
hiero-ledger/hiero-sdk-go,2025-08,5,21,2,11,6,7,4,1,1,0,0,58
hiero-ledger/hiero-sdk-go,2025-09,7,27,1,16,5,6,8,4,2,0,0,76
hiero-ledger/hiero-sdk-go,2025-10,3,21,1,17,10,9,8,1,0,0,0,70
hiero-ledger/hiero-sdk-go,2025-11,4,13,2,3,1,4,2,0,0,0,0,29
hiero-ledger/hiero-sdk-go,2026-01,2,12,1,4,4,7,4,2,0,0,0,36
hiero-ledger/hiero-sdk-go,2026-02,1,0,2,2,2,5,0,2,1,0,0,15
hiero-ledger/hiero-sdk-go,2026-03,1,10,0,1,2,1,3,0,0,0,0,18
hiero-ledger/hiero-sdk-go,2026-04,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2025-01,5,11,8,6,1,4,6,2,2,0,0,45
hiero-ledger/hiero-sdk-java,2025-02,25,27,16,28,13,17,14,8,5,0,0,153
hiero-ledger/hiero-sdk-java,2025-03,8,12,4,11,11,6,6,3,0,0,0,61
hiero-ledger/hiero-sdk-java,2025-04,30,30,22,8,7,8,3,6,1,0,1,116
hiero-ledger/hiero-sdk-java,2025-05,17,10,11,7,6,7,1,6,0,0,0,65
hiero-ledger/hiero-sdk-java,2025-06,11,3,14,3,4,1,0,5,0,0,0,41
hiero-ledger/hiero-sdk-java,2025-07,9,2,5,2,4,0,0,1,0,0,0,23
hiero-ledger/hiero-sdk-java,2025-08,1,3,0,0,1,0,0,0,0,0,0,5
hiero-ledger/hiero-sdk-java,2025-09,9,9,6,7,5,1,2,0,0,0,0,39
hiero-ledger/hiero-sdk-java,2025-10,10,6,21,1,1,2,3,1,0,0,0,45
hiero-ledger/hiero-sdk-java,2025-11,3,4,7,1,2,1,1,0,0,0,0,19
hiero-ledger/hiero-sdk-java,2026-01,1,1,0,0,1,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-java,2026-02,9,13,2,3,6,5,0,3,0,0,0,41
hiero-ledger/hiero-sdk-java,2026-03,0,0,0,0,0,2,0,1,0,0,0,3
hiero-ledger/hiero-sdk-js,2025-01,13,0,13,1,5,0,0,0,0,1,0,33
hiero-ledger/hiero-sdk-js,2025-02,32,5,23,3,6,0,1,6,0,0,0,76
hiero-ledger/hiero-sdk-js,2025-03,21,7,10,5,9,3,3,8,0,0,0,66
hiero-ledger/hiero-sdk-js,2025-04,42,7,25,1,2,1,2,0,0,0,0,80
hiero-ledger/hiero-sdk-js,2025-05,20,1,11,1,4,0,0,1,0,0,0,38
hiero-ledger/hiero-sdk-js,2025-06,8,1,10,3,1,0,1,1,0,0,0,25
hiero-ledger/hiero-sdk-js,2025-07,16,6,7,4,5,1,0,1,0,0,0,40
hiero-ledger/hiero-sdk-js,2025-08,12,2,13,6,3,1,0,1,0,0,0,38
hiero-ledger/hiero-sdk-js,2025-09,6,2,4,0,1,1,0,1,0,0,0,15
hiero-ledger/hiero-sdk-js,2025-10,12,2,13,2,0,0,0,0,0,0,0,29
hiero-ledger/hiero-sdk-js,2025-11,4,0,2,0,1,0,0,0,0,0,0,7
hiero-ledger/hiero-sdk-tck,2024-11,19,0,12,0,0,0,0,0,0,0,0,31
hiero-ledger/hiero-sdk-tck,2024-12,10,0,0,0,0,0,0,1,0,0,0,11
hiero-ledger/hiero-sdk-tck,2025-01,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-02,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-03,1,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-tck,2025-05,3,0,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-tck,2025-07,23,24,29,19,11,6,6,1,0,0,0,119
hiero-ledger/hiero-sdk-tck,2025-08,32,21,32,17,7,2,7,2,1,0,0,121
hiero-ledger/hiero-sdk-tck,2025-09,7,16,6,9,8,1,4,2,0,0,0,53
hiero-ledger/hiero-sdk-tck,2025-10,4,4,4,2,1,0,0,1,0,0,0,16
hiero-ledger/hiero-sdk-tck,2025-11,1,1,0,0,1,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-tck,2026-01,0,1,2,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-tck,2026-03,0,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-python,2025-03,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-python,2025-04,9,0,30,0,0,0,0,1,0,0,0,40
hiero-ledger/hiero-sdk-python,2025-05,27,0,37,0,0,0,0,1,0,0,0,65
hiero-ledger/hiero-sdk-python,2025-06,12,0,14,0,0,0,0,0,0,0,0,26
hiero-ledger/hiero-sdk-python,2025-07,8,0,7,0,0,0,0,2,0,0,0,17
hiero-ledger/hiero-sdk-python,2025-09,5,0,6,0,0,0,0,0,0,0,0,11
hiero-ledger/hiero-sdk-python,2025-11,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/sdk-collaboration-hub,2025-04,8,4,6,2,0,1,1,1,0,0,0,23
hiero-ledger/sdk-collaboration-hub,2025-05,4,0,0,1,0,0,1,1,0,0,0,7
hiero-ledger/sdk-collaboration-hub,2025-06,6,1,5,2,1,0,0,4,0,0,0,19
hiero-ledger/sdk-collaboration-hub,2025-07,12,3,8,0,0,1,0,0,0,0,0,24
hiero-ledger/sdk-collaboration-hub,2025-08,2,0,1,2,0,0,1,0,0,0,0,6
hiero-ledger/sdk-collaboration-hub,2025-09,5,4,7,0,0,0,0,0,0,0,0,16
hiero-ledger/sdk-collaboration-hub,2025-10,5,6,11,1,0,1,1,0,0,0,0,25
hiero-ledger/sdk-collaboration-hub,2025-11,1,2,2,0,0,0,1,0,0,0,0,6
hiero-ledger/sdk-collaboration-hub,2026-01,1,0,4,0,0,0,0,0,0,0,0,5
hiero-ledger/sdk-collaboration-hub,2026-02,0,1,0,2,0,1,0,0,0,0,0,4
hiero-ledger/hiero-sdk-rust,2025-05,1,0,2,0,3,0,0,1,0,0,0,7
hiero-ledger/hiero-sdk-rust,2025-06,2,0,2,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-rust,2025-11,0,0,0,0,2,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-cpp,2025-01,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-cpp,2025-02,0,0,0,0,2,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-cpp,2025-03,0,0,0,0,3,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-cpp,2025-05,0,0,0,0,5,0,0,0,0,0,0,5
hiero-ledger/governance,2025-02,0,0,0,4,0,0,0,0,0,1,0,5
hiero-ledger/governance,2026-03,0,0,0,1,0,0,1,0,0,0,0,2
hiero-ledger/hiero-solo-action,2025-06,0,0,0,0,0,0,0,2,0,0,0,2
hiero-ledger/hiero-solo-action,2025-07,0,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-solo-action,2025-10,0,0,0,2,0,0,0,0,0,0,0,2
hiero-ledger/solo,2025-07,0,0,0,0,1,0,0,3,0,0,0,4
hiero-ledger/solo,2025-10,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-local-node,2025-02,0,0,0,0,2,0,0,1,0,0,0,3
hiero-ledger/hiero-consensus-node,2025-03,0,0,0,0,0,0,0,2,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-06,1,0,1,0,0,0,0,0,0,0,0,2
