repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestEvent,IssuesEvent,PullRequestReviewCommentEvent,ForkEvent,total
hiero-ledger/hiero-sdk-python,2025-08,12,2,3,0,2,0,19
hiero-ledger/hiero-sdk-python,2025-09,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-python,2025-10,3,0,0,0,0,0,3
hiero-ledger/hiero-sdk-python,2025-11,2,1,3,0,1,0,7
hiero-ledger/hiero-sdk-python,2025-12,9,2,5,8,5,2,31
hiero-ledger/hiero-sdk-python,2026-01,19,9,1,1,2,0,32
hiero-ledger/hiero-sdk-python,2026-02,13,10,4,2,1,0,30
hiero-ledger/hiero-sdk-python,2026-03,5,1,0,2,0,0,8
hiero-ledger/hiero-sdk-python,2026-04,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2026-03,9,2,1,1,0,0,13
hiero-ledger/hiero-sdk-cpp,2026-03,2,0,0,0,0,0,2
