repo,month,PushEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,IssuesEvent,IssueCommentEvent,DeleteEvent,CreateEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-08,0,2,3,2,0,1,0,0,1,9
hiero-ledger/hiero-consensus-node,2025-09,0,4,4,4,0,2,0,0,0,14
hiero-ledger/hiero-consensus-node,2025-10,0,6,14,6,2,3,0,0,0,31
hiero-ledger/hiero-consensus-node,2025-11,0,6,6,5,1,1,0,0,0,19
hiero-ledger/hiero-consensus-node,2025-12,0,0,0,5,7,2,0,0,0,14
hiero-ledger/hiero-consensus-node,2026-01,8,1,3,3,2,0,0,2,0,19
hiero-ledger/hiero-consensus-node,2026-02,37,2,1,7,11,0,8,3,0,69
hiero-ledger/hiero-consensus-node,2026-03,73,0,4,6,12,2,7,8,0,112
hiero-ledger/hiero-consensus-node,2026-04,33,0,0,7,10,1,5,6,0,62
hiero-ledger/hiero-consensus-node,2026-05,11,0,1,0,0,0,2,2,0,16
hiero-ledger/hiero-block-node,2025-03,0,18,7,5,1,6,0,0,0,37
hiero-ledger/hiero-block-node,2025-04,0,20,14,1,0,5,0,0,0,40
hiero-ledger/hiero-block-node,2025-05,0,3,3,0,0,2,0,0,0,8
