repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,DeleteEvent,IssueCommentEvent,CreateEvent,ForkEvent,WatchEvent,total
hiero-ledger/hiero-block-node,2025-02,43,27,18,25,14,12,4,7,0,0,150
hiero-ledger/hiero-block-node,2025-03,122,50,85,47,47,25,19,18,0,1,414
hiero-ledger/hiero-block-node,2025-04,98,81,40,51,31,31,20,20,0,1,373
hiero-ledger/hiero-block-node,2025-05,95,59,33,49,45,32,31,15,0,0,359
hiero-ledger/hiero-block-node,2025-06,59,38,23,23,30,20,8,8,0,0,209
hiero-ledger/hiero-block-node,2025-07,82,40,61,14,25,8,2,4,0,0,236
hiero-ledger/hiero-block-node,2025-08,85,89,57,26,24,13,16,8,0,0,318
hiero-ledger/hiero-block-node,2025-09,41,36,15,24,11,20,11,5,0,0,163
hiero-ledger/hiero-block-node,2025-10,71,61,52,35,24,24,13,7,0,0,287
hiero-ledger/hiero-block-node,2025-11,35,31,22,11,7,10,4,2,0,0,122
hiero-ledger/hiero-block-node,2025-12,32,42,10,29,18,9,3,7,0,0,150
hiero-ledger/hiero-block-node,2026-01,86,92,78,18,19,15,7,3,0,0,318
hiero-ledger/hiero-block-node,2026-02,41,62,28,22,22,16,4,9,0,0,204
hiero-ledger/hiero-block-node,2026-03,25,44,15,13,10,17,3,8,0,0,135
hiero-ledger/hiero-block-node,2026-04,12,28,6,7,10,9,2,6,0,0,80
hiero-ledger/hiero-block-node,2026-05,13,28,6,6,8,16,3,10,0,0,90
hiero-ledger/hiero-consensus-node,2025-02,2,0,2,0,0,0,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2025-08,0,0,0,4,0,0,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2025-09,0,0,0,6,0,0,1,0,0,0,7
hiero-ledger/hiero-consensus-node,2025-10,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-11,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-12,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-consensus-node,2026-03,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-consensus-node,2026-05,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/governance,2024-11,1,0,1,1,0,0,0,0,1,0,4
hiero-ledger/governance,2025-03,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-04,2,0,0,0,0,0,0,0,0,0,2
hiero-ledger/governance,2025-08,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2026-03,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/solo,2025-08,0,0,0,0,0,0,0,0,1,0,1
hiero-ledger/solo,2025-12,0,0,0,0,2,0,0,0,0,0,2
hiero-ledger/solo,2026-01,0,0,0,2,3,0,0,0,0,0,5
hiero-ledger/hiero-mirror-node,2025-08,0,0,0,0,1,0,1,0,0,0,2
hiero-ledger/hiero-mirror-node,2026-02,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2026-03,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-local-node,2025-06,1,0,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-json-rpc-relay,2025-06,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/tsc,2025-01,0,0,0,0,0,0,1,0,0,0,1
