repo,month,IssuesEvent,IssueCommentEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,CreateEvent,DeleteEvent,ForkEvent,total
hiero-ledger/hiero-json-rpc-relay,2025-03,2,5,7,4,0,0,0,0,0,18
hiero-ledger/hiero-json-rpc-relay,2025-04,3,4,14,12,0,0,0,0,0,33
hiero-ledger/hiero-json-rpc-relay,2025-05,18,15,14,1,0,0,0,0,0,48
hiero-ledger/hiero-json-rpc-relay,2025-06,7,7,6,0,0,0,0,0,0,20
hiero-ledger/hiero-json-rpc-relay,2025-07,26,15,3,0,0,0,0,0,0,44
hiero-ledger/hiero-json-rpc-relay,2025-08,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-09,2,3,4,4,0,0,0,0,0,13
hiero-ledger/hiero-json-rpc-relay,2025-10,3,1,4,3,0,0,0,0,0,11
hiero-ledger/hiero-json-rpc-relay,2025-11,4,3,2,0,0,0,0,0,0,9
hiero-ledger/hiero-json-rpc-relay,2025-12,13,9,3,3,0,0,0,0,0,28
hiero-ledger/hiero-json-rpc-relay,2026-01,7,6,8,4,0,0,1,0,0,26
hiero-ledger/hiero-json-rpc-relay,2026-02,6,2,0,0,0,1,0,0,0,9
hiero-ledger/hiero-json-rpc-relay,2026-03,16,2,6,0,0,0,0,0,0,24
hiero-ledger/hiero-json-rpc-relay,2026-04,3,1,1,1,0,0,0,1,0,7
hiero-ledger/hiero-json-rpc-relay,2026-05,0,0,1,1,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-02,0,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-03,4,5,3,1,0,0,0,0,0,13
hiero-ledger/hiero-consensus-node,2025-04,9,11,1,0,0,0,0,0,0,21
hiero-ledger/hiero-consensus-node,2025-05,92,46,0,0,0,0,0,0,0,138
hiero-ledger/hiero-consensus-node,2025-06,7,0,1,0,0,0,0,0,0,8
hiero-ledger/hiero-consensus-node,2025-07,5,2,1,0,1,1,0,0,0,10
hiero-ledger/hiero-consensus-node,2025-09,1,0,2,0,0,0,0,0,0,3
hiero-ledger/hiero-consensus-node,2025-10,2,1,1,1,0,0,0,0,0,5
hiero-ledger/hiero-consensus-node,2025-11,8,2,0,0,0,0,0,0,0,10
hiero-ledger/hiero-consensus-node,2025-12,3,3,0,0,0,0,0,0,0,6
hiero-ledger/hiero-consensus-node,2026-01,13,1,2,0,0,1,0,0,0,17
hiero-ledger/hiero-consensus-node,2026-02,1,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2026-03,4,2,0,0,0,0,0,0,0,6
hiero-ledger/hiero-consensus-node,2026-04,1,0,2,0,0,0,0,0,0,3
hiero-ledger/governance,2025-03,0,0,2,1,2,0,0,0,1,6
hiero-ledger/governance,2025-04,0,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2025-05,0,0,2,0,1,0,0,0,0,3
hiero-ledger/governance,2025-11,0,0,0,0,1,0,0,0,0,1
hiero-ledger/governance,2025-12,0,0,0,0,0,1,0,1,0,2
hiero-ledger/governance,2026-01,0,0,0,0,0,0,1,0,0,1
hiero-ledger/governance,2026-02,0,2,0,0,0,2,0,1,0,5
hiero-ledger/governance,2026-03,0,1,0,0,0,2,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-04,0,0,1,1,2,0,0,0,1,5
hiero-ledger/hiero-improvement-proposals,2025-11,0,0,1,2,0,0,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-12,0,0,4,3,0,0,0,0,0,7
hiero-ledger/hiero-improvement-proposals,2026-03,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-contracts,2025-12,0,0,0,0,2,0,2,0,0,4
hiero-ledger/hiero-contracts,2026-01,0,1,0,0,1,0,1,0,0,3
hiero-ledger/hiero-contracts,2026-02,0,0,0,0,0,1,1,2,0,4
hiero-ledger/hiero-contracts,2026-04,0,0,1,2,0,0,0,0,0,3
hiero-ledger/hiero-mirror-node,2025-08,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2025-11,0,3,0,0,0,0,0,0,0,3
hiero-ledger/hiero-mirror-node,2026-02,0,2,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2025-01,0,0,0,0,0,0,0,0,1,1
hyperledger/besu-native,2026-01,0,1,0,0,0,0,0,0,0,1
