repo,month,PushEvent,PullRequestReviewEvent,IssuesEvent,PullRequestEvent,CreateEvent,PullRequestReviewCommentEvent,DeleteEvent,IssueCommentEvent,ForkEvent,total
hiero-ledger/solo,2025-04,31,7,8,4,5,1,1,2,0,59
hiero-ledger/solo,2025-05,114,57,12,13,17,44,9,15,0,281
hiero-ledger/solo,2025-06,63,16,9,15,11,6,6,19,0,145
hiero-ledger/solo,2025-07,93,13,5,12,10,8,2,14,0,157
hiero-ledger/solo,2025-08,81,21,4,6,8,7,1,5,0,133
hiero-ledger/solo,2025-09,67,29,11,16,10,6,12,6,0,157
hiero-ledger/solo,2025-10,43,10,21,8,6,1,3,6,0,98
hiero-ledger/solo,2025-11,68,10,21,16,6,5,0,3,0,129
hiero-ledger/solo,2025-12,49,5,13,23,11,5,3,2,0,111
hiero-ledger/solo,2026-01,112,6,31,13,11,3,6,5,0,187
hiero-ledger/solo,2026-02,99,34,50,18,12,25,7,5,0,250
hiero-ledger/solo,2026-03,183,21,22,23,15,12,10,3,0,289
hiero-ledger/solo,2026-04,193,23,16,18,15,7,5,7,0,284
hiero-ledger/solo,2026-05,155,14,11,11,20,11,20,5,0,247
hiero-ledger/homebrew-tools,2025-10,5,0,0,1,0,0,0,0,0,6
hiero-ledger/homebrew-tools,2025-12,3,0,0,1,0,0,0,0,0,4
hiero-ledger/homebrew-tools,2026-01,1,1,0,3,0,0,0,0,0,5
hiero-ledger/homebrew-tools,2026-02,14,3,0,3,4,0,3,0,0,27
hiero-ledger/homebrew-tools,2026-03,1,0,3,0,3,0,0,0,0,7
hiero-ledger/homebrew-tools,2026-04,2,0,0,3,2,0,0,1,0,8
hiero-ledger/homebrew-tools,2026-05,13,0,2,1,1,1,12,0,0,30
hiero-ledger/hiero-consensus-node,2025-02,2,0,0,2,1,0,1,0,0,6
hiero-ledger/hiero-consensus-node,2025-03,4,1,0,2,3,0,0,0,0,10
hiero-ledger/hiero-consensus-node,2025-04,3,0,0,0,1,0,2,0,0,6
hiero-ledger/hiero-consensus-node,2025-05,3,0,0,1,5,0,0,0,0,9
hiero-ledger/hiero-consensus-node,2025-06,2,0,0,1,0,0,1,0,0,4
hiero-ledger/hiero-consensus-node,2025-07,2,0,0,1,1,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2025-08,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-09,0,1,0,0,2,0,0,0,0,3
hiero-ledger/hiero-consensus-node,2025-10,1,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-11,0,0,2,0,1,0,3,1,0,7
hiero-ledger/hiero-consensus-node,2026-01,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2026-03,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-block-node,2025-06,0,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-block-node,2025-10,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-block-node,2025-12,0,1,0,0,0,0,0,0,0,1
hiero-ledger/solo-docs,2026-05,0,0,0,1,0,0,0,1,0,2
