repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,DeleteEvent,CreateEvent,CommitCommentEvent,ReleaseEvent,WatchEvent,ForkEvent,total
hiero-ledger/hiero-block-node,2025-02,5,4,0,0,0,0,0,0,0,0,0,0,9
hiero-ledger/hiero-block-node,2025-03,121,105,21,43,20,7,3,4,0,0,0,0,324
hiero-ledger/hiero-block-node,2025-04,66,35,36,11,11,15,8,4,0,0,0,0,186
hiero-ledger/hiero-block-node,2025-05,104,60,11,37,16,11,7,6,0,0,0,0,252
hiero-ledger/hiero-block-node,2025-07,16,6,9,10,0,5,1,3,0,0,0,0,50
hiero-ledger/hiero-block-node,2025-08,25,10,5,14,16,1,1,0,0,0,0,0,72
hiero-ledger/hiero-block-node,2025-09,20,4,0,22,15,2,0,0,0,0,0,0,63
hiero-ledger/hiero-block-node,2025-10,41,31,28,15,31,9,5,5,0,0,0,0,165
hiero-ledger/hiero-block-node,2025-11,33,42,21,6,16,17,4,7,0,0,0,0,146
hiero-ledger/hiero-block-node,2025-12,22,29,10,6,8,5,0,2,0,0,0,0,82
hiero-ledger/hiero-block-node,2026-01,5,7,1,4,6,0,0,0,0,0,0,0,23
hiero-ledger/hiero-block-node,2026-02,18,9,6,0,5,1,1,0,0,0,0,0,40
hiero-ledger/hiero-block-node,2026-03,25,14,9,0,2,0,0,1,0,0,0,0,51
hiero-ledger/hiero-block-node,2026-04,20,20,14,0,12,2,2,3,0,0,0,0,73
hiero-ledger/hiero-block-node,2026-05,18,18,27,2,9,1,11,5,0,0,0,0,91
hiero-ledger/hiero-improvement-proposals,2025-03,3,2,0,0,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-improvement-proposals,2025-04,50,47,15,3,0,4,1,2,0,0,0,0,122
hiero-ledger/hiero-improvement-proposals,2025-05,37,36,15,3,0,0,0,0,0,0,0,0,91
hiero-ledger/hiero-improvement-proposals,2025-07,8,10,3,0,0,0,0,0,4,0,0,0,25
hiero-ledger/hiero-improvement-proposals,2025-08,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-11,2,2,0,0,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2025-12,3,7,0,0,0,1,0,0,0,0,0,0,11
hiero-ledger/hiero-improvement-proposals,2026-01,0,1,0,2,0,1,0,0,0,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2026-02,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2026-03,1,2,0,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2026-04,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2026-05,1,0,0,0,0,1,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-02,1,2,0,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-consensus-node,2025-03,6,12,0,0,0,0,0,0,0,0,0,0,18
hiero-ledger/hiero-consensus-node,2025-04,10,7,0,0,0,0,0,0,0,0,0,0,17
hiero-ledger/hiero-consensus-node,2025-05,16,6,18,2,1,1,1,0,0,0,0,0,45
hiero-ledger/hiero-consensus-node,2025-07,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-08,2,0,3,3,0,2,0,0,0,0,0,0,10
hiero-ledger/hiero-consensus-node,2025-09,4,0,8,0,1,3,0,1,0,0,0,0,17
hiero-ledger/hiero-consensus-node,2025-10,2,1,2,0,5,2,0,1,0,0,0,0,13
hiero-ledger/hiero-consensus-node,2025-11,2,0,1,0,3,0,0,0,0,0,0,0,6
hiero-ledger/hiero-consensus-node,2026-01,0,1,2,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-consensus-node,2026-02,4,1,6,0,0,3,0,1,0,0,0,0,15
hiero-ledger/hiero-consensus-node,2026-03,0,0,6,0,1,0,1,0,0,0,0,0,8
hiero-ledger/hiero-consensus-node,2026-04,0,1,17,0,1,4,0,0,0,0,0,0,23
hiero-ledger/hiero-consensus-node,2026-05,0,0,2,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-local-node,2025-02,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-local-node,2025-03,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-local-node,2025-04,2,2,3,7,0,4,2,3,0,1,0,0,24
hiero-ledger/hiero-local-node,2025-05,17,5,7,3,10,7,5,2,0,1,0,0,57
hiero-ledger/hiero-local-node,2025-07,0,0,0,0,0,2,2,1,0,0,0,0,5
hiero-ledger/hiero-local-node,2026-02,0,0,0,0,0,2,0,1,0,0,0,0,3
hiero-ledger/hiero-local-node,2026-03,0,0,0,0,0,0,0,1,0,0,0,0,1
hiero-ledger/governance,2024-12,0,0,0,0,0,1,0,0,0,0,0,1,2
hiero-ledger/governance,2025-02,1,0,0,0,0,1,0,0,0,0,0,0,2
hiero-ledger/governance,2025-03,3,0,0,2,0,2,0,0,0,0,0,0,7
hiero-ledger/governance,2025-04,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-05,2,0,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/governance,2025-06,0,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2025-07,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-08,0,0,1,0,2,2,0,0,0,0,0,0,5
hiero-ledger/governance,2025-10,1,0,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2026-01,0,0,0,0,0,2,0,0,0,0,0,0,2
hiero-ledger/governance,2026-04,0,0,0,0,0,2,0,0,0,0,0,0,2
hiero-ledger/solo,2025-08,2,3,0,0,1,0,0,0,0,0,0,0,6
hiero-ledger/hiero-gradle-conventions,2025-05,0,0,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2025-07,0,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2025-10,0,0,0,1,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-cpp,2024-11,0,0,0,0,0,0,0,0,0,0,1,0,1
hiero-ledger/hiero-sdk-tck,2024-11,0,0,0,0,0,0,0,0,0,0,1,0,1
hiero-ledger/sdk-collaboration-hub,2026-03,0,1,0,0,0,0,0,0,0,0,0,0,1
