repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,PushEvent,IssueCommentEvent,PullRequestEvent,DeleteEvent,CreateEvent,total
hiero-ledger/hiero-consensus-node,2025-02,2,1,1,3,0,1,1,1,10
hiero-ledger/hiero-consensus-node,2025-03,23,17,8,5,5,4,2,1,65
hiero-ledger/hiero-consensus-node,2025-04,9,5,6,7,7,5,3,4,46
hiero-ledger/hiero-consensus-node,2025-05,10,6,1,0,4,0,0,0,21
hiero-ledger/hiero-consensus-node,2025-06,4,2,2,0,1,0,0,0,9
hiero-ledger/hiero-consensus-node,2025-07,6,2,3,2,1,2,2,2,20
hiero-ledger/hiero-consensus-node,2025-08,3,0,3,5,0,3,3,1,18
hiero-ledger/hiero-consensus-node,2025-09,5,0,4,4,2,5,1,0,21
hiero-ledger/hiero-consensus-node,2025-10,8,4,5,2,0,1,1,1,22
hiero-ledger/hiero-consensus-node,2025-11,2,0,2,0,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2025-12,1,0,1,1,1,0,0,1,5
hiero-ledger/hiero-consensus-node,2026-01,3,4,0,0,0,0,0,0,7
hiero-ledger/hiero-consensus-node,2026-02,3,4,1,1,1,2,0,1,13
hiero-ledger/hiero-consensus-node,2026-03,0,2,0,0,0,0,1,1,4
hiero-ledger/hiero-consensus-node,2026-04,1,2,0,0,0,0,0,0,3
hiero-ledger/hiero-consensus-node,2026-05,2,0,0,1,0,0,1,1,5
hiero-ledger/hiero-sdk-java,2025-02,1,0,1,0,1,0,0,0,3
hiero-ledger/governance,2025-05,2,0,0,0,0,0,0,0,2
