repo,month,PullRequestReviewEvent,IssuesEvent,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,CreateEvent,ForkEvent,DeleteEvent,total
hiero-ledger/hiero-improvement-proposals,2025-05,0,0,0,0,1,0,1,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-06,0,0,0,0,1,0,0,1,0,2
hiero-ledger/hiero-improvement-proposals,2025-08,3,0,0,3,0,0,0,0,0,6
hiero-ledger/hiero-improvement-proposals,2025-09,22,0,3,19,3,5,0,0,1,53
hiero-ledger/hiero-improvement-proposals,2025-10,9,0,1,0,1,1,2,0,0,14
hiero-ledger/hiero-improvement-proposals,2025-11,2,0,0,0,1,0,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-12,0,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-improvement-proposals,2026-01,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2026-02,2,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2026-03,1,0,0,0,0,0,0,0,0,1
hiero-ledger/solo-docs,2026-03,3,10,3,2,0,0,0,0,0,18
hiero-ledger/solo-docs,2026-04,1,4,0,0,0,0,0,0,0,5
hiero-ledger/solo-docs,2026-05,1,2,0,0,0,0,0,0,0,3
hiero-ledger/tsc,2025-01,0,1,2,0,0,0,0,0,0,3
hiero-ledger/tsc,2025-02,0,0,2,0,0,0,0,0,0,2
hiero-ledger/tsc,2025-05,0,1,0,0,0,0,0,0,0,1
hiero-ledger/tsc,2025-06,0,0,1,0,0,0,0,0,0,1
hiero-ledger/tsc,2025-07,0,0,1,0,0,0,0,0,0,1
hiero-ledger/tsc,2025-08,0,2,0,0,0,0,0,0,0,2
hiero-ledger/tsc,2025-09,0,1,1,0,0,0,0,0,0,2
hiero-ledger/solo,2026-01,0,0,3,0,2,0,0,0,0,5
hiero-ledger/solo,2026-02,0,3,0,0,0,0,0,0,0,3
hiero-ledger/solo,2026-04,0,1,0,0,0,0,0,0,0,1
hiero-ledger/solo,2026-05,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2025-10,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-website,2026-01,0,0,0,0,7,0,0,0,0,7
hiero-ledger/hiero-docs,2025-03,0,3,0,0,0,0,0,0,0,3
hiero-ledger/hiero-docs,2025-04,0,1,1,0,0,0,0,0,0,2
hiero-ledger/hiero-docs,2025-06,0,2,0,0,0,0,0,0,0,2
hiero-ledger/governance,2025-02,1,0,1,0,0,0,0,0,0,2
hiero-ledger/governance,2025-07,0,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2025-08,0,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2025-12,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2026-01,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-04,0,1,1,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-05,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-06,0,1,1,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-07,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-10,0,0,2,0,1,0,0,0,0,3
hiero-ledger/hiero-json-rpc-relay,2026-05,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2025-07,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2025-09,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2026-01,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2025-07,0,1,1,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2026-03,0,0,1,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-tf,2023-02,0,0,0,0,1,0,0,1,0,2
hiero-ledger/hiero-sdk-java,2025-10,0,1,0,0,0,0,0,0,0,1
hiero-ledger/identity-collaboration-hub,2025-12,1,0,0,0,0,0,0,0,0,1
hiero-ledger/sdk-collaboration-hub,2025-11,0,0,0,1,0,0,0,0,0,1
hyperledger/anoncreds-spec,2022-11,0,1,0,0,0,0,0,0,0,1
