repo,month,IssuesEvent,PullRequestEvent,GollumEvent,IssueCommentEvent,ForkEvent,CreateEvent,DeleteEvent,PushEvent,MemberEvent,total
LF-Decentralized-Trust/wiki,2025-05,0,0,8,0,0,0,0,0,0,8
LF-Decentralized-Trust/wiki,2025-09,0,0,3,0,0,0,0,0,0,3
hyperledger/governance,2023-07,3,0,0,3,0,0,0,0,0,6
hyperledger/governance,2023-09,1,0,0,2,0,0,0,0,0,3
hyperledger/governance,2024-07,1,0,0,1,0,0,0,0,0,2
openwallet-foundation/tac,2024-07,0,1,0,0,1,0,0,0,0,2
openwallet-foundation/tac,2025-03,0,2,0,0,0,0,0,0,0,2
openwallet-foundation/tac,2025-10,0,0,0,1,0,1,0,0,0,2
openwallet-foundation/tac,2026-01,0,0,0,0,0,1,0,1,0,2
openwallet-foundation/tac,2026-04,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/owl,2026-02,6,0,0,0,0,0,0,0,0,6
openwallet-foundation/project-proposals,2024-07,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/project-proposals,2026-01,0,3,0,0,0,1,0,1,0,5
openwallet-foundation-labs/governance,2025-06,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/governance,2026-04,0,0,0,0,0,1,1,1,0,3
openwallet-foundation-labs/governance,2026-05,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/governance,2025-10,0,1,0,0,0,0,1,0,0,2
openwallet-foundation/governance,2026-01,0,0,0,0,0,0,1,0,0,1
LF-Decentralized-Trust/.github,2025-06,0,1,0,0,1,0,0,0,0,2
openwallet-foundation/askar,2025-09,0,1,0,0,0,1,0,0,0,2
openwallet-foundation/safe-wallet-sig,2024-07,0,1,0,0,1,0,0,0,0,2
hyperledger-labs/blockchain-carbon-accounting,2022-06,0,0,0,0,0,0,0,0,1,1
hyperledger/aries-cloudagent-python,2024-09,0,0,0,1,0,0,0,0,0,1
hyperledger/indy-node,2017-09,0,0,0,0,1,0,0,0,0,1
openwallet-foundation-labs/credhub,2025-07,0,0,0,0,1,0,0,0,0,1
openwallet-foundation-labs/eudiplo,2026-05,1,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/hDCX-js,2026-02,1,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/identity-common-ts,2026-02,1,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/oid4vc-ts,2025-10,0,0,0,1,0,0,0,0,0,1
openwallet-foundation-labs/openid-federation-ts,2025-09,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-08,0,0,0,0,1,0,0,0,0,1
