repo,month,IssuesEvent,IssueCommentEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,ForkEvent,DeleteEvent,WatchEvent,total
hiero-ledger/hiero-sdk-tck,2025-06,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-07,1,0,19,12,13,1,0,0,0,0,46
hiero-ledger/hiero-sdk-tck,2025-08,1,0,32,1,2,0,1,0,0,0,37
hiero-ledger/hiero-sdk-tck,2025-09,2,0,2,0,0,1,1,0,0,0,6
hiero-ledger/hiero-sdk-tck,2025-10,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2026-01,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2025-02,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2025-03,2,15,19,3,3,1,1,0,0,0,44
hiero-ledger/hiero-sdk-js,2025-04,2,1,1,2,2,1,1,0,0,0,10
hiero-ledger/hiero-sdk-js,2025-05,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-06,1,6,0,0,0,0,0,0,0,0,7
hiero-ledger/hiero-sdk-js,2025-07,2,0,0,1,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-js,2025-09,3,3,0,0,0,0,0,0,0,0,6
hiero-ledger/sdk-collaboration-hub,2025-03,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/sdk-collaboration-hub,2025-04,2,3,0,3,2,0,0,0,0,0,10
hiero-ledger/sdk-collaboration-hub,2025-05,3,0,0,1,1,0,0,0,0,0,5
hiero-ledger/sdk-collaboration-hub,2025-06,3,4,6,8,6,1,1,0,0,1,30
hiero-ledger/sdk-collaboration-hub,2025-07,1,5,2,3,1,1,0,0,1,0,14
hiero-ledger/sdk-collaboration-hub,2025-08,1,2,0,0,0,0,0,0,0,0,3
hiero-ledger/sdk-collaboration-hub,2025-09,0,1,1,0,0,0,0,0,0,0,2
hiero-ledger/sdk-collaboration-hub,2025-10,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/sdk-collaboration-hub,2025-11,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/solo,2025-06,2,7,0,0,0,0,0,0,0,0,9
hiero-ledger/solo,2025-07,2,0,0,0,0,1,0,0,0,0,3
hiero-ledger/solo,2025-10,3,1,0,0,0,1,0,0,0,0,5
hiero-ledger/solo,2026-02,2,0,0,0,0,0,0,0,0,0,2
hiero-ledger/solo,2026-03,7,3,0,0,0,0,0,0,0,0,10
hiero-ledger/solo,2026-04,9,2,0,0,0,0,0,0,0,0,11
hiero-ledger/solo,2026-05,5,1,0,0,0,1,0,0,0,0,7
hiero-ledger/hiero-mirror-node-explorer,2025-03,4,2,0,0,0,0,0,0,0,0,6
hiero-ledger/hiero-mirror-node-explorer,2025-04,8,6,0,0,0,0,0,0,0,0,14
hiero-ledger/hiero-mirror-node-explorer,2025-05,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2025-06,2,1,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-mirror-node-explorer,2025-07,2,1,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-mirror-node-explorer,2025-08,4,1,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-mirror-node-explorer,2025-09,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-mirror-node-explorer,2025-11,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2026-01,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-02,0,1,0,5,0,2,0,1,0,0,9
hiero-ledger/governance,2025-04,0,0,0,5,5,0,0,0,0,0,10
hiero-ledger/governance,2025-05,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2025-06,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2025-07,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-10,0,1,0,2,0,0,0,0,0,0,3
hiero-ledger/governance,2025-12,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2026-03,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-sdk-swift,2025-02,0,0,0,4,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-swift,2025-03,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-swift,2025-05,0,1,0,3,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-swift,2025-06,1,0,0,2,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-swift,2025-07,0,0,0,3,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-swift,2025-08,0,0,0,3,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-swift,2025-11,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-swift,2025-12,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-swift,2026-01,0,0,0,4,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-swift,2026-04,0,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2025-03,1,2,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-java,2025-05,0,1,2,0,0,2,2,0,0,0,7
hiero-ledger/hiero-sdk-java,2025-06,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-java,2025-07,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-java,2025-08,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2025-10,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2026-04,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-02,1,1,0,2,0,0,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2025-06,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-11,1,0,0,1,1,1,1,0,0,0,5
hiero-ledger/hiero-consensus-node,2026-02,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2026-03,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-go,2024-12,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-go,2025-03,2,1,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-go,2025-06,1,0,0,3,3,0,0,0,0,0,7
hiero-ledger/hiero-sdk-go,2025-08,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-go,2026-04,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-sdk-rust,2025-03,1,2,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-rust,2025-05,0,2,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-rust,2025-06,2,0,0,1,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-rust,2025-09,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-rust,2026-04,0,0,0,0,0,1,1,0,0,0,2
hiero-ledger/hiero-docs,2025-03,2,1,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-docs,2025-04,0,2,0,1,0,0,0,0,0,0,3
hiero-ledger/hiero-docs,2025-05,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-docs,2025-09,3,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-05,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-08,0,0,0,5,4,0,0,0,0,0,9
LFDT-Hiero/tsc,2024-10,0,9,0,0,0,0,0,0,0,0,9
hiero-ledger/hiero-local-node,2025-04,1,0,0,0,0,1,0,1,0,0,3
hiero-ledger/hiero-local-node,2026-05,0,0,0,0,0,2,0,0,0,0,2
hiero-ledger/hiero-sdk-cpp,2024-12,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-cpp,2025-03,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-cpp,2025-06,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-cpp,2025-08,0,0,2,0,0,0,0,0,0,0,2
hiero-ledger/solo-docs,2026-03,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/solo-docs,2026-04,2,0,0,0,0,0,0,1,0,0,3
hiero-ledger/tsc,2024-11,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/tsc,2025-01,0,3,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-block-node,2025-12,0,0,0,0,3,0,0,0,0,0,3
LFDT-Hiero/governance,2024-10,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2026-02,0,1,0,0,0,0,0,0,0,0,1
