repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PushEvent,PullRequestEvent,DeleteEvent,IssuesEvent,CreateEvent,total
hiero-ledger/hiero-json-rpc-relay,2025-03,24,29,2,0,1,0,3,1,60
hiero-ledger/hiero-json-rpc-relay,2025-04,50,21,8,16,11,7,16,3,132
hiero-ledger/hiero-json-rpc-relay,2025-05,25,18,9,2,1,1,7,0,63
hiero-ledger/hiero-json-rpc-relay,2025-06,30,13,7,7,6,1,3,4,71
hiero-ledger/hiero-json-rpc-relay,2025-07,80,40,21,30,14,10,9,2,206
hiero-ledger/hiero-json-rpc-relay,2025-08,62,39,16,21,42,39,12,8,239
hiero-ledger/hiero-json-rpc-relay,2025-09,18,12,3,0,0,1,0,0,34
hiero-ledger/hiero-json-rpc-relay,2025-10,1,0,0,0,0,0,1,1,3
hiero-ledger/hiero-json-rpc-relay,2025-11,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-12,5,1,2,0,0,0,0,0,8
hiero-ledger/hiero-mirror-node,2025-04,0,0,1,0,0,0,3,0,4
hiero-ledger/hiero-mirror-node,2025-06,0,0,3,0,0,0,0,0,3
hiero-ledger/hiero-mirror-node,2025-07,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-12,1,3,0,0,0,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2026-03,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-10,0,0,1,0,0,0,1,0,2
hiero-ledger/hiero-consensus-node,2025-11,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-03,0,0,2,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-04,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2025-10,0,0,0,0,0,0,1,0,1
hiero-ledger/hiero-mirror-node-explorer,2025-11,0,0,0,0,0,0,1,0,1
