repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,IssuesEvent,PushEvent,CreateEvent,DeleteEvent,WatchEvent,total
hiero-ledger/hiero-consensus-node,2025-03,0,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-consensus-node,2025-04,4,5,3,3,0,0,0,0,0,15
hiero-ledger/hiero-consensus-node,2025-05,21,20,12,5,7,0,0,0,0,65
hiero-ledger/hiero-consensus-node,2025-06,3,3,3,4,3,0,0,0,0,16
hiero-ledger/hiero-consensus-node,2025-07,3,3,1,5,3,0,0,0,0,15
hiero-ledger/hiero-consensus-node,2025-10,8,4,1,3,1,0,0,0,0,17
hiero-ledger/hiero-consensus-node,2025-11,15,14,0,1,0,0,0,0,0,30
hiero-ledger/hiero-consensus-node,2025-12,13,17,1,0,1,0,0,0,0,32
hiero-ledger/hiero-consensus-node,2026-01,14,6,3,4,4,0,0,0,0,31
hiero-ledger/hiero-consensus-node,2026-02,5,6,2,1,3,0,0,0,0,17
hiero-ledger/hiero-consensus-node,2026-03,4,1,0,0,1,6,3,3,0,18
hiero-ledger/hiero-consensus-node,2026-04,4,4,3,0,0,11,2,0,0,24
hiero-ledger/hiero-consensus-node,2026-05,1,1,0,0,2,7,5,6,0,22
hiero-ledger/hiero-block-node,2026-02,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-block-node,2026-03,2,1,0,0,0,0,0,0,0,3
