repo,month,PushEvent,DeleteEvent,PullRequestReviewEvent,PullRequestEvent,IssuesEvent,CreateEvent,PullRequestReviewCommentEvent,IssueCommentEvent,ForkEvent,ReleaseEvent,WatchEvent,total
hiero-ledger/hiero-consensus-node,2025-05,0,0,0,2,0,0,0,0,1,0,0,3
hiero-ledger/hiero-consensus-node,2025-11,34,7,15,5,7,3,18,0,0,0,0,89
hiero-ledger/hiero-consensus-node,2025-12,20,15,13,13,13,2,6,3,0,0,0,85
hiero-ledger/hiero-consensus-node,2026-01,54,20,7,26,28,9,1,2,0,0,0,147
hiero-ledger/hiero-consensus-node,2026-02,39,10,9,5,20,9,3,2,0,0,0,97
hiero-ledger/hiero-consensus-node,2026-03,74,13,7,16,7,14,6,1,0,0,0,138
hiero-ledger/hiero-consensus-node,2026-04,53,8,10,4,4,10,2,1,0,0,0,92
hiero-ledger/hiero-consensus-node,2026-05,15,6,0,3,1,3,2,0,0,0,0,30
hiero-ledger/solo,2025-11,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/solo,2025-12,0,0,2,0,0,0,0,0,0,0,0,2
hiero-ledger/solo,2026-01,26,3,3,8,5,5,0,0,0,1,0,51
hiero-ledger/solo,2026-02,9,0,3,1,3,1,1,0,0,0,0,18
hiero-ledger/solo,2026-03,0,0,0,2,0,0,0,1,0,0,0,3
hiero-ledger/governance,2025-11,1,0,2,0,0,1,3,1,0,0,0,8
hiero-ledger/governance,2025-12,2,2,5,0,1,0,0,1,0,0,0,11
hiero-ledger/governance,2026-01,5,1,2,4,1,1,0,2,0,0,0,16
hiero-ledger/governance,2026-02,1,0,3,2,0,1,3,1,0,0,0,11
hiero-ledger/governance,2026-03,4,3,0,0,0,0,0,0,0,0,0,7
hiero-ledger/governance,2026-05,4,0,0,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-block-node,2025-11,4,3,1,0,0,0,0,0,0,0,0,8
hiero-ledger/hiero-block-node,2025-12,8,6,2,0,0,0,0,0,0,0,0,16
hiero-ledger/hiero-block-node,2026-01,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-block-node,2026-02,0,0,2,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-block-node,2026-03,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-block-node,2026-04,1,4,1,0,0,0,0,0,0,0,0,6
hiero-ledger/hiero-block-node,2026-05,0,0,1,0,0,0,1,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-11,0,0,2,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-js,2025-12,2,1,2,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-sdk-js,2026-01,2,1,0,3,0,1,0,1,0,0,0,8
hiero-ledger/hiero-sdk-js,2026-02,1,1,0,0,1,1,0,0,0,0,0,4
hiero-ledger/hiero-cli,2025-12,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-cli,2026-01,2,3,2,0,3,1,0,2,0,0,0,13
hiero-ledger/hiero-cli,2026-02,0,1,2,0,0,0,0,1,0,0,0,4
hiero-ledger/hiero-sdk-rust,2025-12,1,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-rust,2026-01,5,2,0,3,0,1,0,0,0,0,0,11
hiero-ledger/hiero-gradle-conventions,2025-11,1,0,0,2,0,0,0,0,0,0,0,3
hiero-ledger/hiero-gradle-conventions,2026-01,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2026-02,2,0,0,1,0,2,0,0,0,0,0,5
hiero-ledger/hiero-gradle-conventions,2026-03,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2026-05,2,0,0,0,0,0,0,0,0,0,0,2
hiero-ledger/.github,2025-11,0,1,0,1,0,0,0,0,0,0,0,2
hiero-ledger/.github,2025-12,1,1,0,2,0,0,0,0,0,0,0,4
hiero-ledger/.github,2026-01,0,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/.github,2026-03,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-local-node,2025-12,1,0,2,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-local-node,2026-01,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-local-node,2026-02,1,1,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-local-node,2026-03,2,0,1,0,0,0,0,0,0,0,0,3
hiero-ledger/homebrew-tools,2026-01,2,0,0,1,1,1,0,0,0,0,0,5
hiero-ledger/homebrew-tools,2026-02,2,0,1,0,0,1,0,0,0,0,0,4
hiero-ledger/hiero-did-sdk-js,2026-01,1,0,0,2,2,1,0,0,0,0,0,6
hiero-ledger/hiero,2026-01,0,1,0,3,0,1,0,0,0,0,0,5
hiero-ledger/hiero-solo-action,2026-01,0,0,1,2,0,1,0,1,0,0,0,5
hiero-ledger/awesome-contributions,2025-11,1,1,0,1,0,0,0,0,0,0,0,3
hiero-ledger/awesome-contributions,2026-01,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-contracts,2025-12,0,0,0,2,0,1,0,0,0,0,0,3
hiero-ledger/hiero-contracts,2026-02,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-json-rpc-relay,2025-12,0,0,3,0,0,0,0,0,0,0,0,3
