repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,IssuesEvent,CreateEvent,PushEvent,DeleteEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-02,54,19,3,0,0,0,0,0,0,76
hiero-ledger/hiero-consensus-node,2025-03,111,44,3,6,3,3,3,3,0,176
hiero-ledger/hiero-consensus-node,2025-04,60,33,0,2,2,2,1,1,0,101
hiero-ledger/hiero-consensus-node,2025-05,48,25,2,0,0,0,1,0,0,76
hiero-ledger/hiero-consensus-node,2025-06,44,22,2,2,1,1,1,0,0,73
hiero-ledger/hiero-consensus-node,2025-07,18,6,0,0,0,0,0,0,0,24
hiero-ledger/hiero-consensus-node,2025-08,16,3,2,1,2,1,0,0,0,25
hiero-ledger/hiero-consensus-node,2025-09,6,1,0,0,0,0,0,0,0,7
hiero-ledger/hiero-consensus-node,2025-10,14,10,2,1,1,1,1,0,0,30
hiero-ledger/hiero-consensus-node,2025-11,5,2,1,0,0,0,0,0,0,8
hiero-ledger/hiero-consensus-node,2025-12,24,32,1,0,0,0,0,0,0,57
hiero-ledger/hiero-consensus-node,2026-01,24,14,0,0,0,1,2,2,0,43
hiero-ledger/hiero-consensus-node,2026-02,16,13,0,0,1,1,0,0,0,31
hiero-ledger/hiero-consensus-node,2026-03,6,2,0,0,0,0,0,0,0,8
hiero-ledger/hiero-consensus-node,2026-04,5,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-consensus-node,2026-05,2,0,0,0,1,0,0,1,0,4
hiero-ledger/hiero-block-node,2025-03,3,3,0,0,0,0,0,0,0,6
hiero-ledger/hiero-block-node,2025-04,5,5,0,0,0,0,0,0,0,10
hiero-ledger/hiero-block-node,2025-07,0,0,4,0,0,0,0,0,0,4
hiero-ledger/hiero-block-node,2026-01,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2025-10,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2026-02,2,1,0,0,0,0,0,0,1,4
