repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,IssueCommentEvent,PullRequestEvent,CreateEvent,DeleteEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-02,48,1,3,0,0,0,0,0,0,52
hiero-ledger/hiero-consensus-node,2025-03,26,0,2,0,6,0,0,0,0,34
hiero-ledger/hiero-consensus-node,2025-04,12,0,1,0,0,0,0,0,0,13
hiero-ledger/hiero-consensus-node,2025-07,5,5,6,12,0,1,1,0,0,30
hiero-ledger/hiero-consensus-node,2025-08,6,16,4,1,1,2,1,1,0,32
hiero-ledger/hiero-consensus-node,2025-09,0,0,2,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-10,2,7,0,4,0,1,1,0,0,15
hiero-ledger/hiero-consensus-node,2025-11,1,5,0,1,1,2,1,0,0,11
hiero-ledger/hiero-consensus-node,2025-12,17,7,12,5,1,2,1,2,0,47
hiero-ledger/hiero-consensus-node,2026-01,8,5,12,5,3,2,1,1,0,37
hiero-ledger/hiero-consensus-node,2026-02,1,11,1,4,0,2,3,3,0,25
hiero-ledger/hiero-consensus-node,2026-03,0,0,0,2,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-03,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-04,1,0,1,0,0,0,0,0,0,2
LF-Decentralized-Trust/project-proposals,2025-02,1,0,1,0,0,0,0,0,0,2
hiero-ledger/governance,2025-07,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2025-02,0,0,0,0,0,0,0,0,1,1
