repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,DeleteEvent,IssuesEvent,PullRequestReviewCommentEvent,CreateEvent,IssueCommentEvent,ReleaseEvent,ForkEvent,WatchEvent,total
hiero-ledger/hiero-sdk-cpp,2024-10,9,1,1,1,1,0,0,1,0,0,0,14
hiero-ledger/hiero-sdk-cpp,2024-11,22,13,10,5,8,5,4,4,0,0,0,71
hiero-ledger/hiero-sdk-cpp,2024-12,16,3,5,4,2,0,2,2,0,0,0,34
hiero-ledger/hiero-sdk-cpp,2025-01,77,22,18,11,12,10,3,0,0,0,0,153
hiero-ledger/hiero-sdk-cpp,2025-02,31,11,9,7,7,4,6,0,0,0,0,75
hiero-ledger/hiero-sdk-cpp,2025-03,19,5,8,6,4,0,3,1,2,0,0,48
hiero-ledger/hiero-sdk-cpp,2025-04,47,7,12,6,4,2,5,1,1,0,0,85
hiero-ledger/hiero-sdk-cpp,2025-05,38,3,11,10,7,0,6,1,0,0,0,76
hiero-ledger/hiero-sdk-cpp,2025-06,9,4,6,4,5,1,2,0,2,0,0,33
hiero-ledger/hiero-sdk-cpp,2025-07,8,2,8,5,6,0,6,1,1,0,0,37
hiero-ledger/hiero-sdk-cpp,2025-08,4,3,5,5,2,0,0,0,0,0,0,19
hiero-ledger/hiero-sdk-cpp,2025-09,5,1,3,2,2,0,1,1,1,0,0,16
hiero-ledger/hiero-sdk-cpp,2025-10,7,4,0,2,2,0,2,0,1,0,0,18
hiero-ledger/hiero-sdk-cpp,2025-11,10,4,2,2,0,0,2,0,0,0,0,20
hiero-ledger/hiero-sdk-cpp,2025-12,6,0,0,2,1,0,0,0,0,0,0,9
hiero-ledger/hiero-sdk-cpp,2026-01,1,0,0,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-cpp,2026-02,2,4,2,0,0,0,0,0,0,0,0,8
hiero-ledger/hiero-sdk-cpp,2026-03,2,2,0,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-cpp,2026-04,2,0,0,0,0,2,1,0,0,0,0,5
hiero-ledger/hiero-sdk-cpp,2026-05,1,0,0,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-go,2024-11,11,5,3,2,0,1,1,2,0,0,0,25
hiero-ledger/hiero-sdk-go,2024-12,4,16,1,1,1,5,1,0,0,0,0,29
hiero-ledger/hiero-sdk-go,2025-01,13,17,4,3,0,3,1,0,0,0,0,41
hiero-ledger/hiero-sdk-go,2025-02,34,23,6,5,3,12,1,2,0,0,0,86
hiero-ledger/hiero-sdk-go,2025-03,24,21,10,4,6,7,4,1,0,0,0,77
hiero-ledger/hiero-sdk-go,2025-04,22,21,7,5,4,12,2,0,0,0,0,73
hiero-ledger/hiero-sdk-go,2025-05,1,9,1,0,1,3,1,2,0,0,1,19
hiero-ledger/hiero-sdk-go,2025-06,3,8,2,1,1,1,0,0,0,0,0,16
hiero-ledger/hiero-sdk-go,2025-07,1,3,3,0,0,1,1,1,0,0,0,10
hiero-ledger/hiero-sdk-go,2025-08,0,5,0,0,0,1,0,0,0,0,0,6
hiero-ledger/hiero-sdk-go,2025-09,0,9,0,0,0,1,0,0,0,0,0,10
hiero-ledger/hiero-sdk-go,2025-10,0,10,0,0,0,1,0,0,0,0,0,11
hiero-ledger/hiero-sdk-go,2025-11,0,5,0,0,0,4,0,0,0,0,0,9
hiero-ledger/hiero-sdk-go,2025-12,3,1,0,3,0,0,0,0,0,0,0,7
hiero-ledger/hiero-sdk-go,2026-01,6,2,2,4,0,0,0,0,0,0,0,14
hiero-ledger/hiero-sdk-go,2026-02,0,1,0,0,2,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-go,2026-03,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-go,2026-04,2,2,2,1,0,0,0,0,0,0,0,7
hiero-ledger/hiero-sdk-go,2026-05,0,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-rust,2025-03,0,0,1,0,0,0,0,0,0,1,0,2
hiero-ledger/hiero-sdk-rust,2025-05,24,15,20,15,1,3,1,1,1,0,0,81
hiero-ledger/hiero-sdk-rust,2025-06,11,12,23,6,1,0,2,10,1,0,0,66
hiero-ledger/hiero-sdk-rust,2025-07,11,6,19,6,7,5,2,7,2,0,0,65
hiero-ledger/hiero-sdk-rust,2025-08,10,5,12,3,7,0,2,4,0,0,0,43
hiero-ledger/hiero-sdk-rust,2025-09,9,2,12,4,2,0,3,0,0,0,0,32
hiero-ledger/hiero-sdk-rust,2025-10,5,0,2,3,2,0,0,0,0,0,0,12
hiero-ledger/hiero-sdk-rust,2025-11,6,3,1,3,5,3,2,0,0,0,0,23
hiero-ledger/hiero-sdk-rust,2025-12,4,3,2,1,1,1,2,0,0,0,0,14
hiero-ledger/hiero-sdk-rust,2026-01,9,3,1,5,3,0,0,0,0,0,0,21
hiero-ledger/hiero-sdk-rust,2026-02,2,2,3,5,2,1,2,1,0,0,0,18
hiero-ledger/hiero-sdk-rust,2026-03,4,1,0,0,0,0,1,0,0,0,0,6
hiero-ledger/hiero-sdk-rust,2026-04,11,0,2,6,0,0,5,1,0,0,0,25
hiero-ledger/hiero-sdk-rust,2026-05,6,0,0,5,0,0,1,0,0,0,0,12
hiero-ledger/hiero-solo-action,2025-04,2,6,1,0,4,0,1,1,0,0,0,15
hiero-ledger/hiero-solo-action,2025-05,6,9,1,0,2,2,0,4,0,0,0,24
hiero-ledger/hiero-solo-action,2025-06,9,2,2,0,2,3,0,3,1,0,0,22
hiero-ledger/hiero-solo-action,2025-07,1,1,0,0,0,0,1,1,0,0,0,4
hiero-ledger/hiero-solo-action,2025-08,3,4,5,0,1,1,5,1,0,0,0,20
hiero-ledger/hiero-solo-action,2025-09,0,1,0,0,0,0,1,1,0,0,0,3
hiero-ledger/hiero-solo-action,2025-10,3,0,0,0,0,0,0,1,0,0,0,4
hiero-ledger/hiero-solo-action,2025-11,1,0,0,0,0,1,1,0,1,0,0,4
hiero-ledger/hiero-solo-action,2025-12,1,0,2,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-solo-action,2026-04,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-02,0,2,0,0,0,3,0,0,0,0,0,5
hiero-ledger/hiero-sdk-tck,2025-03,0,2,0,0,0,4,0,0,0,0,0,6
hiero-ledger/hiero-sdk-tck,2025-07,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-08,19,1,0,1,1,0,1,0,0,0,0,23
hiero-ledger/hiero-sdk-tck,2025-09,4,4,2,0,5,0,2,0,0,0,0,17
hiero-ledger/hiero-sdk-tck,2025-10,4,0,2,1,0,0,1,0,0,0,0,8
hiero-ledger/hiero-sdk-tck,2025-11,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-12,1,1,0,1,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-tck,2026-04,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2026-05,0,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2025-02,0,8,0,0,0,14,0,0,0,0,0,22
hiero-ledger/hiero-sdk-js,2025-03,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-02,0,3,0,0,0,1,0,0,0,0,0,4
hiero-ledger/governance,2025-04,0,0,0,0,0,0,0,0,0,1,0,1
hiero-ledger/governance,2026-02,0,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-sdk-java,2025-04,0,2,0,0,0,1,0,0,0,0,0,3
hiero-ledger/sdk-collaboration-hub,2025-06,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/sdk-collaboration-hub,2026-04,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-python,2025-05,0,0,0,0,1,0,0,0,0,0,0,1
