repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,IssueCommentEvent,CreateEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,GollumEvent,WatchEvent,ForkEvent,ReleaseEvent,DiscussionEvent,total
hiero-ledger/governance,2024-10,6,9,1,5,6,0,1,2,0,0,0,0,0,30
hiero-ledger/governance,2024-11,8,11,1,1,3,1,17,5,0,0,0,0,0,47
hiero-ledger/governance,2024-12,1,1,1,0,0,0,0,0,0,0,0,0,0,3
hiero-ledger/governance,2025-01,2,5,3,1,3,1,0,1,0,0,0,0,0,16
hiero-ledger/governance,2025-02,13,16,6,4,2,2,0,1,0,0,0,0,0,44
hiero-ledger/governance,2025-03,11,13,16,12,3,0,0,2,0,0,0,0,0,57
hiero-ledger/governance,2025-04,41,27,37,7,3,28,0,3,0,0,0,0,0,146
hiero-ledger/governance,2025-05,24,32,44,9,4,2,0,5,0,0,0,0,0,120
hiero-ledger/governance,2025-06,0,3,2,0,0,1,0,0,0,0,0,0,0,6
hiero-ledger/governance,2025-07,5,4,3,0,1,3,0,2,0,0,0,0,0,18
hiero-ledger/governance,2025-08,3,3,4,1,3,2,0,1,0,0,0,0,0,17
hiero-ledger/governance,2025-09,7,8,4,1,2,3,0,2,0,0,0,0,0,27
hiero-ledger/governance,2025-10,0,2,1,0,1,1,0,1,0,0,0,0,0,6
hiero-ledger/governance,2025-11,0,0,0,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/governance,2025-12,1,0,1,0,2,0,0,0,0,0,0,0,0,4
hiero-ledger/governance,2026-01,7,4,0,0,2,6,0,2,2,0,0,0,0,23
hiero-ledger/governance,2026-02,11,3,2,0,2,0,1,1,4,0,0,0,0,24
hiero-ledger/governance,2026-03,1,0,0,0,1,0,0,0,4,0,0,0,0,6
hiero-ledger/governance,2026-04,0,0,1,0,1,0,0,1,1,0,0,0,0,4
hiero-ledger/governance,2026-05,3,0,0,0,0,0,0,1,0,0,0,0,0,4
hiero-ledger/tsc,2024-10,5,2,0,9,2,0,3,1,0,0,0,0,0,22
hiero-ledger/tsc,2024-11,18,6,7,9,1,6,33,0,0,0,0,0,0,80
hiero-ledger/tsc,2024-12,16,5,2,3,0,0,1,0,0,0,0,0,0,27
hiero-ledger/tsc,2025-01,14,4,7,8,0,2,22,0,0,0,0,0,0,57
hiero-ledger/tsc,2025-02,7,1,5,6,0,3,8,0,0,0,0,0,0,30
hiero-ledger/tsc,2025-03,7,1,4,2,0,1,1,0,0,0,0,0,0,16
hiero-ledger/tsc,2025-04,8,15,7,4,5,2,4,0,0,0,0,0,0,45
hiero-ledger/tsc,2025-05,11,12,3,3,3,1,7,0,0,0,0,0,0,40
hiero-ledger/tsc,2025-06,5,10,5,0,2,21,0,0,0,0,0,0,0,43
