repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,total
hiero-ledger/hiero-consensus-node,2025-02,86,14,9,16,23,13,11,6,178
hiero-ledger/hiero-consensus-node,2025-03,58,37,25,20,10,9,3,5,167
hiero-ledger/hiero-consensus-node,2025-04,73,34,22,5,7,6,3,2,152
hiero-ledger/hiero-consensus-node,2025-05,110,38,26,9,10,11,3,2,209
hiero-ledger/hiero-consensus-node,2025-06,78,31,29,22,9,4,5,3,181
hiero-ledger/hiero-consensus-node,2025-07,30,45,29,10,2,2,1,10,129
hiero-ledger/hiero-consensus-node,2025-08,26,28,14,15,17,8,5,5,118
hiero-ledger/hiero-consensus-node,2025-09,25,29,13,23,12,7,6,4,119
hiero-ledger/hiero-consensus-node,2025-10,29,64,29,35,8,7,4,2,178
hiero-ledger/hiero-consensus-node,2025-11,37,35,26,13,1,3,3,3,121
hiero-ledger/hiero-consensus-node,2025-12,27,24,15,21,5,3,2,3,100
hiero-ledger/hiero-consensus-node,2026-01,41,46,20,32,17,13,8,4,181
hiero-ledger/hiero-consensus-node,2026-02,34,19,10,18,16,10,10,3,120
hiero-ledger/hiero-consensus-node,2026-03,46,31,23,10,2,5,6,2,125
hiero-ledger/hiero-consensus-node,2026-04,31,12,9,15,8,6,6,0,87
hiero-ledger/hiero-consensus-node,2026-05,29,3,1,5,0,5,8,1,52
