repo,month,PullRequestReviewEvent,PushEvent,PullRequestEvent,PullRequestReviewCommentEvent,DeleteEvent,CreateEvent,IssuesEvent,IssueCommentEvent,ForkEvent,WatchEvent,total
hiero-ledger/hiero-mirror-node,2025-02,24,31,15,10,6,5,5,7,0,1,104
hiero-ledger/hiero-mirror-node,2025-03,92,73,35,48,21,16,15,8,0,0,308
hiero-ledger/hiero-mirror-node,2025-04,63,53,40,17,27,18,12,7,0,0,237
hiero-ledger/hiero-mirror-node,2025-05,47,36,18,14,12,8,11,1,0,0,147
hiero-ledger/hiero-mirror-node,2025-06,24,29,14,6,5,7,4,1,0,0,90
hiero-ledger/hiero-mirror-node,2025-07,44,31,17,19,9,5,7,0,1,0,133
hiero-ledger/hiero-mirror-node,2025-08,22,11,9,7,2,8,6,1,0,0,66
hiero-ledger/hiero-mirror-node,2025-09,28,13,7,13,5,1,4,3,0,0,74
hiero-ledger/hiero-mirror-node,2025-10,23,29,13,15,9,10,9,1,0,0,109
hiero-ledger/hiero-mirror-node,2025-11,13,10,6,8,7,5,3,0,0,0,52
hiero-ledger/hiero-mirror-node,2025-12,21,20,18,7,10,6,6,0,0,0,88
hiero-ledger/hiero-mirror-node,2026-01,20,9,12,5,3,4,7,0,0,0,60
hiero-ledger/hiero-mirror-node,2026-02,9,4,13,2,1,4,1,0,0,0,34
hiero-ledger/hiero-mirror-node,2026-03,7,10,13,4,2,6,4,0,0,0,46
hiero-ledger/hiero-mirror-node,2026-04,7,21,10,5,7,10,6,0,0,0,66
hiero-ledger/hiero-mirror-node,2026-05,3,4,1,0,4,0,0,0,0,0,12
hiero-ledger/hiero-improvement-proposals,2025-05,0,0,1,0,0,1,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2025-10,0,0,2,0,0,0,0,0,0,0,2
hiero-ledger/hiero-consensus-node,2026-04,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/solo,2026-05,0,0,1,0,0,0,0,0,0,0,1
